a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
and_or,by_phrase,logical,passive,False,0.926068,0.198632,0.215813,0.198632,-0.253739,0.198632,ordinary
and_or,casual,logical,style,False,0.883929,0.271126,0.583165,0.271126,0.069291,0.271126,ordinary
and_or,causal,logical,logical,True,0.967012,0.675640,0.475963,0.675640,0.158987,0.475963,residual_stable_reuse_candidate
and_or,center_embedding,logical,recursive,False,0.849743,-0.754139,-0.454758,-0.754139,-0.318165,-0.754139,ordinary
and_or,complement_clause,logical,recursive,False,0.930384,0.256766,0.548259,0.256766,-0.013552,0.256766,ordinary
and_or,concise,logical,style,False,0.890471,0.337632,0.654835,0.337632,0.242805,0.337632,ordinary
and_or,conditional,logical,logical,True,0.963817,0.635635,0.406044,0.635635,0.204988,0.406044,residual_stable_reuse_candidate
and_or,contrast,logical,logical,True,0.971413,0.723822,0.559248,0.723822,0.239303,0.559248,residual_stable_reuse_candidate
and_or,dative_passive,logical,passive,False,0.933621,0.265762,0.333810,0.265762,-0.202023,0.265762,ordinary
and_or,deep_complement,logical,recursive,False,0.864425,-0.593941,-0.312621,-0.593941,-0.149402,-0.593941,ordinary
and_or,deictic_switch,logical,coreference,False,0.900034,-0.063128,-0.342476,-0.063128,0.154235,-0.342476,model_curve_artifact_candidate
and_or,double_relative,logical,recursive,False,0.859675,-0.776384,-0.452631,-0.776384,-0.265027,-0.776384,ordinary
and_or,en_fr_phrase,logical,translation,False,0.882879,-0.558054,-0.328776,-0.558054,-0.091351,-0.558054,ordinary
and_or,en_fr_word,logical,translation,False,0.906167,0.005122,0.469571,0.005122,0.169240,0.005122,model_curve_artifact_candidate
and_or,en_zh_phrase,logical,translation,False,0.870226,-0.745364,-0.603428,-0.745364,-0.297971,-0.745364,ordinary
and_or,en_zh_word,logical,translation,False,0.874039,-0.625304,-0.429526,-0.625304,-0.161689,-0.625304,ordinary
and_or,existential_no,logical,negation,False,0.951322,0.472914,0.418398,0.472914,0.090527,0.418398,residual_stable_reuse_candidate
and_or,formal,logical,style,False,0.831306,-0.809407,-0.657059,-0.809407,-0.328539,-0.809407,ordinary
and_or,future_will,logical,tense,False,0.855520,-0.790073,-0.522452,-0.790073,-0.290418,-0.790073,ordinary
and_or,get_passive,logical,passive,False,0.931134,0.258727,0.305948,0.258727,-0.132914,0.258727,ordinary
and_or,he_coref,logical,coreference,False,0.902618,-0.203339,-0.545503,-0.203339,0.159371,-0.545503,model_curve_artifact_candidate
and_or,inference,logical,logical,True,0.962695,0.634136,0.409606,0.634136,0.100930,0.409606,residual_stable_reuse_candidate
and_or,it_coref,logical,coreference,False,0.880442,0.337336,0.452301,0.337336,0.086062,0.337336,ordinary
and_or,lexical_not_adj,logical,negation,False,0.912448,0.103656,-0.310129,0.103656,-0.168935,-0.310129,category_curve_artifact_candidate
and_or,long_passive,logical,passive,False,0.871654,-0.784385,-0.521370,-0.784385,-0.341186,-0.784385,ordinary
and_or,morphological_neg,logical,negation,False,0.954943,0.530305,0.273353,0.530305,0.208306,0.273353,residual_stable_reuse_candidate
and_or,negated_condition,logical,logical,True,0.842474,-0.720520,-0.668905,-0.720520,-0.190344,-0.720520,ordinary
and_or,nested_condition,logical,logical,True,0.854828,-0.665967,-0.680299,-0.665967,-0.174286,-0.680299,ordinary
and_or,nested_contrast,logical,logical,True,0.850351,-0.673569,-0.660500,-0.673569,-0.233418,-0.673569,ordinary
and_or,nested_passive,logical,passive,False,0.867897,-0.807109,-0.557833,-0.807109,-0.202028,-0.807109,ordinary
and_or,never,logical,negation,False,0.917423,0.183271,-0.118270,0.183271,0.013183,-0.118270,category_curve_artifact_candidate
and_or,no_agent,logical,passive,False,0.965598,0.659318,0.596559,0.659318,0.157629,0.596559,residual_stable_reuse_candidate
and_or,past_simple,logical,tense,False,0.904923,-0.102057,0.496517,-0.102057,0.149398,-0.102057,model_curve_artifact_candidate
and_or,perfect,logical,tense,False,0.859527,-0.758155,-0.449373,-0.758155,-0.227630,-0.758155,ordinary
and_or,poetic,logical,style,False,0.871454,-0.625141,-0.515426,-0.625141,-0.063865,-0.625141,ordinary
and_or,possessive_chain,logical,recursive,False,0.927341,0.223434,0.466382,0.223434,0.054556,0.223434,ordinary
and_or,pp_chain,logical,recursive,False,0.911455,0.076757,0.254753,0.076757,-0.294487,0.076757,model_curve_artifact_candidate
and_or,progressive,logical,tense,False,0.856351,-0.751574,-0.428082,-0.751574,-0.217975,-0.751574,ordinary
and_or,relative_clause,logical,recursive,False,0.909306,0.068230,0.277407,0.068230,-0.107541,0.068230,model_curve_artifact_candidate
and_or,scope_quantifier,logical,negation,False,0.911404,0.132524,-0.235981,0.132524,-0.002607,-0.235981,category_curve_artifact_candidate
and_or,she_coref,logical,coreference,False,0.916026,0.127764,-0.299131,0.127764,0.286386,-0.299131,category_curve_artifact_candidate
and_or,syntactic_do_not,logical,negation,False,0.909417,0.104510,-0.185401,0.104510,-0.209020,-0.185401,category_curve_artifact_candidate
and_or,target_language_switch,logical,translation,False,0.912797,0.134654,0.603227,0.134654,0.350625,0.134654,ordinary
and_or,they_coref,logical,coreference,False,0.892232,0.360460,0.527633,0.360460,0.327477,0.360460,ordinary
by_phrase,casual,passive,style,False,0.804226,-0.602851,-0.231749,-0.602851,-0.260707,-0.602851,ordinary
by_phrase,causal,passive,logical,False,0.958886,0.381614,0.335584,0.381614,-0.032466,0.335584,ordinary
by_phrase,center_embedding,passive,recursive,False,0.923541,-0.281361,-0.631387,-0.281361,-0.091861,-0.631387,model_curve_artifact_candidate
by_phrase,complement_clause,passive,recursive,False,0.989836,0.840736,0.726191,0.840736,0.153840,0.726191,residual_stable_reuse_candidate
by_phrase,concise,passive,style,False,0.795016,-0.626218,-0.274417,-0.626218,-0.404786,-0.626218,ordinary
by_phrase,conditional,passive,logical,False,0.967316,0.483731,0.431587,0.483731,0.011969,0.431587,residual_stable_reuse_candidate
by_phrase,contrast,passive,logical,False,0.958944,0.384588,0.322384,0.384588,-0.026027,0.322384,ordinary
by_phrase,dative_passive,passive,passive,True,0.995351,0.923346,0.784221,0.923346,0.581572,0.784221,residual_stable_reuse_candidate
by_phrase,deep_complement,passive,recursive,False,0.911930,-0.496536,-0.810790,-0.496536,-0.267740,-0.810790,model_curve_artifact_candidate
by_phrase,deictic_switch,passive,coreference,False,0.901119,-0.503960,0.258836,-0.503960,-0.070590,-0.503960,model_curve_artifact_candidate
by_phrase,double_relative,passive,recursive,False,0.925273,-0.380550,-0.771109,-0.380550,-0.177926,-0.771109,model_curve_artifact_candidate
by_phrase,en_fr_phrase,passive,translation,False,0.921948,-0.555640,0.351899,-0.555640,-0.069480,-0.555640,model_curve_artifact_candidate
by_phrase,en_fr_word,passive,translation,False,0.884189,-0.760048,-0.287015,-0.760048,-0.392138,-0.760048,ordinary
by_phrase,en_zh_phrase,passive,translation,False,0.920394,-0.588612,0.157082,-0.588612,-0.363358,-0.588612,model_curve_artifact_candidate
by_phrase,en_zh_word,passive,translation,False,0.919937,-0.527343,0.258105,-0.527343,-0.152318,-0.527343,model_curve_artifact_candidate
by_phrase,existential_no,passive,negation,False,0.989858,0.827722,-0.246399,0.827722,0.385909,-0.246399,category_curve_artifact_candidate
by_phrase,formal,passive,style,False,0.926293,-0.112663,0.273976,-0.112663,0.362254,-0.112663,model_curve_artifact_candidate
by_phrase,future_will,passive,tense,False,0.929343,-0.270697,0.291517,-0.270697,0.212025,-0.270697,model_curve_artifact_candidate
by_phrase,get_passive,passive,passive,True,0.991209,0.860179,0.637941,0.860179,0.377694,0.637941,residual_stable_reuse_candidate
by_phrase,he_coref,passive,coreference,False,0.907972,-0.714916,0.098892,-0.714916,-0.113048,-0.714916,model_curve_artifact_candidate
by_phrase,inference,passive,logical,False,0.954570,0.344654,0.265634,0.344654,-0.042582,0.265634,ordinary
by_phrase,it_coref,passive,coreference,False,0.780023,-0.603212,-0.174858,-0.603212,-0.386035,-0.603212,ordinary
by_phrase,lexical_not_adj,passive,negation,False,0.992634,0.896811,0.187369,0.896811,0.485489,0.187369,ordinary
by_phrase,long_passive,passive,passive,True,0.929803,-0.452005,-0.767372,-0.452005,0.161151,-0.767372,model_curve_artifact_candidate
by_phrase,morphological_neg,passive,negation,False,0.974177,0.583825,-0.378592,0.583825,-0.021428,-0.378592,category_curve_artifact_candidate
by_phrase,negated_condition,passive,logical,False,0.927065,-0.127430,-0.221343,-0.127430,0.324087,-0.221343,model_curve_artifact_candidate
by_phrase,nested_condition,passive,logical,False,0.914907,-0.399808,-0.458860,-0.399808,-0.272603,-0.458860,model_curve_artifact_candidate
by_phrase,nested_contrast,passive,logical,False,0.920341,-0.269010,-0.324360,-0.269010,-0.007227,-0.324360,model_curve_artifact_candidate
by_phrase,nested_passive,passive,passive,True,0.928664,-0.445037,-0.770783,-0.445037,-0.050840,-0.770783,model_curve_artifact_candidate
by_phrase,never,passive,negation,False,0.988456,0.847683,0.264173,0.847683,0.402340,0.264173,residual_stable_reuse_candidate
by_phrase,no_agent,passive,passive,True,0.964264,0.457540,0.074718,0.457540,0.028081,0.074718,ordinary
by_phrase,past_simple,passive,tense,False,0.899081,-0.730005,-0.305871,-0.730005,-0.243196,-0.730005,ordinary
by_phrase,perfect,passive,tense,False,0.928550,-0.302447,0.271148,-0.302447,0.173613,-0.302447,model_curve_artifact_candidate
by_phrase,poetic,passive,style,False,0.924711,-0.398746,0.204478,-0.398746,-0.072307,-0.398746,model_curve_artifact_candidate
by_phrase,possessive_chain,passive,recursive,False,0.984549,0.758420,0.570310,0.758420,-0.047332,0.570310,residual_stable_reuse_candidate
by_phrase,pp_chain,passive,recursive,False,0.986227,0.796826,0.719404,0.796826,0.206636,0.719404,residual_stable_reuse_candidate
by_phrase,progressive,passive,tense,False,0.928232,-0.267880,0.297048,-0.267880,0.207528,-0.267880,model_curve_artifact_candidate
by_phrase,relative_clause,passive,recursive,False,0.992906,0.900162,0.801321,0.900162,0.431730,0.801321,residual_stable_reuse_candidate
by_phrase,scope_quantifier,passive,negation,False,0.985734,0.814518,0.077625,0.814518,0.225100,0.077625,ordinary
by_phrase,she_coref,passive,coreference,False,0.882167,-0.750832,0.092507,-0.750832,-0.307873,-0.750832,ordinary
by_phrase,syntactic_do_not,passive,negation,False,0.992238,0.901238,0.355669,0.901238,0.620507,0.355669,residual_stable_reuse_candidate
by_phrase,target_language_switch,passive,translation,False,0.869903,-0.813251,-0.309814,-0.813251,-0.597109,-0.813251,ordinary
by_phrase,they_coref,passive,coreference,False,0.791869,-0.624377,-0.219327,-0.624377,-0.474870,-0.624377,ordinary
casual,causal,style,logical,False,0.858747,-0.072032,0.257506,-0.072032,0.130153,-0.072032,ordinary
casual,center_embedding,style,recursive,False,0.861647,-0.116551,0.004913,-0.116551,-0.127215,-0.116551,ordinary
casual,complement_clause,style,recursive,False,0.804953,-0.576226,0.029931,-0.576226,-0.233812,-0.576226,ordinary
casual,concise,style,style,True,0.994365,0.972168,0.930215,0.972168,0.857896,0.930215,residual_stable_reuse_candidate
casual,conditional,style,logical,False,0.853092,-0.153905,0.172372,-0.153905,0.271792,-0.153905,ordinary
