a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
and_or,by_phrase,logical,passive,False,0.934009,0.334830,0.534184,0.334830,-0.146880,0.334830,ordinary
and_or,casual,logical,style,False,0.706254,-0.478286,-0.390177,-0.478286,-0.277648,-0.478286,ordinary
and_or,causal,logical,logical,True,0.944061,0.676911,0.507186,0.676911,0.362019,0.507186,residual_stable_reuse_candidate
and_or,center_embedding,logical,recursive,False,0.765935,-0.682162,-0.744799,-0.682162,-0.567733,-0.744799,ordinary
and_or,complement_clause,logical,recursive,False,0.712972,-0.207695,-0.238483,-0.207695,-0.229904,-0.238483,ordinary
and_or,concise,logical,style,False,0.845992,0.007016,0.280362,0.007016,0.220130,0.007016,ordinary
and_or,conditional,logical,logical,True,0.953250,0.593331,0.396144,0.593331,0.406096,0.396144,residual_stable_reuse_candidate
and_or,contrast,logical,logical,True,0.940078,0.524495,0.325599,0.524495,0.354418,0.325599,residual_stable_reuse_candidate
and_or,dative_passive,logical,passive,False,0.938016,0.395669,0.442747,0.395669,-0.061896,0.395669,ordinary
and_or,deep_complement,logical,recursive,False,0.861802,-0.489655,-0.027890,-0.489655,-0.315395,-0.489655,ordinary
and_or,deictic_switch,logical,coreference,False,0.901884,0.104195,0.121412,0.104195,0.346445,0.104195,ordinary
and_or,double_relative,logical,recursive,False,0.821190,-0.491007,-0.162540,-0.491007,-0.439413,-0.491007,ordinary
and_or,en_fr_phrase,logical,translation,False,0.881752,-0.156584,-0.198243,-0.156584,-0.072410,-0.198243,ordinary
and_or,en_fr_word,logical,translation,False,0.890027,-0.045942,-0.077329,-0.045942,0.072825,-0.077329,ordinary
and_or,en_zh_phrase,logical,translation,False,0.889619,0.036289,0.087044,0.036289,0.187601,0.036289,ordinary
and_or,en_zh_word,logical,translation,False,0.881219,0.002626,0.049774,0.002626,-0.027240,0.002626,ordinary
and_or,existential_no,logical,negation,False,0.935760,0.517406,0.285060,0.517406,0.265703,0.285060,residual_stable_reuse_candidate
and_or,formal,logical,style,False,0.887001,-0.354385,-0.019617,-0.354385,-0.072925,-0.354385,ordinary
and_or,future_will,logical,tense,False,0.813726,-0.298132,-0.045976,-0.298132,-0.222182,-0.298132,ordinary
and_or,get_passive,logical,passive,False,0.921568,0.230526,0.386140,0.230526,-0.182228,0.230526,ordinary
and_or,he_coref,logical,coreference,False,0.895491,0.165164,0.232204,0.165164,0.323346,0.165164,ordinary
and_or,inference,logical,logical,True,0.939485,0.548480,0.421722,0.548480,0.315941,0.421722,residual_stable_reuse_candidate
and_or,it_coref,logical,coreference,False,0.761516,-0.365202,-0.315886,-0.365202,-0.108139,-0.365202,ordinary
and_or,lexical_not_adj,logical,negation,False,0.937417,0.396148,-0.149492,0.396148,0.149655,-0.149492,category_curve_artifact_candidate
and_or,long_passive,logical,passive,False,0.780740,-0.533146,-0.656835,-0.533146,-0.477988,-0.656835,ordinary
and_or,morphological_neg,logical,negation,False,0.977517,0.805128,0.594509,0.805128,0.570777,0.594509,residual_stable_reuse_candidate
and_or,negated_condition,logical,logical,True,0.873113,-0.416675,-0.373979,-0.416675,-0.161635,-0.416675,ordinary
and_or,nested_condition,logical,logical,True,0.745453,-0.516830,-0.774566,-0.516830,-0.436687,-0.774566,ordinary
and_or,nested_contrast,logical,logical,True,0.755602,-0.530194,-0.675344,-0.530194,-0.407901,-0.675344,ordinary
and_or,nested_passive,logical,passive,False,0.789875,-0.514665,-0.534979,-0.514665,-0.356977,-0.534979,ordinary
and_or,never,logical,negation,False,0.946788,0.463557,-0.091421,0.463557,0.219068,-0.091421,category_curve_artifact_candidate
and_or,no_agent,logical,passive,False,0.856287,0.192274,0.255066,0.192274,0.133480,0.192274,ordinary
and_or,past_simple,logical,tense,False,0.864059,-0.069887,0.191816,-0.069887,0.232719,-0.069887,ordinary
and_or,perfect,logical,tense,False,0.828552,-0.335452,-0.092864,-0.335452,-0.254478,-0.335452,ordinary
and_or,poetic,logical,style,False,0.893819,0.001892,0.279021,0.001892,0.215862,0.001892,ordinary
and_or,possessive_chain,logical,recursive,False,0.890963,0.154407,0.501142,0.154407,-0.191452,0.154407,ordinary
and_or,pp_chain,logical,recursive,False,0.829498,-0.037132,-0.008433,-0.037132,-0.355896,-0.037132,ordinary
and_or,progressive,logical,tense,False,0.834317,-0.386506,-0.114702,-0.386506,-0.289051,-0.386506,ordinary
and_or,relative_clause,logical,recursive,False,0.959353,0.569632,0.803637,0.569632,0.150860,0.569632,residual_stable_reuse_candidate
and_or,scope_quantifier,logical,negation,False,0.913144,0.114921,-0.419647,0.114921,-0.095654,-0.419647,category_curve_artifact_candidate
and_or,she_coref,logical,coreference,False,0.874274,-0.247599,-0.292975,-0.247599,-0.001608,-0.292975,ordinary
and_or,syntactic_do_not,logical,negation,False,0.905064,0.181057,-0.270119,0.181057,-0.047350,-0.270119,category_curve_artifact_candidate
and_or,target_language_switch,logical,translation,False,0.897769,0.092569,0.089600,0.092569,0.289137,0.089600,ordinary
and_or,they_coref,logical,coreference,False,0.873888,0.082521,0.323530,0.082521,0.145405,0.082521,ordinary
by_phrase,casual,passive,style,False,0.763053,-0.261441,-0.081983,-0.261441,-0.171140,-0.261441,ordinary
by_phrase,causal,passive,logical,False,0.889489,0.266713,0.301255,0.266713,-0.037082,0.266713,ordinary
by_phrase,center_embedding,passive,recursive,False,0.836000,-0.290146,-0.630626,-0.290146,0.018586,-0.630626,ordinary
by_phrase,complement_clause,passive,recursive,False,0.770565,0.018307,-0.215665,0.018307,-0.160400,-0.215665,ordinary
by_phrase,concise,passive,style,False,0.821422,-0.267842,0.142662,-0.267842,-0.234186,-0.267842,ordinary
by_phrase,conditional,passive,logical,False,0.923283,0.258829,0.417926,0.258829,-0.327688,0.258829,ordinary
by_phrase,contrast,passive,logical,False,0.921826,0.318807,0.261815,0.318807,0.089630,0.261815,ordinary
by_phrase,dative_passive,passive,passive,True,0.962292,0.584115,0.385154,0.584115,0.439978,0.385154,residual_stable_reuse_candidate
by_phrase,deep_complement,passive,recursive,False,0.898653,-0.243593,-0.055950,-0.243593,0.082687,-0.243593,ordinary
by_phrase,deictic_switch,passive,coreference,False,0.847342,-0.565027,-0.309352,-0.565027,-0.503023,-0.565027,ordinary
by_phrase,double_relative,passive,recursive,False,0.876355,-0.144758,-0.129962,-0.144758,0.280955,-0.144758,ordinary
by_phrase,en_fr_phrase,passive,translation,False,0.890108,-0.214268,0.206897,-0.214268,-0.015712,-0.214268,ordinary
by_phrase,en_fr_word,passive,translation,False,0.866809,-0.427376,-0.172806,-0.427376,-0.289210,-0.427376,ordinary
by_phrase,en_zh_phrase,passive,translation,False,0.858769,-0.378789,-0.027501,-0.378789,-0.325935,-0.378789,ordinary
by_phrase,en_zh_word,passive,translation,False,0.872486,-0.191607,0.031867,-0.191607,0.057444,-0.191607,ordinary
by_phrase,existential_no,passive,negation,False,0.927270,0.407097,0.316648,0.407097,0.101634,0.316648,residual_stable_reuse_candidate
by_phrase,formal,passive,style,False,0.889886,-0.524068,-0.068368,-0.524068,-0.205020,-0.524068,ordinary
by_phrase,future_will,passive,tense,False,0.851692,-0.125763,0.021467,-0.125763,0.091210,-0.125763,ordinary
by_phrase,get_passive,passive,passive,True,0.981411,0.793976,0.703760,0.793976,0.504533,0.703760,residual_stable_reuse_candidate
by_phrase,he_coref,passive,coreference,False,0.837708,-0.445118,-0.192162,-0.445118,-0.344170,-0.445118,ordinary
by_phrase,inference,passive,logical,False,0.913618,0.292343,0.444557,0.292343,-0.201131,0.292343,ordinary
by_phrase,it_coref,passive,coreference,False,0.817707,-0.108068,0.045162,-0.108068,-0.140431,-0.108068,ordinary
by_phrase,lexical_not_adj,passive,negation,False,0.966810,0.638891,0.123699,0.638891,0.487680,0.123699,ordinary
by_phrase,long_passive,passive,passive,True,0.842165,-0.202319,-0.665186,-0.202319,0.290534,-0.665186,ordinary
by_phrase,morphological_neg,passive,negation,False,0.946341,0.486326,0.367348,0.486326,0.142480,0.367348,residual_stable_reuse_candidate
by_phrase,negated_condition,passive,logical,False,0.889232,-0.413921,-0.276619,-0.413921,-0.119625,-0.413921,ordinary
by_phrase,nested_condition,passive,logical,False,0.799512,-0.285435,-0.612646,-0.285435,0.030434,-0.612646,ordinary
by_phrase,nested_contrast,passive,logical,False,0.812145,-0.270199,-0.475258,-0.270199,-0.073737,-0.475258,ordinary
