a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
it_coref,scope_quantifier,coreference,negation,False,0.751590,-0.646814,-0.292781,-0.646814,-0.200338,-0.646814,ordinary
it_coref,lexical_not_adj,coreference,negation,False,0.757174,-0.676458,-0.269653,-0.676458,-0.396481,-0.676458,ordinary
it_coref,never,coreference,negation,False,0.757436,-0.622320,-0.317426,-0.622320,-0.330969,-0.622320,ordinary
it_coref,relative_clause,coreference,recursive,False,0.757468,-0.678179,-0.242394,-0.678179,-0.193346,-0.678179,ordinary
scope_quantifier,they_coref,negation,coreference,False,0.761024,-0.689543,-0.412262,-0.689543,-0.440581,-0.689543,ordinary
concise,scope_quantifier,style,negation,False,0.766199,-0.677531,-0.403285,-0.677531,-0.343823,-0.677531,ordinary
never,they_coref,negation,coreference,False,0.767691,-0.657711,-0.419158,-0.657711,-0.489180,-0.657711,ordinary
it_coref,syntactic_do_not,coreference,negation,False,0.768007,-0.542166,0.068698,-0.542166,-0.233793,-0.542166,ordinary
relative_clause,they_coref,recursive,coreference,False,0.768294,-0.712007,-0.184118,-0.712007,-0.408110,-0.712007,ordinary
lexical_not_adj,they_coref,negation,coreference,False,0.768513,-0.706120,-0.315672,-0.706120,-0.553924,-0.706120,ordinary
concise,relative_clause,style,recursive,False,0.772123,-0.709882,-0.231719,-0.709882,-0.350257,-0.709882,ordinary
concise,lexical_not_adj,style,negation,False,0.772221,-0.704936,-0.453201,-0.704936,-0.487482,-0.704936,ordinary
concise,never,style,negation,False,0.772805,-0.645489,-0.373446,-0.645489,-0.403001,-0.645489,ordinary
syntactic_do_not,they_coref,negation,coreference,False,0.774677,-0.600776,-0.091520,-0.600776,-0.477652,-0.600776,ordinary
casual,scope_quantifier,style,negation,False,0.777652,-0.643284,-0.339556,-0.643284,-0.208999,-0.643284,ordinary
it_coref,pp_chain,coreference,recursive,False,0.777847,-0.545624,0.042776,-0.545624,0.235146,-0.545624,ordinary
by_phrase,it_coref,passive,coreference,False,0.780023,-0.603212,-0.174858,-0.603212,-0.386035,-0.603212,ordinary
concise,syntactic_do_not,style,negation,False,0.780250,-0.584401,-0.213169,-0.584401,-0.404236,-0.584401,ordinary
pp_chain,they_coref,recursive,coreference,False,0.782090,-0.626412,-0.016477,-0.626412,-0.179793,-0.626412,ordinary
casual,relative_clause,style,recursive,False,0.783067,-0.677504,-0.212273,-0.677504,-0.263820,-0.677504,ordinary
casual,never,style,negation,False,0.783515,-0.615596,-0.317720,-0.615596,-0.270529,-0.615596,ordinary
casual,lexical_not_adj,style,negation,False,0.784153,-0.664438,-0.364854,-0.664438,-0.315307,-0.664438,ordinary
complement_clause,it_coref,recursive,coreference,False,0.784205,-0.549738,-0.030910,-0.549738,-0.008276,-0.549738,ordinary
concise,pp_chain,style,recursive,False,0.788824,-0.599094,-0.033374,-0.599094,-0.090758,-0.599094,ordinary
get_passive,it_coref,passive,coreference,False,0.790601,-0.511961,-0.016648,-0.511961,-0.220624,-0.511961,ordinary
it_coref,possessive_chain,coreference,recursive,False,0.790716,-0.494216,0.131858,-0.494216,0.280450,-0.494216,ordinary
dative_passive,it_coref,passive,coreference,False,0.791227,-0.558867,-0.044117,-0.558867,-0.360206,-0.558867,ordinary
complement_clause,they_coref,recursive,coreference,False,0.791463,-0.607670,-0.024453,-0.607670,-0.324581,-0.607670,ordinary
by_phrase,they_coref,passive,coreference,False,0.791869,-0.624377,-0.219327,-0.624377,-0.474870,-0.624377,ordinary
casual,syntactic_do_not,style,negation,False,0.794069,-0.528610,-0.073951,-0.528610,-0.258461,-0.528610,ordinary
