a,b,category_a,category_b,same_category,similarity
conditional,possessive_chain,logical,recursive,False,-0.7538040996448776
inference,relative_clause,logical,recursive,False,-0.6337770864536336
conditional,relative_clause,logical,recursive,False,-0.6299230015743055
by_phrase,conditional,passive,logical,False,-0.6185261976390216
causal,possessive_chain,logical,recursive,False,-0.5999841481711345
inference,possessive_chain,logical,recursive,False,-0.59875484109152
inference,lexical_not_adj,logical,negation,False,-0.5721150058484721
get_passive,morphological_neg,passive,negation,False,-0.5548032116381986
dative_passive,lexical_not_adj,passive,negation,False,-0.5488612141031305
never,no_agent,negation,passive,False,-0.5473785441323205
conditional,lexical_not_adj,logical,negation,False,-0.5445341216028569
dative_passive,morphological_neg,passive,negation,False,-0.5211936846715357
by_phrase,contrast,passive,logical,False,-0.4990025875838522
by_phrase,causal,passive,logical,False,-0.4864644803878838
causal,relative_clause,logical,recursive,False,-0.4682836799389436
morphological_neg,pp_chain,negation,recursive,False,-0.4618181092679317
complement_clause,lexical_not_adj,recursive,negation,False,-0.4494558759946295
existential_no,pp_chain,negation,recursive,False,-0.4323987220989587
by_phrase,inference,passive,logical,False,-0.42998748850716223
existential_no,get_passive,negation,passive,False,-0.40025212029410445
