atlas_row_id,model,split,n,original_exact,inline_exact,to_original_restore_exact,remove_from_inline_restore_exact,original_newline,inline_newline,to_original_restore_newline,remove_from_inline_restore_newline,original_gen_short,to_original_restore_gen_short,polarity,source_phase,source_path
boundary:qwen3:target_failure,qwen3,target_failure,26,19,0,2,7,0,15,22,0,26,5,harmful_or_opposite_protocol,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:qwen3:original_correct,qwen3,original_correct,48,28,7,8,14,0,24,36,1,48,12,harmful_or_opposite_protocol,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:qwen3:inline_bad,qwen3,inline_bad,1,0,0,0,0,0,0,0,0,1,1,insufficient_data,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:qwen3:relation_changed,qwen3,relation_changed,48,11,5,6,10,0,26,36,1,48,12,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:qwen3:explanation_needed,qwen3,explanation_needed,48,32,8,2,47,0,42,46,0,46,23,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:qwen3:non_value,qwen3,non_value,48,1,0,0,0,0,48,48,0,1,48,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_qwen3_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:target_failure,glm4,target_failure,36,29,27,27,31,0,0,0,0,36,36,weak_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:original_correct,glm4,original_correct,48,40,33,33,44,0,0,0,0,48,48,harmful_or_opposite_protocol,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:inline_bad,glm4,inline_bad,6,3,1,3,2,0,0,0,0,6,6,insufficient_data,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:relation_changed,glm4,relation_changed,48,11,7,8,13,0,0,0,0,48,48,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:explanation_needed,glm4,explanation_needed,48,0,0,0,0,0,0,0,0,22,11,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:glm4:non_value,glm4,non_value,48,0,0,0,0,0,0,0,0,48,48,boundary_respected_or_neutral,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_glm4_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:target_failure,deepseek7b,target_failure,48,12,45,45,14,34,0,0,30,14,48,beneficial_value_protocol,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:original_correct,deepseek7b,original_correct,48,8,47,48,14,36,0,0,31,11,48,beneficial_value_protocol,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:inline_bad,deepseek7b,inline_bad,1,0,0,1,0,1,0,0,1,0,1,insufficient_data,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:relation_changed,deepseek7b,relation_changed,48,4,17,17,6,32,0,0,30,14,48,side_effect_value_absorption,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:explanation_needed,deepseek7b,explanation_needed,48,0,44,43,0,0,2,0,2,34,48,side_effect_value_absorption,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
boundary:deepseek7b:non_value,deepseek7b,non_value,48,0,36,23,4,28,8,8,34,0,25,side_effect_value_absorption,645,results/glm5_phase645_protocol_trajectory_side_effect_boundary_atlas/phase645_deepseek7b_protocol_trajectory_side_effect_boundary_atlas_confirm.json
