a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
complement_clause,conditional,recursive,logical,False,-0.791188,-0.810146,-0.730091,-0.801126,-0.880036,-0.610769,-0.754296,-0.917315,-0.934079
causal,get_passive,logical,passive,False,-0.770238,-0.782190,-0.908386,-0.728470,-0.910956,-0.126374,-0.713181,-0.913122,-0.885468
causal,complement_clause,logical,recursive,False,-0.765090,-0.770862,-0.688367,-0.808381,-0.923364,-0.757853,-0.656222,-0.844044,-0.917190
get_passive,morphological_neg,passive,negation,False,-0.759299,-0.801305,-0.924828,-0.610173,-0.836328,-0.866234,-0.718901,-0.908887,-0.885567
complement_clause,inference,recursive,logical,False,-0.757544,-0.803479,-0.718756,-0.684155,-0.746338,-0.719055,-0.726563,-0.917646,-0.912484
conditional,get_passive,logical,passive,False,-0.733484,-0.772625,-0.956754,-0.704857,-0.890851,-0.615014,-0.539949,-0.952176,-0.882586
conditional,syntactic_do_not,logical,negation,False,-0.733335,-0.702429,-0.945876,-0.794535,-0.938695,-0.635848,-0.651008,-0.928855,-0.789033
morphological_neg,syntactic_do_not,negation,negation,True,-0.730682,-0.759090,-0.938931,-0.716364,-0.762559,-0.703887,-0.665393,-0.874996,-0.717033
complement_clause,contrast,recursive,logical,False,-0.719994,-0.756205,-0.711586,-0.716296,-0.915782,-0.379345,-0.740704,-0.919791,-0.906716
causal,syntactic_do_not,logical,negation,False,-0.709995,-0.717819,-0.927188,-0.674498,-0.955049,-0.223211,-0.651218,-0.862835,-0.782550
complement_clause,morphological_neg,recursive,negation,False,-0.705311,-0.802427,-0.690283,-0.703268,-0.759259,-0.074715,-0.707662,-0.850506,-0.752698
complement_clause,no_agent,recursive,passive,False,-0.700421,-0.659108,-0.403921,-0.707477,-0.871251,-0.699051,-0.641755,-0.911142,-0.934062
no_agent,syntactic_do_not,passive,negation,False,-0.681159,-0.704081,-0.861753,-0.682966,-0.897757,0.166782,-0.646362,-0.899102,-0.788793
contrast,get_passive,logical,passive,False,-0.677380,-0.747227,-0.942221,-0.726837,-0.879422,-0.014311,-0.568242,-0.955427,-0.886657
get_passive,inference,passive,logical,False,-0.676112,-0.731987,-0.931851,-0.636786,-0.729109,-0.106315,-0.478607,-0.961123,-0.890803
get_passive,no_agent,passive,passive,True,-0.673887,-0.640324,-0.876408,-0.622922,-0.825411,0.383812,-0.683295,-0.956048,-0.864542
contrast,syntactic_do_not,logical,negation,False,-0.669660,-0.722684,-0.928652,-0.675917,-0.958859,-0.034531,-0.715318,-0.907232,-0.791978
conditional,pp_chain,logical,recursive,False,-0.657321,-0.595115,-0.842896,-0.787199,-0.343409,-0.603815,-0.647834,-0.685659,-0.823652
inference,syntactic_do_not,logical,negation,False,-0.629196,-0.666574,-0.933327,-0.518113,-0.760519,-0.171673,-0.572658,-0.896176,-0.773550
inference,scope_quantifier,logical,negation,False,-0.614031,-0.757177,-0.928926,-0.598657,-0.720084,-0.686570,-0.580222,-0.901464,0.214066
no_agent,relative_clause,passive,recursive,False,-0.610466,-0.593242,-0.896761,-0.668941,-0.881944,-0.704928,-0.504998,-0.346653,-0.861689
and_or,get_passive,logical,passive,False,-0.594859,-0.688018,-0.762553,-0.458585,-0.537540,-0.821792,-0.701405,-0.539722,-0.600022
causal,scope_quantifier,logical,negation,False,-0.588207,-0.721782,-0.943794,-0.640861,-0.868181,-0.687477,-0.429612,-0.926830,0.224029
causal,relative_clause,logical,recursive,False,-0.588118,-0.549736,-0.917193,-0.518787,-0.929121,-0.900386,-0.580104,-0.450919,-0.838632
morphological_neg,pp_chain,negation,recursive,False,-0.576866,-0.613257,-0.868243,-0.670517,-0.459087,-0.565409,-0.513455,-0.617121,-0.606599
