a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
conditional,morphological_neg,logical,negation,False,0.828773,0.862050,0.967350,0.808423,0.724035,0.774063,0.752157,0.949921,0.910934
causal,contrast,logical,logical,True,0.826740,0.903255,0.975257,0.834974,0.970517,0.240806,0.833200,0.963602,0.994394
causal,no_agent,logical,passive,False,0.825535,0.726732,0.828809,0.801888,0.933163,0.807468,0.875943,0.968186,0.988480
causal,morphological_neg,logical,negation,False,0.817902,0.875779,0.972128,0.626257,0.773627,0.313420,0.896904,0.983476,0.887662
causal,conditional,logical,logical,True,0.807649,0.820897,0.963247,0.712001,0.963923,0.799707,0.729917,0.940055,0.973621
causal,inference,logical,logical,True,0.798905,0.808078,0.988273,0.753777,0.716793,0.817030,0.687201,0.960283,0.985758
conditional,inference,logical,logical,True,0.788917,0.821531,0.975904,0.620207,0.674891,0.601176,0.843574,0.953051,0.986507
conditional,contrast,logical,logical,True,0.760236,0.814097,0.988880,0.733784,0.967266,0.044300,0.823719,0.984884,0.980704
conditional,no_agent,logical,passive,False,0.753027,0.720187,0.832372,0.704232,0.944909,0.347812,0.741693,0.971890,0.976213
contrast,no_agent,logical,passive,False,0.752606,0.712913,0.845420,0.790687,0.949622,0.317028,0.826104,0.992980,0.987891
contrast,morphological_neg,logical,negation,False,0.747491,0.867647,0.967938,0.729390,0.757327,-0.170126,0.823083,0.957615,0.906297
contrast,inference,logical,logical,True,0.741553,0.796707,0.989270,0.652628,0.700602,0.206712,0.854157,0.977253,0.992841
and_or,morphological_neg,logical,negation,False,0.731718,0.871453,0.921964,0.562153,0.585108,0.965303,0.935041,0.441722,0.789168
inference,no_agent,logical,passive,False,0.725678,0.668991,0.829435,0.646860,0.640960,0.702230,0.748209,0.982538,0.978915
morphological_neg,no_agent,negation,passive,False,0.721557,0.769942,0.818535,0.596232,0.574747,-0.192895,0.837363,0.948561,0.879011
complement_clause,get_passive,recursive,passive,False,0.692680,0.778933,0.636783,0.807780,0.955144,-0.036904,0.490334,0.959079,0.800277
complement_clause,syntactic_do_not,recursive,negation,False,0.655018,0.668393,0.636391,0.764844,0.945337,0.325428,0.559134,0.948535,0.704577
inference,morphological_neg,logical,negation,False,0.654550,0.748710,0.977132,0.377356,0.607112,0.163137,0.649282,0.940654,0.909185
and_or,conditional,logical,logical,True,0.597453,0.735764,0.821760,0.472616,0.524425,0.869193,0.723207,0.356272,0.532106
get_passive,syntactic_do_not,passive,negation,False,0.586993,0.619688,0.979401,0.676041,0.920404,0.684278,0.299890,0.951151,0.516822
and_or,causal,logical,logical,True,0.556551,0.670991,0.903849,0.314014,0.479091,0.433109,0.777022,0.443657,0.469445
lexical_not_adj,scope_quantifier,negation,negation,True,0.555892,0.623374,0.791062,0.373349,0.973513,0.444349,0.362757,0.732758,0.529698
complement_clause,pp_chain,recursive,recursive,True,0.533562,0.475403,0.392487,0.608375,0.415291,0.369023,0.432787,0.697045,0.933720
and_or,no_agent,logical,passive,False,0.509704,0.727962,0.697976,0.242877,0.374380,-0.049440,0.749822,0.389683,0.445248
and_or,contrast,logical,logical,True,0.494841,0.689481,0.834850,0.312979,0.498085,-0.100245,0.755135,0.396358,0.496591
