a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.929259,0.957049,0.943113,0.934874,0.947469,1.000000,0.929633,0.909620,0.916505
future_will,progressive,tense,tense,True,0.894103,0.931499,0.655108,0.905925,0.868524,1.000000,0.865038,0.938636,0.855797
perfect,progressive,tense,tense,True,0.873140,0.950628,0.677951,0.893518,0.727346,1.000000,0.843904,0.930608,0.887124
concise,it_coref,style,coreference,False,0.870778,0.891063,0.783380,0.818163,0.596469,1.000000,0.950210,0.928779,0.977148
and_or,morphological_neg,logical,negation,False,0.855828,0.808017,0.901333,0.776004,0.876914,0.971606,0.902266,0.956502,0.899461
causal,morphological_neg,logical,negation,False,0.806908,0.828898,0.791740,0.763624,0.800617,0.295885,0.900990,0.961190,0.881739
deep_complement,nested_contrast,recursive,logical,False,0.781052,0.773695,0.300237,0.836408,0.448730,1.000000,0.790576,0.740538,0.740272
causal,no_agent,logical,passive,False,0.749113,0.696177,0.689057,0.670556,0.812869,0.917249,0.879184,0.410493,0.925615
conditional,morphological_neg,logical,negation,False,0.748567,0.552131,-0.208982,0.631509,0.574076,0.695015,0.927256,0.952721,0.868269
causal,conditional,logical,logical,True,0.745161,0.374264,0.090357,0.657073,0.693467,0.868584,0.905139,0.962199,0.934040
morphological_neg,past_simple,negation,tense,False,0.723545,0.893099,0.559708,0.768972,0.591908,-0.527853,0.834785,0.878524,0.449273
causal,inference,logical,logical,True,0.722421,0.388756,0.793726,0.489703,0.925725,0.752710,0.909262,0.989901,0.966299
conditional,inference,logical,logical,True,0.703669,0.351898,0.165687,0.612119,0.735293,0.615894,0.900574,0.968308,0.910804
casual,they_coref,style,coreference,False,0.701674,0.892944,0.969198,0.530142,0.996120,1.000000,0.532579,0.933866,0.939357
target_language_switch,they_coref,translation,coreference,False,0.699175,0.800635,0.592979,0.554527,0.652895,1.000000,0.718388,0.894191,0.759289
center_embedding,syntactic_do_not,recursive,negation,False,0.698634,0.938439,0.480741,0.787360,0.955484,-0.826375,0.649155,0.976962,0.891670
double_relative,they_coref,recursive,coreference,False,0.698632,0.725881,0.830660,0.557122,0.689569,1.000000,0.615168,0.853620,0.944125
en_zh_word,past_simple,translation,tense,False,0.691839,0.531795,0.710061,0.684649,0.743630,1.000000,0.687364,0.756685,0.932090
en_fr_phrase,past_simple,translation,tense,False,0.685111,0.376470,0.644152,0.718651,0.751488,1.000000,0.719877,0.795975,0.832877
it_coref,they_coref,coreference,coreference,True,0.683161,0.829425,0.818137,0.566729,0.606139,1.000000,0.622849,0.628586,0.935409
en_fr_phrase,en_fr_word,translation,translation,True,0.670081,0.721345,0.529695,0.519108,0.411199,1.000000,0.714171,0.280787,0.900535
en_fr_phrase,en_zh_word,translation,translation,True,0.666803,0.551714,0.553785,0.578480,0.589230,1.000000,0.744214,0.925146,0.811077
causal,past_simple,logical,tense,False,0.663801,0.831669,0.701770,0.809049,0.855715,-0.603935,0.720759,0.842226,0.574137
double_relative,it_coref,recursive,coreference,False,0.648817,0.742526,0.865580,0.617845,0.686190,1.000000,0.491721,0.362834,0.990154
inference,no_agent,logical,passive,False,0.637811,0.494192,0.790014,0.476361,0.700221,0.719426,0.836460,0.413061,0.907808
concise,double_relative,style,recursive,False,0.637593,0.652171,0.769492,0.586691,0.512271,1.000000,0.528102,0.514352,0.985823
causal,contrast,logical,logical,True,0.636189,0.566202,0.685338,0.877771,0.958172,0.238866,0.957792,0.972592,0.921532
and_or,past_simple,logical,tense,False,0.627817,0.698503,0.454547,0.605146,0.312234,-0.434395,0.826698,0.823924,0.276383
morphological_neg,no_agent,negation,passive,False,0.627578,0.615702,0.592088,0.547709,0.633668,0.066910,0.885946,0.395047,0.891837
by_phrase,syntactic_do_not,passive,negation,False,0.624843,0.745317,0.423325,0.729669,0.966844,0.495001,0.408980,0.428780,0.876404
