a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
en_zh_phrase,existential_no,translation,negation,False,-0.777912,-0.730847,-0.401987,-0.731200,-0.338377,-0.764810,-0.861905,-0.900370,-0.918777
by_phrase,en_zh_phrase,passive,translation,False,-0.768200,-0.665887,0.241070,-0.750369,0.118441,-0.699443,-0.923152,-0.842408,-0.819863
en_fr_word,never,translation,negation,False,-0.759855,-0.757538,-0.850154,-0.645468,-0.936438,-0.766392,-0.863478,-0.827351,-0.879598
dative_passive,en_zh_phrase,passive,translation,False,-0.742942,-0.502243,0.078545,-0.722932,0.029190,-0.674537,-0.897082,-0.918633,-0.873980
en_zh_phrase,relative_clause,translation,recursive,False,-0.741661,-0.682799,0.027699,-0.646398,0.199338,-0.659472,-0.876670,-0.937001,-0.928099
dative_passive,she_coref,passive,coreference,False,-0.741108,-0.669480,-0.552009,-0.734379,-0.836631,-0.674537,-0.897082,-0.918633,-0.829192
en_zh_phrase,never,translation,negation,False,-0.729039,-0.718694,-0.153360,-0.625241,0.071030,-0.766392,-0.863478,-0.827351,-0.855701
double_relative,existential_no,recursive,negation,False,-0.723252,-0.463960,-0.451321,-0.707248,-0.425462,-0.764810,-0.861905,-0.900370,-0.853267
en_fr_word,relative_clause,translation,recursive,False,-0.721662,-0.745553,-0.917363,-0.499311,-0.885966,-0.659472,-0.876670,-0.937001,-0.926242
en_fr_word,get_passive,translation,passive,False,-0.717149,-0.544252,-0.759982,-0.647956,-0.821532,-0.664248,-0.929896,-0.965714,-0.755385
en_zh_phrase,syntactic_do_not,translation,negation,False,-0.714333,-0.715041,-0.026557,-0.671049,0.106419,-0.697494,-0.819263,-0.819953,-0.837053
existential_no,nested_passive,negation,passive,False,-0.712321,-0.336066,-0.613344,-0.656705,-0.502234,-0.764810,-0.861905,-0.900370,-0.873667
long_passive,never,passive,negation,False,-0.711575,-0.628868,-0.405183,-0.661263,-0.421315,-0.766392,-0.863478,-0.827351,-0.722837
conditional,progressive,logical,tense,False,-0.710954,-0.714403,-0.884423,-0.598136,-0.567149,-0.735280,-0.785203,-0.599425,-0.856870
dative_passive,nested_passive,passive,passive,True,-0.706664,-0.410738,0.079597,-0.645212,-0.132246,-0.674537,-0.897082,-0.918633,-0.798037
by_phrase,target_language_switch,passive,translation,False,-0.706292,-0.616521,-0.706607,-0.643279,-0.717694,-0.699443,-0.923152,-0.842408,-0.747169
existential_no,long_passive,negation,passive,False,-0.700576,-0.466503,-0.628392,-0.608523,-0.675813,-0.764810,-0.861905,-0.900370,-0.789052
get_passive,long_passive,passive,passive,True,-0.696289,-0.493838,-0.452994,-0.627058,-0.516170,-0.664248,-0.929896,-0.965714,-0.640348
syntactic_do_not,target_language_switch,negation,translation,False,-0.695938,-0.786636,-0.603627,-0.656559,-0.659633,-0.697494,-0.819263,-0.819953,-0.692195
en_fr_word,syntactic_do_not,translation,negation,False,-0.695140,-0.778542,-0.769073,-0.553163,-0.589655,-0.697494,-0.819263,-0.819953,-0.805505
en_fr_word,scope_quantifier,translation,negation,False,-0.689528,-0.596390,-0.824970,-0.668310,-0.933685,-0.614394,-0.786532,-0.742894,-0.889128
conditional,poetic,logical,style,False,-0.684056,-0.621236,-0.653301,-0.617153,-0.902603,-0.735280,-0.785203,-0.599425,-0.890888
double_relative,get_passive,recursive,passive,False,-0.682479,-0.374001,-0.378752,-0.561679,-0.281007,-0.664248,-0.929896,-0.965714,-0.859718
long_passive,relative_clause,passive,recursive,False,-0.677251,-0.521227,-0.282896,-0.464849,-0.248180,-0.659472,-0.876670,-0.937001,-0.848287
contrast,poetic,logical,style,False,-0.674736,-0.702810,-0.924525,-0.600220,-0.847812,-0.711014,-0.754696,-0.512662,-0.836319
conditional,future_will,logical,tense,False,-0.674579,-0.706206,-0.844505,-0.537252,-0.167052,-0.735280,-0.785203,-0.599425,-0.778584
relative_clause,target_language_switch,recursive,translation,False,-0.673641,-0.726012,-0.238616,-0.550907,-0.834184,-0.659472,-0.876670,-0.937001,-0.650380
en_zh_phrase,get_passive,translation,passive,False,-0.673136,-0.435707,-0.226783,-0.481865,-0.116401,-0.664248,-0.929896,-0.965714,-0.878969
dative_passive,target_language_switch,passive,translation,False,-0.672180,-0.484836,-0.576025,-0.680122,-0.737306,-0.674537,-0.897082,-0.918633,-0.679820
double_relative,never,recursive,negation,False,-0.670942,-0.418251,-0.169673,-0.662044,-0.184859,-0.766392,-0.863478,-0.827351,-0.759739
