a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
causal,contrast,logical,logical,True,0.995315,0.993020,0.997855,0.993729,0.999181,0.994971,0.989947,0.993850,0.999964
contrast,no_agent,logical,passive,False,0.995011,0.983917,0.998335,0.990825,0.997676,0.999304,0.990638,0.999453,0.999937
contrast,inference,logical,logical,True,0.994921,0.986979,0.998639,0.989628,0.998707,0.996028,0.990440,0.999004,0.999941
causal,inference,logical,logical,True,0.994420,0.987569,0.998918,0.993202,0.999366,0.999795,0.982478,0.994121,0.999913
causal,no_agent,logical,passive,False,0.993827,0.985126,0.996459,0.992199,0.997228,0.991426,0.993317,0.994930,0.999932
conditional,inference,logical,logical,True,0.993026,0.987357,0.994788,0.988367,0.996012,0.991395,0.990426,0.995978,0.999886
inference,no_agent,logical,passive,False,0.992712,0.981341,0.997431,0.988624,0.995064,0.992750,0.987048,0.999577,0.999862
conditional,morphological_neg,logical,negation,False,0.992347,0.989481,0.995152,0.992793,0.984719,0.995400,0.989733,0.991902,0.999600
causal,conditional,logical,logical,True,0.991953,0.986584,0.994079,0.990807,0.997565,0.992877,0.988600,0.985328,0.999780
conditional,contrast,logical,logical,True,0.991769,0.986358,0.996936,0.989597,0.997959,0.976687,0.990094,0.996719,0.999802
and_or,morphological_neg,logical,negation,False,0.991726,0.989941,0.992596,0.969204,0.990603,0.999965,0.995162,0.997335,0.999003
lexical_not_adj,scope_quantifier,negation,negation,True,0.991485,0.984189,0.993038,0.991270,0.999282,0.986472,0.985239,0.993252,0.999134
conditional,no_agent,logical,passive,False,0.991093,0.985421,0.998994,0.991481,0.998228,0.969885,0.989686,0.995301,0.999749
causal,morphological_neg,logical,negation,False,0.991013,0.989794,0.997548,0.985914,0.986957,0.977193,0.993731,0.997717,0.999252
by_phrase,lexical_not_adj,passive,negation,False,0.988411,0.967566,0.997456,0.981784,0.997618,0.998212,0.973416,0.991520,0.999717
existential_no,never,negation,negation,True,0.988373,0.969065,0.995134,0.984524,0.995937,0.997362,0.973348,0.992048,0.999570
inference,morphological_neg,logical,negation,False,0.987893,0.982914,0.997431,0.979764,0.989736,0.974749,0.983489,0.995573,0.999488
contrast,morphological_neg,logical,negation,False,0.987402,0.989328,0.997288,0.987504,0.987220,0.952121,0.990114,0.996269,0.999372
lexical_not_adj,never,negation,negation,True,0.987337,0.964900,0.987460,0.990987,0.990423,0.985548,0.983280,0.997046,0.999052
complement_clause,scope_quantifier,recursive,negation,False,0.986577,0.973901,0.992617,0.981571,0.994719,0.995639,0.970725,0.991676,0.991767
never,scope_quantifier,negation,negation,True,0.986121,0.965847,0.976243,0.989349,0.991149,0.999002,0.980300,0.987828,0.999249
by_phrase,scope_quantifier,passive,negation,False,0.986059,0.969011,0.992142,0.985656,0.997911,0.976617,0.976037,0.991517,0.999580
and_or,conditional,logical,logical,True,0.985338,0.981661,0.983989,0.967028,0.982845,0.995463,0.988825,0.985094,0.997797
complement_clause,get_passive,recursive,passive,False,0.985200,0.981533,0.998333,0.988543,0.998396,0.965476,0.953545,0.997706,0.998066
complement_clause,syntactic_do_not,recursive,negation,False,0.983956,0.970005,0.995742,0.981689,0.997862,0.980668,0.953026,0.995398,0.997255
