subtype,category,model_a,model_b,vector_set,similarity
and_or,logical,glm4,deepseek7b,raw,0.8366971115430448
and_or,logical,qwen3,deepseek7b,raw,0.9486679726414949
and_or,logical,qwen3,glm4,raw,0.8922679947701263
by_phrase,passive,glm4,deepseek7b,raw,0.7342573226318366
by_phrase,passive,qwen3,deepseek7b,raw,0.73534701538649
by_phrase,passive,qwen3,glm4,raw,0.8747263699180746
causal,logical,glm4,deepseek7b,raw,0.7667386504780588
causal,logical,qwen3,deepseek7b,raw,0.7230784785278814
causal,logical,qwen3,glm4,raw,0.6704854234311318
complement_clause,recursive,glm4,deepseek7b,raw,0.8718391670456641
complement_clause,recursive,qwen3,deepseek7b,raw,0.8990180037826595
complement_clause,recursive,qwen3,glm4,raw,0.8967523587545627
conditional,logical,glm4,deepseek7b,raw,0.9035769901308801
conditional,logical,qwen3,deepseek7b,raw,0.90984149788392
conditional,logical,qwen3,glm4,raw,0.7857024147395538
contrast,logical,glm4,deepseek7b,raw,0.7447565690722575
contrast,logical,qwen3,deepseek7b,raw,0.7591411649869093
contrast,logical,qwen3,glm4,raw,0.6684256134021959
dative_passive,passive,glm4,deepseek7b,raw,0.7840909864767873
dative_passive,passive,qwen3,deepseek7b,raw,0.8700753703277629
dative_passive,passive,qwen3,glm4,raw,0.8223569484639497
existential_no,negation,glm4,deepseek7b,raw,0.9196958660050044
existential_no,negation,qwen3,deepseek7b,raw,0.8888617333844764
existential_no,negation,qwen3,glm4,raw,0.9884057082837595
get_passive,passive,glm4,deepseek7b,raw,0.7418861707776049
get_passive,passive,qwen3,deepseek7b,raw,0.9008169371683614
get_passive,passive,qwen3,glm4,raw,0.7281526301449549
inference,logical,glm4,deepseek7b,raw,0.6964434719205514
inference,logical,qwen3,deepseek7b,raw,0.9086558869655844
inference,logical,qwen3,glm4,raw,0.7712363152532612
lexical_not_adj,negation,glm4,deepseek7b,raw,0.839270151743242
lexical_not_adj,negation,qwen3,deepseek7b,raw,0.875044778433997
lexical_not_adj,negation,qwen3,glm4,raw,0.7788675091872503
morphological_neg,negation,glm4,deepseek7b,raw,0.8818865852349154
morphological_neg,negation,qwen3,deepseek7b,raw,0.9275513660134567
morphological_neg,negation,qwen3,glm4,raw,0.8734784853465078
never,negation,glm4,deepseek7b,raw,0.9297325419397134
never,negation,qwen3,deepseek7b,raw,0.8116684769600266
never,negation,qwen3,glm4,raw,0.9202635454263935
no_agent,passive,glm4,deepseek7b,raw,0.8260035121920245
no_agent,passive,qwen3,deepseek7b,raw,0.6491665909180439
no_agent,passive,qwen3,glm4,raw,0.796404229832967
possessive_chain,recursive,glm4,deepseek7b,raw,0.9504165856397058
possessive_chain,recursive,qwen3,deepseek7b,raw,0.857277922776561
possessive_chain,recursive,qwen3,glm4,raw,0.8523222533247802
pp_chain,recursive,glm4,deepseek7b,raw,0.9153259192789289
pp_chain,recursive,qwen3,deepseek7b,raw,0.8907443998497995
pp_chain,recursive,qwen3,glm4,raw,0.8833437417520191
relative_clause,recursive,glm4,deepseek7b,raw,0.8603685481397856
relative_clause,recursive,qwen3,deepseek7b,raw,0.9586241853444939
relative_clause,recursive,qwen3,glm4,raw,0.784186515273113
scope_quantifier,negation,glm4,deepseek7b,raw,0.9368539248374801
scope_quantifier,negation,qwen3,deepseek7b,raw,0.7279313476699444
scope_quantifier,negation,qwen3,glm4,raw,0.8698051138698966
syntactic_do_not,negation,glm4,deepseek7b,raw,0.9059526151656728
syntactic_do_not,negation,qwen3,deepseek7b,raw,0.8996577846699916
syntactic_do_not,negation,qwen3,glm4,raw,0.8434733905690911
and_or,logical,glm4,deepseek7b,model_centered,0.611410067610133
and_or,logical,qwen3,deepseek7b,model_centered,0.7250310745308722
and_or,logical,qwen3,glm4,model_centered,0.3409245635413949
by_phrase,passive,glm4,deepseek7b,model_centered,-0.20189718300426665
by_phrase,passive,qwen3,deepseek7b,model_centered,-0.1992987122844843
by_phrase,passive,qwen3,glm4,model_centered,0.7576630267822253
causal,logical,glm4,deepseek7b,model_centered,0.42933398114309473
causal,logical,qwen3,deepseek7b,model_centered,0.38498786561525183
causal,logical,qwen3,glm4,model_centered,0.4733611249286526
complement_clause,recursive,glm4,deepseek7b,model_centered,-0.1912563556051018
complement_clause,recursive,qwen3,deepseek7b,model_centered,0.4305564511641993
complement_clause,recursive,qwen3,glm4,model_centered,0.5213117352216696
conditional,logical,glm4,deepseek7b,model_centered,-0.2816701439108
conditional,logical,qwen3,deepseek7b,model_centered,0.6022401533169757
conditional,logical,qwen3,glm4,model_centered,-0.17159001865521684
contrast,logical,glm4,deepseek7b,model_centered,0.4190185642723267
contrast,logical,qwen3,deepseek7b,model_centered,0.3221665340290922
contrast,logical,qwen3,glm4,model_centered,0.5564707823132502
dative_passive,passive,glm4,deepseek7b,model_centered,0.09191571172946175
dative_passive,passive,qwen3,deepseek7b,model_centered,-0.12230899359629878
dative_passive,passive,qwen3,glm4,model_centered,0.5806487656338734
existential_no,negation,glm4,deepseek7b,model_centered,-0.24849225785507884
existential_no,negation,qwen3,deepseek7b,model_centered,-0.07011833561606964
existential_no,negation,qwen3,glm4,model_centered,0.7697267680611852
get_passive,passive,glm4,deepseek7b,model_centered,-0.20497992343786933
get_passive,passive,qwen3,deepseek7b,model_centered,0.508527376299849
get_passive,passive,qwen3,glm4,model_centered,-0.19242276477516115
inference,logical,glm4,deepseek7b,model_centered,0.22876754915168207
inference,logical,qwen3,deepseek7b,model_centered,0.1370872923204206
inference,logical,qwen3,glm4,model_centered,0.14535364610540322
lexical_not_adj,negation,glm4,deepseek7b,model_centered,0.22948808296604653
lexical_not_adj,negation,qwen3,deepseek7b,model_centered,-0.24604938881968344
lexical_not_adj,negation,qwen3,glm4,model_centered,0.2647819625858246
morphological_neg,negation,glm4,deepseek7b,model_centered,0.7802271343748526
morphological_neg,negation,qwen3,deepseek7b,model_centered,0.6427562685258694
morphological_neg,negation,qwen3,glm4,model_centered,0.629683243119472
never,negation,glm4,deepseek7b,model_centered,0.3432508733130388
never,negation,qwen3,deepseek7b,model_centered,0.06307625876161278
never,negation,qwen3,glm4,model_centered,0.7862913449066403
no_agent,passive,glm4,deepseek7b,model_centered,0.7305443917535022
no_agent,passive,qwen3,deepseek7b,model_centered,0.48483064083462074
no_agent,passive,qwen3,glm4,model_centered,0.749515275002658
possessive_chain,recursive,glm4,deepseek7b,model_centered,0.4064040268503451
possessive_chain,recursive,qwen3,deepseek7b,model_centered,-0.6325817934122963
possessive_chain,recursive,qwen3,glm4,model_centered,-0.7205634787256388
pp_chain,recursive,glm4,deepseek7b,model_centered,0.39150273542598907
pp_chain,recursive,qwen3,deepseek7b,model_centered,-0.2181946340605031
pp_chain,recursive,qwen3,glm4,model_centered,0.23355546493799478
relative_clause,recursive,glm4,deepseek7b,model_centered,0.03536532832380642
relative_clause,recursive,qwen3,deepseek7b,model_centered,0.5982932067318947
relative_clause,recursive,qwen3,glm4,model_centered,0.14140611680592544
scope_quantifier,negation,glm4,deepseek7b,model_centered,0.35845972744050353
scope_quantifier,negation,qwen3,deepseek7b,model_centered,-0.08894857138677921
scope_quantifier,negation,qwen3,glm4,model_centered,0.5053808675289535
syntactic_do_not,negation,glm4,deepseek7b,model_centered,-0.570660753481152
syntactic_do_not,negation,qwen3,deepseek7b,model_centered,0.2683833295039312
syntactic_do_not,negation,qwen3,glm4,model_centered,0.3371914805518672
and_or,logical,glm4,deepseek7b,category_centered,0.13744353114091115
and_or,logical,qwen3,deepseek7b,category_centered,0.467009676153774
and_or,logical,qwen3,glm4,category_centered,-0.06985173326711507
by_phrase,passive,glm4,deepseek7b,category_centered,0.23522956180533344
by_phrase,passive,qwen3,deepseek7b,category_centered,-0.39173915284348
by_phrase,passive,qwen3,glm4,category_centered,0.0865588378790927
causal,logical,glm4,deepseek7b,category_centered,-0.09561756016636103
causal,logical,qwen3,deepseek7b,category_centered,-0.40841177650992766
causal,logical,qwen3,glm4,category_centered,0.338661775752679
complement_clause,recursive,glm4,deepseek7b,category_centered,0.014268663667465143
complement_clause,recursive,qwen3,deepseek7b,category_centered,0.27630918097238344
complement_clause,recursive,qwen3,glm4,category_centered,0.003849413504152367
conditional,logical,glm4,deepseek7b,category_centered,0.024992340963643278
conditional,logical,qwen3,deepseek7b,category_centered,0.44005742119044633
conditional,logical,qwen3,glm4,category_centered,-0.05327130416849683
contrast,logical,glm4,deepseek7b,category_centered,0.0414223720051755
contrast,logical,qwen3,deepseek7b,category_centered,-0.5437305661186721
contrast,logical,qwen3,glm4,category_centered,0.48845913990779727
dative_passive,passive,glm4,deepseek7b,category_centered,0.6863676030943184
dative_passive,passive,qwen3,deepseek7b,category_centered,0.02246011121019836
dative_passive,passive,qwen3,glm4,category_centered,0.23265945646747993
existential_no,negation,glm4,deepseek7b,category_centered,-0.2343226967571361
existential_no,negation,qwen3,deepseek7b,category_centered,-0.046404478319784885
existential_no,negation,qwen3,glm4,category_centered,0.8103572894950208
get_passive,passive,glm4,deepseek7b,category_centered,0.6460298091678398
get_passive,passive,qwen3,deepseek7b,category_centered,0.47565998853792985
get_passive,passive,qwen3,glm4,category_centered,0.2685306865183867
inference,logical,glm4,deepseek7b,category_centered,0.16817787931755757
inference,logical,qwen3,deepseek7b,category_centered,0.23360414077855907
inference,logical,qwen3,glm4,category_centered,-0.5670493608744176
lexical_not_adj,negation,glm4,deepseek7b,category_centered,0.26129862737349235
lexical_not_adj,negation,qwen3,deepseek7b,category_centered,-0.49552347012309794
lexical_not_adj,negation,qwen3,glm4,category_centered,-0.1678167463086401
morphological_neg,negation,glm4,deepseek7b,category_centered,0.6284770318730469
morphological_neg,negation,qwen3,deepseek7b,category_centered,0.5219966255285698
morphological_neg,negation,qwen3,glm4,category_centered,0.6631144421376619
never,negation,glm4,deepseek7b,category_centered,0.31386913127606636
never,negation,qwen3,deepseek7b,category_centered,0.19289806038069107
never,negation,qwen3,glm4,category_centered,0.6353772906482099
no_agent,passive,glm4,deepseek7b,category_centered,0.5438321068552804
no_agent,passive,qwen3,deepseek7b,category_centered,0.5244051248013479
no_agent,passive,qwen3,glm4,category_centered,0.36539389203129025
possessive_chain,recursive,glm4,deepseek7b,category_centered,-0.04388416312386617
possessive_chain,recursive,qwen3,deepseek7b,category_centered,-0.21648443275830273
possessive_chain,recursive,qwen3,glm4,category_centered,-0.553247692019706
pp_chain,recursive,glm4,deepseek7b,category_centered,0.43537819203518696
pp_chain,recursive,qwen3,deepseek7b,category_centered,-0.4059871683963063
pp_chain,recursive,qwen3,glm4,category_centered,-0.46163908250254587
relative_clause,recursive,glm4,deepseek7b,category_centered,0.003953308385364591
relative_clause,recursive,qwen3,deepseek7b,category_centered,0.4431683070886991
relative_clause,recursive,qwen3,glm4,category_centered,-0.49445398638234883
scope_quantifier,negation,glm4,deepseek7b,category_centered,0.365858972415686
scope_quantifier,negation,qwen3,deepseek7b,category_centered,0.11817252595551853
scope_quantifier,negation,qwen3,glm4,category_centered,0.32012615176510356
syntactic_do_not,negation,glm4,deepseek7b,category_centered,-0.4298418250655154
syntactic_do_not,negation,qwen3,deepseek7b,category_centered,0.1784568352158346
syntactic_do_not,negation,qwen3,glm4,category_centered,0.39090003872437595
and_or,logical,glm4,deepseek7b,group_normalized,0.7804514936947677
and_or,logical,qwen3,deepseek7b,group_normalized,0.8000633574824998
and_or,logical,qwen3,glm4,group_normalized,0.831030102597275
by_phrase,passive,glm4,deepseek7b,group_normalized,0.707542361680727
by_phrase,passive,qwen3,deepseek7b,group_normalized,0.7141193577731998
by_phrase,passive,qwen3,glm4,group_normalized,0.8837931690844498
causal,logical,glm4,deepseek7b,group_normalized,0.6981374251213318
causal,logical,qwen3,deepseek7b,group_normalized,0.6703871605127549
causal,logical,qwen3,glm4,group_normalized,0.736423682126465
complement_clause,recursive,glm4,deepseek7b,group_normalized,0.7580373310091707
complement_clause,recursive,qwen3,deepseek7b,group_normalized,0.7870288275200071
complement_clause,recursive,qwen3,glm4,group_normalized,0.9171620038124586
conditional,logical,glm4,deepseek7b,group_normalized,0.7462353241334972
conditional,logical,qwen3,deepseek7b,group_normalized,0.734740736110531
conditional,logical,qwen3,glm4,group_normalized,0.7914206879089344
contrast,logical,glm4,deepseek7b,group_normalized,0.6800828888917669
contrast,logical,qwen3,deepseek7b,group_normalized,0.6934917306715901
contrast,logical,qwen3,glm4,group_normalized,0.7656201625042042
dative_passive,passive,glm4,deepseek7b,group_normalized,0.7116469641667037
dative_passive,passive,qwen3,deepseek7b,group_normalized,0.7723981009836023
dative_passive,passive,qwen3,glm4,group_normalized,0.8860189947024257
existential_no,negation,glm4,deepseek7b,group_normalized,0.8350879024299774
existential_no,negation,qwen3,deepseek7b,group_normalized,0.8507735201123424
existential_no,negation,qwen3,glm4,group_normalized,0.8940170214464654
get_passive,passive,glm4,deepseek7b,group_normalized,0.7044604130899643
get_passive,passive,qwen3,deepseek7b,group_normalized,0.8145650814756856
get_passive,passive,qwen3,glm4,group_normalized,0.8618209444117142
inference,logical,glm4,deepseek7b,group_normalized,0.6788253861517267
inference,logical,qwen3,deepseek7b,group_normalized,0.7260596670550257
inference,logical,qwen3,glm4,group_normalized,0.7826066754608433
lexical_not_adj,negation,glm4,deepseek7b,group_normalized,0.7893522611980709
lexical_not_adj,negation,qwen3,deepseek7b,group_normalized,0.8349929984630373
lexical_not_adj,negation,qwen3,glm4,group_normalized,0.8563819020141882
morphological_neg,negation,glm4,deepseek7b,group_normalized,0.7490922121393084
morphological_neg,negation,qwen3,deepseek7b,group_normalized,0.802588209998141
morphological_neg,negation,qwen3,glm4,group_normalized,0.8067159134900002
never,negation,glm4,deepseek7b,group_normalized,0.8317578451745425
never,negation,qwen3,deepseek7b,group_normalized,0.8262462741836579
never,negation,qwen3,glm4,group_normalized,0.9009122501820194
no_agent,passive,glm4,deepseek7b,group_normalized,0.6249168113615671
no_agent,passive,qwen3,deepseek7b,group_normalized,0.6132157879813344
no_agent,passive,qwen3,glm4,group_normalized,0.8038239031318105
possessive_chain,recursive,glm4,deepseek7b,group_normalized,0.787426991160359
possessive_chain,recursive,qwen3,deepseek7b,group_normalized,0.7698458160170678
possessive_chain,recursive,qwen3,glm4,group_normalized,0.9116327516561727
pp_chain,recursive,glm4,deepseek7b,group_normalized,0.7486199848007338
pp_chain,recursive,qwen3,deepseek7b,group_normalized,0.8000954332811123
pp_chain,recursive,qwen3,glm4,group_normalized,0.9162564170220583
relative_clause,recursive,glm4,deepseek7b,group_normalized,0.7725275970958098
relative_clause,recursive,qwen3,deepseek7b,group_normalized,0.8602476168547727
relative_clause,recursive,qwen3,glm4,group_normalized,0.8769514825601257
scope_quantifier,negation,glm4,deepseek7b,group_normalized,0.8187912383443601
scope_quantifier,negation,qwen3,deepseek7b,group_normalized,0.7822697317621637
scope_quantifier,negation,qwen3,glm4,group_normalized,0.8913617210349607
syntactic_do_not,negation,glm4,deepseek7b,group_normalized,0.7817649275671955
syntactic_do_not,negation,qwen3,deepseek7b,group_normalized,0.815885114615946
syntactic_do_not,negation,qwen3,glm4,group_normalized,0.8702510954118586
and_or,logical,glm4,deepseek7b,zscore_model,0.05924401248048389
and_or,logical,qwen3,deepseek7b,zscore_model,0.045557995794483386
and_or,logical,qwen3,glm4,zscore_model,0.011785304166030963
by_phrase,passive,glm4,deepseek7b,zscore_model,-0.315467951820055
by_phrase,passive,qwen3,deepseek7b,zscore_model,-0.4314473055556316
by_phrase,passive,qwen3,glm4,zscore_model,0.40707303749843726
causal,logical,glm4,deepseek7b,zscore_model,-0.14746494480924235
causal,logical,qwen3,deepseek7b,zscore_model,-0.029763499638283408
causal,logical,qwen3,glm4,zscore_model,0.5684679891242522
complement_clause,recursive,glm4,deepseek7b,zscore_model,0.014779227095939753
complement_clause,recursive,qwen3,deepseek7b,zscore_model,-0.07639943398813852
complement_clause,recursive,qwen3,glm4,zscore_model,-0.023159863789085855
conditional,logical,glm4,deepseek7b,zscore_model,-0.47660428666577814
conditional,logical,qwen3,deepseek7b,zscore_model,-0.11533730124911207
conditional,logical,qwen3,glm4,zscore_model,0.4838569044158196
contrast,logical,glm4,deepseek7b,zscore_model,-0.22192629699865163
