a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
by_phrase,get_passive,passive,passive,True,0.990025,0.986517,0.991918,0.986902,0.996983,0.979905,0.983170,0.995499,0.999305
by_phrase,possessive_chain,passive,recursive,False,0.983213,0.988199,0.997934,0.982516,0.994286,0.987405,0.940587,0.978041,0.996739
possessive_chain,relative_clause,recursive,recursive,True,0.983160,0.968737,0.998484,0.967752,0.990302,0.982007,0.971898,0.988543,0.997559
by_phrase,relative_clause,passive,recursive,False,0.981367,0.964877,0.995473,0.980554,0.989641,0.984895,0.951448,0.987229,0.996818
get_passive,possessive_chain,passive,recursive,False,0.981358,0.995493,0.987581,0.991040,0.995445,0.938601,0.957938,0.986794,0.997976
get_passive,relative_clause,passive,recursive,False,0.977494,0.964191,0.986329,0.961310,0.989564,0.963745,0.971069,0.986582,0.997160
lexical_not_adj,possessive_chain,negation,recursive,False,0.973541,0.962803,0.985070,0.962301,0.970899,0.990689,0.942348,0.980231,0.993985
by_phrase,lexical_not_adj,passive,negation,False,0.972538,0.954204,0.976632,0.935594,0.948899,0.988230,0.984036,0.997781,0.994925
lexical_not_adj,relative_clause,negation,recursive,False,0.971545,0.960789,0.987159,0.943520,0.964715,0.961301,0.966694,0.992854,0.995329
conditional,inference,logical,logical,True,0.970418,0.933695,0.985271,0.974662,0.989970,0.993040,0.906537,0.982139,0.998029
get_passive,lexical_not_adj,passive,negation,False,0.967941,0.957119,0.957117,0.949830,0.954423,0.944110,0.992935,0.993825,0.994166
and_or,inference,logical,logical,True,0.962646,0.935868,0.963405,0.960159,0.991052,0.978569,0.912095,0.962077,0.997945
contrast,inference,logical,logical,True,0.961728,0.956056,0.989656,0.970703,0.977828,0.918916,0.919933,0.962274,0.998454
existential_no,inference,negation,logical,False,0.961145,0.917770,0.969975,0.935170,0.975309,0.992212,0.917292,0.986537,0.994897
and_or,contrast,logical,logical,True,0.960258,0.976629,0.975211,0.948000,0.959618,0.872324,0.972148,0.980451,0.997680
and_or,relative_clause,logical,recursive,False,0.959654,0.931200,0.963708,0.956605,0.988932,0.982168,0.877600,0.983449,0.993571
and_or,lexical_not_adj,logical,negation,False,0.959645,0.944905,0.956396,0.953953,0.981878,0.957417,0.906252,0.982315,0.994042
existential_no,lexical_not_adj,negation,negation,True,0.958258,0.898031,0.989131,0.966201,0.991331,0.899951,0.936321,0.991042,0.994058
conditional,contrast,logical,logical,True,0.956863,0.922464,0.982439,0.970524,0.992021,0.907348,0.959142,0.924710,0.996255
and_or,causal,logical,logical,True,0.956673,0.888929,0.985546,0.958475,0.996982,0.981082,0.956027,0.887280,0.999063
contrast,get_passive,logical,passive,False,0.953821,0.900340,0.985668,0.950501,0.961216,0.984226,0.880309,0.976082,0.992222
conditional,existential_no,logical,negation,False,0.953366,0.937697,0.945039,0.935440,0.953599,0.974020,0.929128,0.961599,0.990408
and_or,existential_no,logical,negation,False,0.952924,0.891628,0.927268,0.946417,0.992973,0.957408,0.946289,0.963026,0.998381
and_or,morphological_neg,logical,negation,False,0.952797,0.960819,0.958580,0.765173,0.975862,0.991356,0.987509,0.986279,0.996795
contrast,relative_clause,logical,recursive,False,0.952349,0.940527,0.989560,0.947719,0.964627,0.927907,0.873789,0.982666,0.992002
