a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
complement_clause,no_agent,recursive,passive,False,0.614320,0.806238,0.276825,0.864735,0.965232,0.937677,0.579344,-0.487756,0.972267
complement_clause,morphological_neg,recursive,negation,False,0.620541,0.840371,0.579958,0.696813,0.922457,0.767479,0.559721,-0.365481,0.963012
complement_clause,existential_no,recursive,negation,False,0.644015,0.805224,0.485194,0.868217,0.950730,0.815047,0.631402,-0.367547,0.963853
causal,complement_clause,logical,recursive,False,0.649200,0.808002,0.607446,0.921901,0.970016,0.750005,0.578948,-0.417664,0.974945
and_or,complement_clause,logical,recursive,False,0.654310,0.849598,0.565484,0.931426,0.972647,0.764970,0.575811,-0.397888,0.972428
complement_clause,lexical_not_adj,recursive,negation,False,0.685421,0.907520,0.538350,0.901251,0.930720,0.787280,0.777960,-0.333436,0.973724
complement_clause,inference,recursive,logical,False,0.687228,0.857525,0.624757,0.923787,0.985261,0.796292,0.599139,-0.264568,0.975632
complement_clause,conditional,recursive,logical,False,0.700966,0.818169,0.709792,0.929530,0.982928,0.762859,0.565792,-0.136423,0.975084
complement_clause,contrast,recursive,logical,False,0.702555,0.859800,0.672209,0.907642,0.971777,0.955737,0.579431,-0.301715,0.975559
no_agent,pp_chain,passive,recursive,False,0.725759,0.795194,0.589865,0.897991,0.917725,0.537089,0.592632,0.495260,0.980319
by_phrase,complement_clause,passive,recursive,False,0.732015,0.956835,0.661279,0.959751,0.977265,0.864475,0.787586,-0.332522,0.981450
complement_clause,relative_clause,recursive,recursive,True,0.737569,0.942889,0.630662,0.932884,0.974586,0.864290,0.845960,-0.276735,0.986020
complement_clause,syntactic_do_not,recursive,negation,False,0.745708,0.801464,0.700083,0.920226,0.951257,0.992836,0.728426,-0.114677,0.986046
complement_clause,never,recursive,negation,False,0.746480,0.852905,0.725211,0.794727,0.950510,0.973099,0.784534,-0.093050,0.983905
complement_clause,dative_passive,recursive,passive,False,0.754832,0.901319,0.855310,0.863313,0.984217,0.826490,0.765961,-0.150656,0.992704
morphological_neg,pp_chain,negation,recursive,False,0.754851,0.802424,0.730681,0.681869,0.815745,0.947076,0.586363,0.502706,0.971943
existential_no,pp_chain,negation,recursive,False,0.759457,0.765380,0.664850,0.838997,0.843550,0.916175,0.620997,0.454617,0.971091
complement_clause,possessive_chain,recursive,recursive,True,0.762268,0.968852,0.633990,0.971908,0.981226,0.786187,0.920389,-0.155741,0.991336
complement_clause,get_passive,recursive,passive,False,0.769664,0.971386,0.741116,0.975062,0.985096,0.944518,0.814485,-0.260451,0.986098
complement_clause,scope_quantifier,recursive,negation,False,0.782426,0.951997,0.622735,0.943848,0.946247,0.986914,0.890467,-0.072326,0.989528
pp_chain,syntactic_do_not,recursive,negation,False,0.789492,0.734162,0.792281,0.889571,0.843314,0.812126,0.720233,0.537692,0.986560
causal,pp_chain,logical,recursive,False,0.791842,0.780746,0.815214,0.872780,0.872757,0.951210,0.572236,0.490935,0.978860
and_or,pp_chain,logical,recursive,False,0.800948,0.794830,0.762108,0.905816,0.881593,0.952172,0.592576,0.539607,0.978883
never,pp_chain,negation,recursive,False,0.808143,0.786265,0.809042,0.817523,0.851053,0.872301,0.779310,0.562991,0.986655
conditional,pp_chain,logical,recursive,False,0.809965,0.767963,0.818674,0.912829,0.929068,0.974522,0.554721,0.546035,0.975907
