model,model,a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
qwen3,qwen3,and_or,by_phrase,logical,passive,False,0.908550,0.098201,0.152827,0.098201,-0.191665,0.098201,model_curve_artifact_candidate
qwen3,qwen3,and_or,casual,logical,style,False,0.895657,0.102591,0.362565,0.102591,0.289144,0.102591,ordinary
qwen3,qwen3,and_or,causal,logical,logical,True,0.981038,0.810491,0.715458,0.810491,0.613574,0.715458,residual_stable_reuse_candidate
qwen3,qwen3,and_or,center_embedding,logical,recursive,False,0.784899,-0.648705,-0.491000,-0.648705,-0.495905,-0.648705,ordinary
qwen3,qwen3,and_or,complement_clause,logical,recursive,False,0.891605,0.056323,0.195375,0.056323,-0.366997,0.056323,ordinary
qwen3,qwen3,and_or,concise,logical,style,False,0.547370,0.010630,0.197161,0.010630,-0.134593,0.010630,ordinary
qwen3,qwen3,and_or,conditional,logical,logical,True,0.974689,0.737937,0.589059,0.737937,0.617147,0.589059,residual_stable_reuse_candidate
qwen3,qwen3,and_or,contrast,logical,logical,True,0.979889,0.808756,0.714176,0.808756,0.514166,0.714176,residual_stable_reuse_candidate
qwen3,qwen3,and_or,dative_passive,logical,passive,False,0.935502,0.266549,0.395897,0.266549,-0.141452,0.266549,ordinary
qwen3,qwen3,and_or,deep_complement,logical,recursive,False,0.742570,-0.432623,-0.373918,-0.432623,-0.389929,-0.432623,ordinary
qwen3,qwen3,and_or,deictic_switch,logical,coreference,False,0.914245,0.014658,-0.097478,0.014658,0.338239,-0.097478,model_curve_artifact_candidate
qwen3,qwen3,and_or,double_relative,logical,recursive,False,0.853190,0.023122,0.291093,0.023122,0.026929,0.023122,ordinary
qwen3,qwen3,and_or,en_fr_phrase,logical,translation,False,0.910766,-0.031679,0.314264,-0.031679,0.500660,-0.031679,model_curve_artifact_candidate
qwen3,qwen3,and_or,en_fr_word,logical,translation,False,0.891124,-0.223168,-0.166287,-0.223168,0.242087,-0.223168,ordinary
qwen3,qwen3,and_or,en_zh_phrase,logical,translation,False,0.869040,-0.311680,-0.262857,-0.311680,0.049642,-0.311680,ordinary
qwen3,qwen3,and_or,en_zh_word,logical,translation,False,0.900922,-0.190596,0.032422,-0.190596,0.354780,-0.190596,model_curve_artifact_candidate
qwen3,qwen3,and_or,existential_no,logical,negation,False,0.941537,0.401258,0.094859,0.401258,0.068207,0.094859,ordinary
qwen3,qwen3,and_or,formal,logical,style,False,0.865493,-0.500957,-0.323578,-0.500957,-0.116832,-0.500957,ordinary
qwen3,qwen3,and_or,future_will,logical,tense,False,0.876148,-0.482720,-0.404350,-0.482720,-0.116691,-0.482720,ordinary
qwen3,qwen3,and_or,get_passive,logical,passive,False,0.863793,-0.106064,-0.172287,-0.106064,-0.445528,-0.172287,ordinary
qwen3,qwen3,and_or,he_coref,logical,coreference,False,0.865091,-0.059055,-0.176443,-0.059055,0.173705,-0.176443,ordinary
qwen3,qwen3,and_or,inference,logical,logical,True,0.974131,0.743941,0.603715,0.743941,0.458257,0.603715,residual_stable_reuse_candidate
qwen3,qwen3,and_or,it_coref,logical,coreference,False,0.754835,-0.020277,0.052607,-0.020277,-0.075752,-0.020277,ordinary
qwen3,qwen3,and_or,lexical_not_adj,logical,negation,False,0.917460,0.152938,-0.409512,0.152938,-0.129655,-0.409512,category_curve_artifact_candidate
qwen3,qwen3,and_or,long_passive,logical,passive,False,0.863467,-0.667953,-0.452378,-0.667953,-0.361890,-0.667953,ordinary
qwen3,qwen3,and_or,morphological_neg,logical,negation,False,0.992643,0.930431,0.707348,0.930431,0.855828,0.707348,residual_stable_reuse_candidate
qwen3,qwen3,and_or,negated_condition,logical,logical,True,0.857277,-0.555938,-0.556077,-0.555938,-0.212147,-0.556077,ordinary
qwen3,qwen3,and_or,nested_condition,logical,logical,True,0.772982,-0.641924,-0.745674,-0.641924,-0.564128,-0.745674,ordinary
qwen3,qwen3,and_or,nested_contrast,logical,logical,True,0.719697,-0.603487,-0.724912,-0.603487,-0.521202,-0.724912,ordinary
qwen3,qwen3,and_or,nested_passive,logical,passive,False,0.829273,-0.628003,-0.545230,-0.628003,-0.365043,-0.628003,ordinary
qwen3,qwen3,and_or,never,logical,negation,False,0.949550,0.428433,0.077223,0.428433,0.203508,0.077223,ordinary
qwen3,qwen3,and_or,no_agent,logical,passive,False,0.965781,0.689151,0.674671,0.689151,0.518236,0.674671,residual_stable_reuse_candidate
qwen3,qwen3,and_or,past_simple,logical,tense,False,0.919397,0.071808,0.491408,0.071808,0.627817,0.071808,model_curve_artifact_candidate
qwen3,qwen3,and_or,perfect,logical,tense,False,0.874125,-0.465320,-0.353076,-0.465320,-0.086758,-0.465320,ordinary
qwen3,qwen3,and_or,poetic,logical,style,False,0.885740,-0.427808,-0.291343,-0.427808,-0.152947,-0.427808,ordinary
qwen3,qwen3,and_or,possessive_chain,logical,recursive,False,0.879497,0.026213,0.143355,0.026213,-0.296785,0.026213,ordinary
qwen3,qwen3,and_or,pp_chain,logical,recursive,False,0.903908,0.048527,0.178885,0.048527,-0.386572,0.048527,model_curve_artifact_candidate
qwen3,qwen3,and_or,progressive,logical,tense,False,0.876127,-0.517599,-0.434689,-0.517599,-0.132616,-0.517599,ordinary
qwen3,qwen3,and_or,relative_clause,logical,recursive,False,0.882138,0.094192,0.241435,0.094192,-0.266893,0.094192,ordinary
qwen3,qwen3,and_or,scope_quantifier,logical,negation,False,0.941799,0.354029,-0.148233,0.354029,-0.078839,-0.148233,category_curve_artifact_candidate
qwen3,qwen3,and_or,she_coref,logical,coreference,False,0.917676,0.133599,0.186651,0.133599,0.456036,0.133599,ordinary
qwen3,qwen3,and_or,syntactic_do_not,logical,negation,False,0.854268,-0.081757,-0.564153,-0.081757,-0.403879,-0.564153,ordinary
qwen3,qwen3,and_or,target_language_switch,logical,translation,False,0.893845,-0.051795,0.128865,-0.051795,0.301252,-0.051795,ordinary
qwen3,qwen3,and_or,they_coref,logical,coreference,False,0.881344,0.085447,0.171894,0.085447,0.264161,0.085447,ordinary
qwen3,qwen3,by_phrase,casual,passive,style,False,0.796418,-0.796270,-0.282305,-0.796270,-0.639075,-0.796270,ordinary
qwen3,qwen3,by_phrase,causal,passive,logical,False,0.925740,0.236506,0.221706,0.236506,-0.047281,0.221706,ordinary
qwen3,qwen3,by_phrase,center_embedding,passive,recursive,False,0.902363,0.251288,0.108923,0.251288,0.499803,0.108923,ordinary
qwen3,qwen3,by_phrase,complement_clause,passive,recursive,False,0.962184,0.668345,0.567361,0.668345,0.249590,0.567361,residual_stable_reuse_candidate
qwen3,qwen3,by_phrase,concise,passive,style,False,0.410862,-0.480553,-0.150642,-0.480553,-0.520136,-0.480553,stable_differentiation_candidate
qwen3,qwen3,by_phrase,conditional,passive,logical,False,0.936609,0.320063,0.220432,0.320063,-0.009165,0.220432,ordinary
qwen3,qwen3,by_phrase,contrast,passive,logical,False,0.912719,0.150201,0.122478,0.150201,-0.129903,0.122478,ordinary
qwen3,qwen3,by_phrase,dative_passive,passive,passive,True,0.973228,0.694346,0.250110,0.694346,0.360558,0.250110,residual_stable_reuse_candidate
qwen3,qwen3,by_phrase,deep_complement,passive,recursive,False,0.760555,-0.347441,-0.524760,-0.347441,-0.305854,-0.524760,ordinary
qwen3,qwen3,by_phrase,deictic_switch,passive,coreference,False,0.880732,-0.416276,0.329872,-0.416276,0.079212,-0.416276,ordinary
qwen3,qwen3,by_phrase,double_relative,passive,recursive,False,0.755442,-0.694883,-0.564045,-0.694883,-0.584712,-0.694883,ordinary
qwen3,qwen3,by_phrase,en_fr_phrase,passive,translation,False,0.885540,-0.366496,-0.119764,-0.366496,0.059796,-0.366496,ordinary
qwen3,qwen3,by_phrase,en_fr_word,passive,translation,False,0.904020,-0.106815,0.210724,-0.106815,0.285205,-0.106815,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,en_zh_phrase,passive,translation,False,0.906746,0.042857,0.441582,0.042857,0.417921,0.042857,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,en_zh_word,passive,translation,False,0.890607,-0.356144,0.061832,-0.356144,0.049654,-0.356144,ordinary
qwen3,qwen3,by_phrase,existential_no,passive,negation,False,0.964145,0.623404,-0.060868,0.623404,0.259877,-0.060868,category_curve_artifact_candidate
qwen3,qwen3,by_phrase,formal,passive,style,False,0.887096,-0.292228,0.289660,-0.292228,-0.081893,-0.292228,ordinary
qwen3,qwen3,by_phrase,future_will,passive,tense,False,0.907981,-0.127083,0.168182,-0.127083,0.122831,-0.127083,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,get_passive,passive,passive,True,0.943907,0.544908,0.068141,0.544908,0.134434,0.068141,ordinary
qwen3,qwen3,by_phrase,he_coref,passive,coreference,False,0.834224,-0.332702,0.135700,-0.332702,-0.069115,-0.332702,ordinary
qwen3,qwen3,by_phrase,inference,passive,logical,False,0.917313,0.160313,0.066983,0.160313,-0.149841,0.066983,ordinary
qwen3,qwen3,by_phrase,it_coref,passive,coreference,False,0.643738,-0.607368,-0.192615,-0.607368,-0.552417,-0.607368,stable_differentiation_candidate
qwen3,qwen3,by_phrase,lexical_not_adj,passive,negation,False,0.983157,0.823381,0.135264,0.823381,0.355048,0.135264,ordinary
qwen3,qwen3,by_phrase,long_passive,passive,passive,True,0.915890,-0.046108,-0.485100,-0.046108,0.405939,-0.485100,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,morphological_neg,passive,negation,False,0.908427,0.112169,-0.367406,0.112169,-0.151416,-0.367406,category_curve_artifact_candidate
qwen3,qwen3,by_phrase,negated_condition,passive,logical,False,0.908006,-0.027216,-0.129007,-0.027216,0.335861,-0.129007,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,nested_condition,passive,logical,False,0.878745,0.124466,-0.023939,0.124466,0.153398,-0.023939,ordinary
qwen3,qwen3,by_phrase,nested_contrast,passive,logical,False,0.805621,-0.096536,-0.261641,-0.096536,-0.150699,-0.261641,ordinary
qwen3,qwen3,by_phrase,nested_passive,passive,passive,True,0.914959,0.169939,-0.310122,0.169939,0.511268,-0.310122,category_curve_artifact_candidate
qwen3,qwen3,by_phrase,never,passive,negation,False,0.979928,0.774009,0.002002,0.774009,0.476299,0.002002,category_curve_artifact_candidate
qwen3,qwen3,by_phrase,no_agent,passive,passive,True,0.910535,0.166723,-0.104622,0.166723,-0.215961,-0.104622,category_curve_artifact_candidate
qwen3,qwen3,by_phrase,past_simple,passive,tense,False,0.875497,-0.484773,-0.328646,-0.484773,-0.066310,-0.484773,ordinary
qwen3,qwen3,by_phrase,perfect,passive,tense,False,0.907005,-0.108398,0.190302,-0.108398,0.157011,-0.108398,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,poetic,passive,style,False,0.887020,-0.453369,0.184613,-0.453369,-0.132902,-0.453369,ordinary
qwen3,qwen3,by_phrase,possessive_chain,passive,recursive,False,0.927780,0.411493,0.354039,0.411493,0.031125,0.354039,residual_stable_reuse_candidate
qwen3,qwen3,by_phrase,pp_chain,passive,recursive,False,0.966443,0.659528,0.598112,0.659528,0.219941,0.598112,residual_stable_reuse_candidate
qwen3,qwen3,by_phrase,progressive,passive,tense,False,0.917513,-0.030090,0.428672,-0.030090,0.310107,-0.030090,model_curve_artifact_candidate
qwen3,qwen3,by_phrase,relative_clause,passive,recursive,False,0.910413,0.304554,0.139289,0.304554,-0.167462,0.139289,ordinary
qwen3,qwen3,by_phrase,scope_quantifier,passive,negation,False,0.981352,0.793235,0.072539,0.793235,0.545538,0.072539,ordinary
qwen3,qwen3,by_phrase,she_coref,passive,coreference,False,0.839979,-0.731312,0.078679,-0.731312,-0.333678,-0.731312,ordinary
qwen3,qwen3,by_phrase,syntactic_do_not,passive,negation,False,0.972511,0.819376,0.328122,0.819376,0.624843,0.328122,residual_stable_reuse_candidate
qwen3,qwen3,by_phrase,target_language_switch,passive,translation,False,0.832676,-0.698752,-0.421247,-0.698752,-0.577650,-0.698752,ordinary
qwen3,qwen3,by_phrase,they_coref,passive,coreference,False,0.775316,-0.787676,-0.319930,-0.787676,-0.648526,-0.787676,ordinary
qwen3,qwen3,casual,causal,style,logical,False,0.882623,-0.048067,0.365059,-0.048067,0.096679,-0.048067,ordinary
qwen3,qwen3,casual,center_embedding,style,recursive,False,0.794777,-0.427686,-0.182565,-0.427686,-0.549818,-0.427686,ordinary
