window	pair	scaffold	mode	condition	seed	object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	prompt	generated_suffix
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	tram	clean_synonym	True	False	False	False	transport			Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	: a method of transport that uses rails for movement and is
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	subway	other	False	False	False	False				Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a system of elevated or underground rail lines that connect different parts
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	helicopter	mixed_synonym	False	False	False	False	machine,move people		machine	Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a machine that uses a rotating blade to lift and move people
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	tractor	mixed_synonym	False	False	False	False	machine		machine	Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 a large, heavy machine used primarily for farming. It's
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	rocket	other	False	False	True	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 a _______________. Answer:  Rocket is best described as
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	canoe	clean_synonym	True	False	False	False	boat,propelled			Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	: a long, narrow boat that is propelled by paddling
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	ferry	other	False	False	True	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	...?   Ferry is best described as a method of
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	jeep	generic_only	False	False	True	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 a type of what?  Jeep is best described as a
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	ambulance	clean_synonym	True	False	False	False	transport			Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	 a mobile medical facility. It is a specialized type of transport
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	cart	other	False	False	False	False				Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 a flat, wheeled platform used for transporting goods or people
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	sled	generic_only	False	False	True	False				Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	 a type of... - Brainly.com Define sled without
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	101	wagon	generic_only	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 a type of...  Okay, so I need to define "
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	tram	generic_only	False	False	True	False				Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a type of...   Tram is best described as a
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	subway	clean_synonym	True	False	False	False	transportation			Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a transportation system that connects different parts of a city. It
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	helicopter	clean_synonym	True	False	False	False	aircraft			Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a type of aircraft that uses a rotor system to generate lift
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	tractor	mixed_synonym	False	False	True	False	machine		machine,designed to	Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	... Tractor is best described as a machine designed to perform
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	rocket	clean_synonym	True	False	False	False	travel			Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	...   A. A group of people who travel through space
10-12-14	vehicle_tool	forbidden_definition	top_p	baseline	103	canoe	other	False	False	True	False				Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	 a... Canoe is best described as a... Canoe
