a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.969433,0.961962,0.962482,0.958110,0.972956,1.000000,1.000000,1.000000,0.950634
future_will,progressive,tense,tense,True,0.954538,0.935466,0.778449,0.934636,0.924718,1.000000,1.000000,1.000000,0.932288
perfect,progressive,tense,tense,True,0.953855,0.954425,0.803339,0.925271,0.851453,1.000000,1.000000,1.000000,0.935916
causal,morphological_neg,logical,negation,False,0.877092,0.854597,0.840132,0.828529,0.843542,0.295885,0.958228,0.962102,0.932986
causal,no_agent,logical,passive,False,0.866719,0.743035,0.785861,0.755109,0.871945,0.917249,0.932749,0.966025,0.948057
casual,they_coref,style,coreference,False,0.835867,0.904000,0.967980,0.583766,0.995940,1.000000,1.000000,1.000000,0.960055
conditional,morphological_neg,logical,negation,False,0.835781,0.643311,0.269136,0.743642,0.660088,0.695015,0.934736,0.923489,0.929282
concise,it_coref,style,coreference,False,0.830823,0.890350,0.765054,0.813462,0.553413,1.000000,1.000000,1.000000,0.985732
en_zh_word,past_simple,translation,tense,False,0.829899,0.578882,0.758646,0.745950,0.813320,1.000000,1.000000,1.000000,0.962097
by_phrase,scope_quantifier,passive,negation,False,0.829886,0.518450,0.535161,0.695121,0.930635,0.835978,0.890126,0.901045,0.891979
causal,conditional,logical,logical,True,0.827648,0.492362,0.384720,0.772838,0.745751,0.868584,0.917854,0.848962,0.947710
en_fr_word,perfect,translation,tense,False,0.816663,0.624841,0.869744,0.704088,0.844849,1.000000,1.000000,1.000000,0.955136
causal,inference,logical,logical,True,0.810493,0.490658,0.842453,0.657896,0.928297,0.752710,0.923622,0.915971,0.976000
conditional,inference,logical,logical,True,0.809837,0.463008,0.523984,0.735371,0.767285,0.615894,0.954201,0.899284,0.937408
en_fr_phrase,past_simple,translation,tense,False,0.806850,0.441512,0.727588,0.789211,0.830731,1.000000,1.000000,1.000000,0.879355
en_fr_phrase,en_fr_word,translation,translation,True,0.802175,0.763104,0.711856,0.623207,0.675900,1.000000,1.000000,1.000000,0.933132
en_zh_phrase,progressive,translation,tense,False,0.798976,0.774253,0.900423,0.689898,0.805437,1.000000,1.000000,1.000000,0.855911
casual,target_language_switch,style,translation,False,0.794514,0.839110,0.526180,0.674148,0.658529,1.000000,1.000000,1.000000,0.735484
he_coref,past_simple,coreference,tense,False,0.792904,0.807136,0.914965,0.733848,0.161414,1.000000,1.000000,1.000000,0.971016
inference,no_agent,logical,passive,False,0.787153,0.572096,0.857549,0.603579,0.778067,0.719426,0.921885,0.947999,0.933596
en_fr_phrase,en_zh_word,translation,translation,True,0.787076,0.622831,0.649949,0.680625,0.734505,1.000000,1.000000,1.000000,0.874901
never,scope_quantifier,negation,negation,True,0.782112,0.778176,-0.041224,0.755551,0.916605,0.922455,0.863151,0.905072,0.939804
en_fr_word,en_zh_word,translation,translation,True,0.780916,0.759030,0.458841,0.588758,0.403656,1.000000,1.000000,1.000000,0.917997
en_fr_word,progressive,translation,tense,False,0.777720,0.617601,0.818845,0.641284,0.736503,1.000000,1.000000,1.000000,0.909989
morphological_neg,no_agent,negation,passive,False,0.772768,0.678872,0.710696,0.658651,0.726677,0.066910,0.918747,0.956610,0.924965
deep_complement,nested_contrast,recursive,logical,False,0.772765,0.736856,0.375948,0.794717,0.526536,1.000000,1.000000,1.000000,0.714846
by_phrase,syntactic_do_not,passive,negation,False,0.769760,0.777928,0.357367,0.773074,0.971877,0.495001,0.814503,0.865560,0.919102
double_relative,it_coref,recursive,coreference,False,0.768518,0.737249,0.846109,0.597723,0.670629,1.000000,1.000000,1.000000,0.989824
target_language_switch,they_coref,translation,coreference,False,0.767657,0.804316,0.546679,0.575548,0.696831,1.000000,1.000000,1.000000,0.787214
en_zh_phrase,perfect,translation,tense,False,0.763162,0.732974,0.718601,0.611159,0.451369,1.000000,1.000000,1.000000,0.824707
