a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
complement_clause,they_coref,recursive,coreference,False,0.570001,0.717302,0.095493,0.767944,0.774833,0.000000,0.761782,0.194335,0.953810
complement_clause,concise,recursive,style,False,0.610441,0.520604,0.382348,0.891287,0.917386,0.000000,0.733965,0.149424,0.973107
complement_clause,en_zh_word,recursive,translation,False,0.636636,0.871419,0.283684,0.906607,0.803971,0.000000,0.865227,0.056921,0.976318
complement_clause,en_zh_phrase,recursive,translation,False,0.637246,0.816063,0.393291,0.819407,0.871737,0.000000,0.738185,0.150124,0.979908
casual,causal,style,logical,False,0.646012,0.715044,0.317552,0.330906,0.977581,0.000000,0.731368,0.777462,0.984397
nested_contrast,no_agent,logical,passive,False,0.648988,0.717913,0.561874,0.768675,0.841992,0.000000,0.491831,0.500404,0.973896
causal,complement_clause,logical,recursive,False,0.649983,0.738689,0.072307,0.832164,0.931474,0.750005,0.678026,0.228123,0.969074
complement_clause,future_will,recursive,tense,False,0.652788,0.867996,0.343812,0.697512,0.834221,0.000000,0.693806,0.474835,0.972838
complement_clause,en_fr_phrase,recursive,translation,False,0.653010,0.806182,0.324818,0.809565,0.886290,0.000000,0.821633,0.262771,0.975419
complement_clause,no_agent,recursive,passive,False,0.654609,0.759087,0.122948,0.795134,0.846205,0.937677,0.669948,0.143660,0.962214
complement_clause,he_coref,recursive,coreference,False,0.660119,0.792773,0.552234,0.881513,0.887367,0.000000,0.654622,0.195711,0.975661
complement_clause,target_language_switch,recursive,translation,False,0.661101,0.804573,0.467256,0.819059,0.877116,0.000000,0.742017,0.267646,0.969561
casual,no_agent,style,passive,False,0.671419,0.720238,0.394941,0.471825,0.906316,0.000000,0.725417,0.826864,0.978842
complement_clause,past_simple,recursive,tense,False,0.671898,0.797364,0.639468,0.815173,0.971785,0.000000,0.622079,0.204825,0.977332
it_coref,pp_chain,coreference,recursive,False,0.677986,0.700164,0.509825,0.728791,0.856938,0.000000,0.757635,0.537196,0.983034
complement_clause,it_coref,recursive,coreference,False,0.679053,0.789899,0.316339,0.808867,0.925256,0.000000,0.830807,0.422632,0.987766
complement_clause,perfect,recursive,tense,False,0.680975,0.865656,0.380277,0.699153,0.826752,0.000000,0.795304,0.551904,0.976908
pp_chain,they_coref,recursive,coreference,False,0.683403,0.777261,0.525491,0.784806,0.769140,0.000000,0.702293,0.589152,0.965974
existential_no,nested_condition,negation,logical,False,0.683429,0.698983,0.702839,0.783458,0.885296,0.000000,0.610366,0.461360,0.972016
nested_passive,no_agent,passive,passive,True,0.684913,0.758551,0.563023,0.781528,0.800978,0.000000,0.588270,0.660222,0.972851
complement_clause,en_fr_word,recursive,translation,False,0.686507,0.819022,0.558219,0.822823,0.903328,0.000000,0.810695,0.243966,0.979292
causal,nested_contrast,logical,logical,True,0.686826,0.701965,0.517306,0.826590,0.952175,0.000000,0.497046,0.663636,0.981016
complement_clause,existential_no,recursive,negation,False,0.688421,0.688977,0.425276,0.761953,0.894165,0.815047,0.711710,0.247665,0.962577
complement_clause,inference,recursive,logical,False,0.691491,0.811689,0.366880,0.738299,0.823456,0.796292,0.701633,0.323875,0.969807
complement_clause,deictic_switch,recursive,coreference,False,0.693712,0.855854,0.518185,0.932075,0.975677,0.000000,0.653830,0.275829,0.979819
causal,it_coref,logical,coreference,False,0.694345,0.739656,0.560923,0.698564,0.939015,0.000000,0.588440,0.681954,0.987452
complement_clause,morphological_neg,recursive,negation,False,0.697239,0.754263,0.372552,0.855368,0.883571,0.767479,0.671476,0.310770,0.962436
inference,nested_condition,logical,logical,True,0.698613,0.830064,0.682426,0.750497,0.789686,0.000000,0.639915,0.560311,0.975040
existential_no,nested_contrast,negation,logical,False,0.700579,0.677068,0.818650,0.736631,0.944953,0.000000,0.554019,0.535182,0.976151
nested_condition,they_coref,logical,coreference,False,0.702716,0.781899,0.463878,0.801213,0.763262,0.000000,0.704747,0.438520,0.965492
