a,b,category_a,category_b,same_category,similarity
causal,contrast,logical,logical,True,0.895765287334389
pp_chain,relative_clause,recursive,recursive,True,0.8438218210412834
complement_clause,relative_clause,recursive,recursive,True,0.821643242910002
relative_clause,syntactic_do_not,recursive,negation,False,0.8188970464816411
causal,conditional,logical,logical,True,0.8088382185689857
complement_clause,syntactic_do_not,recursive,negation,False,0.8058506062154206
causal,inference,logical,logical,True,0.7923804673231766
conditional,contrast,logical,logical,True,0.7715962992591245
contrast,inference,logical,logical,True,0.7712232784013262
conditional,inference,logical,logical,True,0.7624324305833708
contrast,morphological_neg,logical,negation,False,0.7566157075994397
contrast,no_agent,logical,passive,False,0.7540822404022051
causal,no_agent,logical,passive,False,0.7499054383329143
complement_clause,pp_chain,recursive,recursive,True,0.7335892005590956
get_passive,syntactic_do_not,passive,negation,False,0.7329809223010133
and_or,morphological_neg,logical,negation,False,0.6991111976804033
conditional,morphological_neg,logical,negation,False,0.6784345530461713
conditional,no_agent,logical,passive,False,0.6442049499165297
and_or,conditional,logical,logical,True,0.6440717261012064
lexical_not_adj,scope_quantifier,negation,negation,True,0.6246607092335099
