a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
morphological_neg,syntactic_do_not,negation,negation,True,0.873132,0.829756,0.768501,0.887501,0.884168,0.941715,0.849049,0.832090,0.992276
get_passive,morphological_neg,passive,negation,False,0.876341,0.839285,0.788397,0.913267,0.876658,0.903488,0.855230,0.842300,0.992103
and_or,syntactic_do_not,logical,negation,False,0.879394,0.856847,0.779305,0.894695,0.886665,0.941466,0.860666,0.822017,0.993491
and_or,get_passive,logical,passive,False,0.882531,0.863589,0.803961,0.915958,0.883057,0.903403,0.864120,0.832908,0.993255
causal,syntactic_do_not,logical,negation,False,0.884263,0.856927,0.763808,0.913279,0.896655,0.980670,0.862692,0.809478,0.990593
complement_clause,morphological_neg,recursive,negation,False,0.885445,0.804125,0.802575,0.897347,0.889709,0.976807,0.861828,0.861236,0.989932
contrast,syntactic_do_not,logical,negation,False,0.887521,0.844801,0.770647,0.908583,0.896530,0.987666,0.855131,0.846477,0.990332
causal,get_passive,logical,passive,False,0.887750,0.866364,0.783423,0.929376,0.894381,0.956296,0.864158,0.817150,0.990851
inference,syntactic_do_not,logical,negation,False,0.890313,0.848010,0.768588,0.923218,0.890796,0.982208,0.866666,0.851793,0.991222
causal,complement_clause,logical,recursive,False,0.891567,0.836418,0.796564,0.913620,0.902741,0.978050,0.879050,0.838800,0.987289
complement_clause,contrast,recursive,logical,False,0.893454,0.824483,0.800723,0.916313,0.903002,0.967014,0.877367,0.871574,0.987160
complement_clause,inference,recursive,logical,False,0.893590,0.816884,0.798775,0.920575,0.896586,0.976934,0.875870,0.875063,0.988036
get_passive,inference,passive,logical,False,0.894109,0.856902,0.786429,0.935469,0.888210,0.957805,0.878635,0.858063,0.991357
and_or,complement_clause,logical,recursive,False,0.894346,0.831351,0.816872,0.913498,0.897296,0.976328,0.874187,0.852964,0.992269
contrast,get_passive,logical,passive,False,0.894548,0.858891,0.787418,0.927100,0.894557,0.969478,0.872931,0.855386,0.990619
morphological_neg,possessive_chain,negation,recursive,False,0.896194,0.853248,0.857555,0.844484,0.905189,0.947639,0.862934,0.901941,0.996559
conditional,syntactic_do_not,logical,negation,False,0.898624,0.848736,0.811570,0.905336,0.918288,0.965414,0.866049,0.881654,0.991940
no_agent,syntactic_do_not,passive,negation,False,0.899939,0.871135,0.800181,0.919623,0.913031,0.989163,0.872745,0.843457,0.990175
and_or,possessive_chain,logical,recursive,False,0.901358,0.876818,0.859404,0.865058,0.900655,0.947631,0.876429,0.888803,0.996064
causal,possessive_chain,logical,recursive,False,0.902651,0.874498,0.850241,0.865620,0.920699,0.964199,0.867841,0.881734,0.996373
conditional,get_passive,logical,passive,False,0.904072,0.860197,0.827370,0.930007,0.916071,0.934537,0.880674,0.891403,0.992318
morphological_neg,pp_chain,negation,recursive,False,0.904151,0.821572,0.907197,0.834163,0.937655,0.934016,0.869451,0.935988,0.993168
contrast,possessive_chain,logical,recursive,False,0.905332,0.863910,0.859006,0.855473,0.921580,0.960482,0.868222,0.917838,0.996141
complement_clause,no_agent,recursive,passive,False,0.905571,0.857387,0.828517,0.929594,0.918111,0.963865,0.892307,0.868054,0.986733
get_passive,no_agent,passive,passive,True,0.906090,0.886613,0.816102,0.942835,0.910825,0.974984,0.876003,0.850830,0.990528
