a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.967471,0.858948,0.944564,0.975970,0.963409,1.000000,1.000000,1.000000,0.985552
future_will,progressive,tense,tense,True,0.963035,0.966600,0.948491,0.927868,0.866298,1.000000,1.000000,1.000000,0.967639
perfect,progressive,tense,tense,True,0.957378,0.884770,0.893363,0.949881,0.921006,1.000000,1.000000,1.000000,0.966469
conditional,contrast,logical,logical,True,0.952588,0.936878,0.764171,0.933612,0.877556,0.985749,0.969168,0.975563,0.987539
concise,they_coref,style,coreference,False,0.905680,0.944339,0.993871,0.795873,0.981775,1.000000,1.000000,1.000000,0.973888
long_passive,nested_passive,passive,passive,True,0.897831,0.675104,0.911580,0.861873,0.932327,1.000000,1.000000,1.000000,0.965295
contrast,morphological_neg,logical,negation,False,0.893460,0.743233,0.668789,0.835927,0.678689,0.984218,0.959175,0.939242,0.965905
contrast,no_agent,logical,passive,False,0.891911,0.639433,0.856025,0.863148,0.899229,0.999105,0.950586,0.973968,0.975132
casual,concise,style,style,True,0.884781,0.958221,0.957260,0.783321,0.994009,1.000000,1.000000,1.000000,0.947984
conditional,no_agent,logical,passive,False,0.882915,0.633517,0.663051,0.842369,0.879847,0.991983,0.955920,0.984365,0.974262
conditional,morphological_neg,logical,negation,False,0.872064,0.722595,0.845236,0.786145,0.869541,0.970768,0.926529,0.960938,0.980291
long_passive,perfect,passive,tense,False,0.852262,0.552722,0.743603,0.809021,0.860464,1.000000,1.000000,1.000000,0.911825
double_relative,perfect,recursive,tense,False,0.852129,0.848920,0.779244,0.749859,0.867866,1.000000,1.000000,1.000000,0.803025
future_will,long_passive,tense,passive,False,0.852086,0.492601,0.685980,0.834938,0.899308,1.000000,1.000000,1.000000,0.911502
never,scope_quantifier,negation,negation,True,0.850728,0.751847,0.912205,0.802644,0.962938,0.616518,0.922899,0.982069,0.895388
future_will,nested_passive,tense,passive,False,0.846248,0.665252,0.706755,0.751431,0.860724,1.000000,1.000000,1.000000,0.899355
double_relative,future_will,recursive,tense,False,0.839767,0.675589,0.781095,0.785687,0.947158,1.000000,1.000000,1.000000,0.822122
by_phrase,dative_passive,passive,passive,True,0.830073,0.289411,0.833754,0.841253,0.948802,0.996761,0.914332,0.918624,0.951129
existential_no,never,negation,negation,True,0.827018,0.789959,0.589908,0.782906,0.778147,0.995792,0.870037,0.925253,0.845033
by_phrase,syntactic_do_not,passive,negation,False,0.817443,0.619628,0.313687,0.810290,0.975626,0.999786,0.864302,0.989199,0.814839
morphological_neg,no_agent,negation,passive,False,0.816984,0.498511,0.650795,0.714943,0.640185,0.983501,0.915299,0.967404,0.981221
causal,contrast,logical,logical,True,0.816070,0.885396,0.961965,0.909088,0.963912,0.106687,0.974042,0.994700,0.993490
dative_passive,relative_clause,passive,recursive,False,0.815293,0.407282,0.482343,0.766227,0.890050,0.995526,0.891410,0.924159,0.887083
double_relative,long_passive,recursive,passive,False,0.809603,0.564442,0.921124,0.776011,0.914367,1.000000,1.000000,1.000000,0.794518
en_fr_phrase,future_will,translation,tense,False,0.806161,0.418937,0.820505,0.789391,0.841130,1.000000,1.000000,1.000000,0.952584
by_phrase,relative_clause,passive,recursive,False,0.801027,0.683902,0.151015,0.680912,0.849923,0.987172,0.873181,0.935306,0.849549
casual,they_coref,style,coreference,False,0.797579,0.836538,0.955552,0.651802,0.967989,1.000000,1.000000,1.000000,0.914693
long_passive,progressive,passive,tense,False,0.794508,0.437297,0.470852,0.738834,0.722621,1.000000,1.000000,1.000000,0.856800
causal,conditional,logical,logical,True,0.793042,0.846939,0.841937,0.866344,0.941917,0.085197,0.952403,0.982694,0.989662
get_passive,scope_quantifier,passive,negation,False,0.792489,0.800489,0.798936,0.828630,0.900433,0.539135,0.808724,0.744976,0.855614
