a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
and_or,syntactic_do_not,logical,negation,False,0.911187,0.835942,0.861500,0.970020,0.877934,0.970523,0.909410,0.869145,0.995021
and_or,lexical_not_adj,logical,negation,False,0.915935,0.829217,0.876213,0.957394,0.902523,0.966665,0.909594,0.890980,0.994895
causal,syntactic_do_not,logical,negation,False,0.918828,0.827125,0.878621,0.973671,0.926112,0.936822,0.901861,0.910146,0.996269
and_or,scope_quantifier,logical,negation,False,0.920065,0.878161,0.878234,0.954139,0.900712,0.971075,0.911091,0.871355,0.995752
and_or,relative_clause,logical,recursive,False,0.921541,0.867092,0.872185,0.972521,0.885326,0.954462,0.939687,0.885247,0.995805
inference,syntactic_do_not,logical,negation,False,0.921777,0.843806,0.874532,0.980449,0.918860,0.941019,0.911985,0.907088,0.996481
contrast,syntactic_do_not,logical,negation,False,0.921825,0.837458,0.860012,0.982486,0.913332,0.964886,0.914641,0.905373,0.996415
causal,lexical_not_adj,logical,negation,False,0.925213,0.827979,0.896215,0.961660,0.938638,0.932228,0.912587,0.936621,0.995778
no_agent,syntactic_do_not,passive,negation,False,0.926745,0.834061,0.890634,0.946415,0.930643,0.970795,0.918605,0.926103,0.996704
causal,scope_quantifier,logical,negation,False,0.928631,0.875881,0.897160,0.954630,0.936149,0.937593,0.914912,0.916684,0.996037
inference,lexical_not_adj,logical,negation,False,0.928670,0.844760,0.893072,0.968424,0.932362,0.937037,0.922857,0.934813,0.996037
and_or,pp_chain,logical,recursive,False,0.929363,0.892416,0.903216,0.969631,0.888857,0.966786,0.931458,0.886209,0.996334
contrast,lexical_not_adj,logical,negation,False,0.929577,0.837733,0.878924,0.976770,0.929451,0.960625,0.923742,0.933216,0.996155
and_or,possessive_chain,logical,recursive,False,0.931358,0.891990,0.893740,0.977188,0.884490,0.972147,0.943077,0.891164,0.997067
inference,scope_quantifier,logical,negation,False,0.931705,0.891081,0.893846,0.962127,0.929686,0.941445,0.924860,0.914275,0.996318
and_or,complement_clause,logical,recursive,False,0.932866,0.870822,0.904728,0.972403,0.908347,0.961288,0.937147,0.912538,0.995658
contrast,scope_quantifier,logical,negation,False,0.932866,0.884532,0.880207,0.970336,0.926918,0.964723,0.927030,0.912788,0.996396
causal,relative_clause,logical,recursive,False,0.932882,0.866758,0.894105,0.978791,0.935950,0.917992,0.940480,0.931666,0.997315
lexical_not_adj,no_agent,negation,passive,False,0.933017,0.833416,0.907656,0.937865,0.943847,0.966891,0.927047,0.951100,0.996314
morphological_neg,syntactic_do_not,negation,negation,True,0.934493,0.836631,0.902509,0.972334,0.949583,0.976617,0.911312,0.931170,0.995786
and_or,get_passive,logical,passive,False,0.935352,0.872978,0.909099,0.970388,0.914505,0.961359,0.937505,0.922395,0.994589
contrast,relative_clause,logical,recursive,False,0.935629,0.874748,0.876348,0.986118,0.923370,0.947288,0.951576,0.928076,0.997508
inference,relative_clause,logical,recursive,False,0.936254,0.881929,0.890926,0.985036,0.928788,0.924527,0.951684,0.929611,0.997532
and_or,dative_passive,logical,passive,False,0.937310,0.874612,0.914222,0.971067,0.922612,0.967664,0.936859,0.917669,0.993780
no_agent,scope_quantifier,passive,negation,False,0.937311,0.880069,0.908664,0.939262,0.940712,0.970629,0.930112,0.932464,0.996577
