combo	layers	pair	scaffold	mode	component	seed	object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	generated_suffix
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tram	other	False	False	True	False				 a ______.  A tram is commonly used as a mode of
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	subway	clean_synonym	True	False	False	False	transport			 a means of transport in cities where the population is dense.
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	helicopter	clean_synonym	True	False	True	False	transportation			 a...  A helicopter is commonly used as a means of transportation
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tractor	other	False	False	False	False				 a (1) ___________________ to plow the field.  
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	rocket	clean_synonym	True	False	True	False	transport			 a means to transport people or cargo to space.  A rocket
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	canoe	other	False	False	True	False				 a ______. A canoe is commonly used as a means of
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ferry	clean_synonym	True	False	False	False	transport			 a ______ to transport people and goods across bodies of water. 
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	jeep	clean_synonym	True	False	False	False	transport			 a means of transport in some parts of the world.  A
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ambulance	clean_synonym	True	False	False	False	transport			 a (____) by medical professionals to transport patients to the
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	cart	clean_synonym	True	False	False	False	transport			 a ______ to transport goods from one place to another. Answer
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	sled	clean_synonym	True	False	False	False	transportation			 a ______ for transportation on snow-covered surfaces. Answer:  A
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	wagon	clean_synonym	True	False	False	False	transportation			 a means of transportation for which it is designed. Answer:
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tram	clean_synonym	True	False	False	False	transportation			 a means of transportation in many cities. (But this is
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	subway	other	False	False	True	False				 a ___ for transporting people in cities.   A subway is
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	helicopter	clean_synonym	True	False	False	False	transportation			 a means of transportation for people and goods. Answer: A
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tractor	generic_only	False	False	True	False				 a _______ to move heavy objects. A tractor is commonly
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	rocket	other	False	False	True	False				 a ______ for space exploration. A rocket is commonly used as
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	canoe	clean_synonym	True	False	True	False	transport			 a means of transport between islands. A canoe is commonly used
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ferry	clean_synonym	True	False	True	False	transport			 a mode of transport between islands. Answer: A ferry is
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	jeep	clean_synonym	True	False	True	False	transport			 a transport for people and goods. A jeep is commonly used
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ambulance	other	False	False	False	False				 a ______ for transporting patients to and from the hospital.  A
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	cart	other	False	False	True	False				 a means of transporting cargo. A cart is commonly used as
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	sled	clean_synonym	True	False	True	False	transportation			 a for transportation in snowy areas. A sled is commonly used
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	wagon	clean_synonym	True	False	True	False	transportation			 a means of transportation for what purpose?  A wagon is commonly
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	tram	other	False	False	True	False				 a means of _______. Answer: A tram is commonly
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	subway	clean_synonym	True	False	False	False	transportation			 a means of transportation in cities with high population density.   
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	helicopter	other	False	False	False	False				 a ( ) for transporting people or goods. Answer: A
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	tractor	other	False	False	True	False				 a heavy ______. Answer: A tractor is commonly used as
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	rocket	other	False	False	True	False				 a ______ for launching satellites into space.  A rocket is commonly
L10	10	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	canoe	other	False	False	True	False				 a _______ for crossing a river.  A canoe is commonly
