a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
conditional,possessive_chain,logical,recursive,False,-0.629232,-0.684338,-0.408749,-0.408206,-0.544450,0.387043,-0.723789,0.283796,-0.884667
causal,possessive_chain,logical,recursive,False,-0.568219,-0.636486,-0.431640,-0.287234,-0.698476,0.384042,-0.679258,-0.634225,-0.884976
existential_no,pp_chain,negation,recursive,False,-0.560484,-0.556118,-0.532536,-0.566201,-0.763687,-0.261805,-0.688688,-0.675415,-0.481503
inference,possessive_chain,logical,recursive,False,-0.537384,-0.560602,0.277597,-0.329648,-0.526690,0.274179,-0.618253,0.640166,-0.869085
conditional,relative_clause,logical,recursive,False,-0.509461,-0.568488,-0.237780,-0.343593,-0.370567,-0.148250,-0.587316,-0.100598,-0.737513
causal,relative_clause,logical,recursive,False,-0.478057,-0.651536,-0.199973,-0.327198,-0.030450,0.020077,-0.557444,-0.024827,-0.668503
by_phrase,conditional,passive,logical,False,-0.461038,-0.566050,-0.369819,-0.285710,-0.650955,0.154905,-0.219508,0.112310,-0.802392
contrast,possessive_chain,logical,recursive,False,-0.456743,-0.363105,-0.454441,-0.165483,-0.084810,-0.697782,-0.734454,-0.233435,-0.806242
causal,pp_chain,logical,recursive,False,-0.456394,-0.554458,0.148418,-0.502621,-0.481532,0.494050,-0.599953,0.099428,-0.601019
inference,relative_clause,logical,recursive,False,-0.451141,-0.509433,0.359813,-0.324731,-0.499589,0.051736,-0.498836,0.484456,-0.701320
causal,get_passive,logical,passive,False,-0.442722,-0.615715,-0.283073,-0.295573,-0.074961,-0.489468,-0.272226,-0.642052,-0.650545
dative_passive,lexical_not_adj,passive,negation,False,-0.438331,-0.429750,-0.632484,-0.665451,-0.580754,0.128685,-0.301229,-0.218161,-0.407330
by_phrase,causal,passive,logical,False,-0.433524,-0.509226,-0.508815,-0.394509,-0.428860,0.009505,-0.299908,-0.383789,-0.748973
complement_clause,existential_no,recursive,negation,False,-0.425174,-0.373106,-0.692797,-0.396112,-0.188061,-0.385078,-0.543116,-0.792715,-0.417275
complement_clause,morphological_neg,recursive,negation,False,-0.421013,-0.411756,-0.456307,-0.326540,-0.327169,-0.627415,-0.704122,-0.855224,-0.649182
no_agent,possessive_chain,passive,recursive,False,-0.415474,-0.366701,0.322331,-0.374717,-0.113034,-0.696533,-0.675527,-0.148283,-0.492428
and_or,pp_chain,logical,recursive,False,-0.413178,-0.314544,-0.293396,-0.288273,-0.765816,0.276054,-0.662065,-0.341249,-0.699177
morphological_neg,pp_chain,negation,recursive,False,-0.410095,-0.443137,-0.795721,-0.315713,-0.386687,0.033172,-0.657576,-0.708591,-0.506579
conditional,pp_chain,logical,recursive,False,-0.410065,-0.552677,-0.164532,-0.214329,-0.106550,0.745732,-0.626640,-0.334325,-0.323472
contrast,dative_passive,logical,passive,False,-0.406894,-0.557886,-0.267139,-0.357380,-0.283031,-0.700839,-0.438383,-0.187785,-0.306202
contrast,syntactic_do_not,logical,negation,False,-0.399239,-0.330615,-0.164802,-0.528717,-0.674925,0.509766,-0.437268,-0.188907,-0.736934
by_phrase,inference,passive,logical,False,-0.396745,-0.447492,0.169808,-0.383259,-0.479899,0.043509,-0.308603,0.854402,-0.753574
get_passive,inference,passive,logical,False,-0.394243,-0.509929,-0.231551,-0.196371,-0.023748,-0.516376,-0.413454,0.882847,-0.609616
conditional,get_passive,logical,passive,False,-0.394190,-0.593581,-0.153265,-0.189471,-0.299320,-0.400596,-0.169139,0.419602,-0.631235
complement_clause,contrast,recursive,logical,False,-0.390914,-0.514601,0.138806,-0.549609,-0.009337,0.586134,-0.714529,-0.146445,-0.105956
