combo	layers	pair	route	recipient_scaffold	donor_scaffold	mode	condition	donor_relation	seed	object	donor_object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	prompt	donor_prompt	generated_suffix
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	tram		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tram is commonly used as		 ____________ in many cities.  The sentence is A tram
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	subway		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A subway is commonly used as		 a means of ___________. A subway is commonly used
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	helicopter		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A helicopter is commonly used as		 a...? To solve this, I'm considering the context
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	tractor		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tractor is commonly used as		 a [________] by farmers. Please think carefully before responding
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	rocket		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A rocket is commonly used as		 a ___ because it can be easily launched into space.  So
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	canoe		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A canoe is commonly used as		 _______ in rivers. The words I cannot use are '
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	ferry		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ferry is commonly used as		 a ___________.  A ferry is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	jeep		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A jeep is commonly used as		 a/an ___ in some parts of the world.  Alright,
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	ambulance		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ambulance is commonly used as		... (ending with how it's used as a medical emergency
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	cart		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A cart is commonly used as		 a ________.  A cart is commonly used as a _
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	sled		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A sled is commonly used as		 a _______ in various regions. The sentence should only use
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		101	wagon		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A wagon is commonly used as		 a _______. A wagon is commonly used as a ______
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	tram		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tram is commonly used as		 a ___ in many cities.  A tram is commonly used as
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	subway		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A subway is commonly used as		 a...?   A subway is commonly used as a [
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	helicopter		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A helicopter is commonly used as		 a/an _______ in many places. The blank should be
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	tractor		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tractor is commonly used as		 a _______ in various fields.  A tractor is commonly used
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	rocket		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A rocket is commonly used as		 a _______ to send it into space.  A rocket is
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	canoe		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A canoe is commonly used as		 a _______ because people can easily paddle it.  The word
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	ferry		clean_synonym	True	False	False	False	transport,move through			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ferry is commonly used as		 a water transport system. It is typically ___ to move through
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	jeep		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A jeep is commonly used as		 a _______ in the Middle East. The term for a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	ambulance		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ambulance is commonly used as		 a ___________.  A ambulance is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	cart		generic_only	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A cart is commonly used as		 a _______ when things cannot be carried by hand. The
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	sled		clean_synonym	True	False	False	False	carry			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A sled is commonly used as		 a(n) _ to carry loads. The sentence should end
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		103	wagon		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A wagon is commonly used as		 a _______. A wagon is commonly used as a cart
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	tram		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tram is commonly used as		 a ______ in ___ cities. The tram is also used as
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	subway		clean_synonym	True	False	True	False	transportation			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A subway is commonly used as		 a means of transportation in ______ cities.  A subway is commonly
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	helicopter		clean_synonym	True	False	False	False	carry			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A helicopter is commonly used as		 a ______ to carry people to a hospital.  The sentence to
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	tractor		synonym_with_label_violation	False	True	False	False	transportation	vehicle		Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tractor is commonly used as		 a transportation vehicle for large objects, such as ore. Tr
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	rocket		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A rocket is commonly used as		 a _______ in space.  The correct answer is "prop
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	canoe		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A canoe is commonly used as		 a _______.  Okay, so I need to fill in
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	ferry		clean_synonym	True	False	False	False	transportation			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ferry is commonly used as		 a means of transportation in _____. It is a type of
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	jeep		clean_synonym	True	False	False	False	travel			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A jeep is commonly used as		...  Possible options: to travel, to move, to go
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	ambulance		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ambulance is commonly used as		 a(n) _______ in emergency situations. The sentence becomes
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	cart		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A cart is commonly used as		 a_______.  A cart is commonly used as a____
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	sled		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A sled is commonly used as		 a/an _______ because it allows the movement of goods or
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		107	wagon		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A wagon is commonly used as		 a _________. A wagon is commonly used as a [
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	tram		clean_synonym	True	False	False	False	transport			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tram is commonly used as		 a transport ____ in Paris. The sentence must be at least
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	subway		clean_synonym	True	False	True	False	transportation			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A subway is commonly used as		 a means of _____ transportation. The subway is often used as
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	helicopter		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A helicopter is commonly used as		 a ___________.  A helicopter is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	tractor		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tractor is commonly used as		 a(n) _______ for pulling.  A tractor is commonly
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	rocket		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A rocket is commonly used as		 a... Okay, so I've got this sentence to complete
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	canoe		clean_synonym	True	False	True	False	transportation			Complete the sentence without using these words: vehicle, vehicles, tool, tools. A canoe is commonly used as		 a ______ for transportation. A canoe is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	ferry		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ferry is commonly used as		 a _______ for people to get around the city.  The
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	jeep		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A jeep is commonly used as		 a _______ for exploring. A jeep is commonly used as
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	ambulance		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A ambulance is commonly used as		 a/an __________.  A ambulance is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	cart		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A cart is commonly used as		 ??? in many places.  A cart is commonly used as a
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	sled		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A sled is commonly used as		 an _______ on flat surfaces.  The blank should be filled
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		109	wagon		other	False	False	False	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A wagon is commonly used as		 a _ _ _ by children. The children use it to
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		113	tram		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A tram is commonly used as		 a _______.  A tram is commonly used as a ____
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		113	subway		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A subway is commonly used as		 a means of______ in many cities.  A subway is
L16+L20	16,20	vehicle_tool	forbidden_sentence_completion:temperature<-forbidden_sentence_completion	forbidden_sentence_completion	forbidden_sentence_completion	temperature	baseline		113	helicopter		other	False	False	True	False				Complete the sentence without using these words: vehicle, vehicles, tool, tools. A helicopter is commonly used as		 a/an ___?  A helicopter is commonly used as a/an
