a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
contrast,syntactic_do_not,logical,negation,False,-0.741747,-0.823426,-0.853966,-0.572966,-0.719558,-0.175908,-0.729888,-0.823432,-0.734945
conditional,syntactic_do_not,logical,negation,False,-0.712776,-0.784719,-0.881370,-0.440724,-0.662044,0.277940,-0.741918,-0.803871,-0.716205
causal,syntactic_do_not,logical,negation,False,-0.687770,-0.771560,-0.854946,-0.511061,-0.518453,-0.684161,-0.751614,-0.804381,-0.690455
inference,syntactic_do_not,logical,negation,False,-0.670673,-0.788133,-0.856529,-0.497262,-0.644631,-0.623563,-0.761503,-0.822006,-0.704452
contrast,relative_clause,logical,recursive,False,-0.633091,-0.698683,-0.863232,-0.474971,-0.958858,-0.354942,-0.434345,-0.847490,-0.670417
morphological_neg,scope_quantifier,negation,negation,True,-0.625260,-0.648720,-0.767708,-0.561797,-0.643956,0.393321,-0.744533,-0.768231,-0.701894
no_agent,syntactic_do_not,passive,negation,False,-0.602304,-0.682119,-0.839983,-0.577068,-0.645311,-0.082381,-0.566517,-0.773982,-0.725012
contrast,lexical_not_adj,logical,negation,False,-0.598872,-0.741288,-0.952024,-0.139868,-0.906890,-0.225468,-0.452002,-0.937075,-0.843282
lexical_not_adj,morphological_neg,negation,negation,True,-0.587446,-0.691746,-0.933661,-0.275425,-0.864816,-0.275483,-0.478543,-0.866400,-0.887605
conditional,lexical_not_adj,logical,negation,False,-0.542127,-0.700854,-0.950438,-0.230276,-0.918766,0.226654,-0.211221,-0.855612,-0.903658
inference,relative_clause,logical,recursive,False,-0.539428,-0.625848,-0.817359,-0.405485,-0.884798,-0.536080,-0.340917,-0.836020,-0.611480
morphological_neg,syntactic_do_not,negation,negation,True,-0.535230,-0.697718,-0.781878,-0.080124,-0.334087,-0.242506,-0.511043,-0.754616,-0.660773
conditional,relative_clause,logical,recursive,False,-0.533582,-0.614565,-0.795853,-0.403218,-0.858792,0.083843,-0.348895,-0.685524,-0.596889
causal,relative_clause,logical,recursive,False,-0.533310,-0.557421,-0.831095,-0.432225,-0.705340,-0.625869,-0.375154,-0.833814,-0.607125
causal,lexical_not_adj,logical,negation,False,-0.522705,-0.636177,-0.963117,-0.202979,-0.746745,-0.676208,-0.295865,-0.942971,-0.866289
existential_no,pp_chain,negation,recursive,False,-0.522436,-0.455155,-0.363192,-0.572357,-0.362435,-0.598951,-0.665019,-0.121393,-0.453535
inference,lexical_not_adj,logical,negation,False,-0.521848,-0.642078,-0.963457,-0.233082,-0.922040,-0.605703,-0.322354,-0.933982,-0.876216
no_agent,relative_clause,passive,recursive,False,-0.513178,-0.604667,-0.837648,-0.361628,-0.910139,-0.268582,-0.410433,-0.761959,-0.642433
get_passive,morphological_neg,passive,negation,False,-0.499190,-0.615609,-0.887121,-0.305575,-0.409032,-0.384394,-0.549494,-0.773487,-0.379698
complement_clause,no_agent,recursive,passive,False,-0.488427,-0.433242,-0.501162,-0.576423,-0.602741,-0.697699,-0.463975,-0.316631,-0.607862
by_phrase,causal,passive,logical,False,-0.486689,-0.604324,-0.394358,-0.145409,-0.463767,-0.680373,-0.648032,-0.682975,-0.337503
morphological_neg,relative_clause,negation,recursive,False,-0.485483,-0.594199,-0.746180,-0.247771,-0.527350,-0.382579,-0.340432,-0.681363,-0.541017
complement_clause,conditional,recursive,logical,False,-0.483472,-0.408958,-0.443833,-0.582789,-0.551407,-0.778853,-0.593352,-0.277069,-0.597269
contrast,get_passive,logical,passive,False,-0.483336,-0.605032,-0.927511,-0.359805,-0.749123,-0.319273,-0.430638,-0.713183,-0.277010
causal,get_passive,logical,passive,False,-0.482811,-0.581346,-0.922258,-0.455636,-0.514519,-0.619775,-0.427029,-0.678496,-0.289677
