a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
future_will,perfect,tense,tense,True,0.997370,0.961208,0.642301,0.961208,0.929259,0.642301,residual_stable_reuse_candidate
future_will,progressive,tense,tense,True,0.996058,0.937792,0.460244,0.937792,0.894103,0.460244,residual_stable_reuse_candidate
perfect,progressive,tense,tense,True,0.994765,0.921353,0.348689,0.921353,0.873140,0.348689,residual_stable_reuse_candidate
and_or,morphological_neg,logical,negation,False,0.992643,0.930431,0.707348,0.930431,0.855828,0.707348,residual_stable_reuse_candidate
causal,contrast,logical,logical,True,0.989937,0.901661,0.849965,0.901661,0.636189,0.849965,residual_stable_reuse_candidate
contrast,no_agent,logical,passive,False,0.989737,0.908337,0.868878,0.908337,0.590706,0.868878,residual_stable_reuse_candidate
causal,morphological_neg,logical,negation,False,0.989392,0.896904,0.584749,0.896904,0.806908,0.584749,residual_stable_reuse_candidate
never,scope_quantifier,negation,negation,True,0.988842,0.846910,0.185738,0.846910,0.479342,0.185738,ordinary
contrast,inference,logical,logical,True,0.988545,0.888670,0.826587,0.888670,0.562514,0.826587,residual_stable_reuse_candidate
causal,inference,logical,logical,True,0.986240,0.857855,0.774448,0.857855,0.722421,0.774448,residual_stable_reuse_candidate
en_fr_phrase,past_simple,translation,tense,False,0.984766,0.780542,0.266381,0.780542,0.685111,0.266381,residual_stable_reuse_candidate
deictic_switch,past_simple,coreference,tense,False,0.984221,0.774199,-0.065210,0.774199,0.541896,-0.065210,category_curve_artifact_candidate
contrast,morphological_neg,logical,negation,False,0.983418,0.844826,0.592580,0.844826,0.572559,0.592580,residual_stable_reuse_candidate
casual,they_coref,style,coreference,False,0.983341,0.886478,0.180910,0.886478,0.701674,0.180910,ordinary
causal,no_agent,logical,passive,False,0.983294,0.845612,0.754001,0.845612,0.749113,0.754001,residual_stable_reuse_candidate
by_phrase,lexical_not_adj,passive,negation,False,0.983157,0.823381,0.135264,0.823381,0.355048,0.135264,ordinary
en_fr_phrase,en_fr_word,translation,translation,True,0.982753,0.760791,0.154796,0.760791,0.670081,0.154796,ordinary
causal,conditional,logical,logical,True,0.982558,0.810051,0.694763,0.810051,0.745161,0.694763,residual_stable_reuse_candidate
lexical_not_adj,scope_quantifier,negation,negation,True,0.982412,0.791800,0.101316,0.791800,0.377996,0.101316,ordinary
conditional,inference,logical,logical,True,0.982284,0.810113,0.680375,0.810113,0.703669,0.680375,residual_stable_reuse_candidate
en_fr_phrase,en_zh_word,translation,translation,True,0.981516,0.722018,-0.309566,0.722018,0.666803,-0.309566,category_curve_artifact_candidate
by_phrase,scope_quantifier,passive,negation,False,0.981352,0.793235,0.072539,0.793235,0.545538,0.072539,ordinary
lexical_not_adj,never,negation,negation,True,0.981221,0.773454,0.020409,0.773454,0.272757,0.020409,category_curve_artifact_candidate
and_or,causal,logical,logical,True,0.981038,0.810491,0.715458,0.810491,0.613574,0.715458,residual_stable_reuse_candidate
by_phrase,never,passive,negation,False,0.979928,0.774009,0.002002,0.774009,0.476299,0.002002,category_curve_artifact_candidate
conditional,morphological_neg,logical,negation,False,0.979909,0.797738,0.437397,0.797738,0.748567,0.437397,residual_stable_reuse_candidate
and_or,contrast,logical,logical,True,0.979889,0.808756,0.714176,0.808756,0.514166,0.714176,residual_stable_reuse_candidate
en_zh_word,past_simple,translation,tense,False,0.979283,0.689141,-0.025222,0.689141,0.691839,-0.025222,category_curve_artifact_candidate
conditional,contrast,logical,logical,True,0.978564,0.782528,0.654356,0.782528,0.530007,0.654356,residual_stable_reuse_candidate
inference,morphological_neg,logical,negation,False,0.978194,0.788340,0.536302,0.788340,0.540696,0.536302,residual_stable_reuse_candidate
