a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
perfect,progressive,tense,tense,True,0.943053,0.847438,0.855451,0.926053,0.900947,1.000000,0.964223,0.987264,0.959655
future_will,progressive,tense,tense,True,0.934014,0.951010,0.923017,0.896892,0.838744,1.000000,0.934036,0.981995,0.954477
future_will,perfect,tense,tense,True,0.929143,0.813742,0.919592,0.960367,0.953847,1.000000,0.916624,0.972671,0.968973
conditional,contrast,logical,logical,True,0.901519,0.890435,0.584665,0.880965,0.780933,0.985749,0.923050,0.974701,0.968301
concise,they_coref,style,coreference,False,0.887650,0.932979,0.994928,0.747621,0.984477,1.000000,0.958570,0.944320,0.966837
casual,concise,style,style,True,0.857896,0.956960,0.963945,0.799862,0.994224,1.000000,0.899976,0.953859,0.900128
contrast,no_agent,logical,passive,False,0.804146,0.490538,0.794290,0.703782,0.871326,0.999105,0.911131,0.992729,0.944920
conditional,no_agent,logical,passive,False,0.740653,0.484681,0.493720,0.681082,0.819674,0.991983,0.799894,0.983597,0.945631
never,scope_quantifier,negation,negation,True,0.735443,0.709401,0.914594,0.730113,0.968248,0.616518,0.754112,0.962923,0.825072
target_language_switch,they_coref,translation,coreference,False,0.735204,0.757417,0.641707,0.567373,0.882201,1.000000,0.778126,0.762746,0.959799
casual,they_coref,style,coreference,False,0.733188,0.812425,0.965970,0.623345,0.972530,1.000000,0.830963,0.921825,0.855125
contrast,morphological_neg,logical,negation,False,0.721685,0.529158,0.356378,0.616503,0.264978,0.984218,0.754735,0.888401,0.926039
long_passive,nested_passive,passive,passive,True,0.711002,0.485346,0.881352,0.721374,0.875418,1.000000,0.647226,0.835556,0.874365
deictic_switch,poetic,coreference,style,False,0.708791,0.588648,0.356741,0.768308,0.557029,1.000000,0.792967,0.301658,0.794760
conditional,morphological_neg,logical,negation,False,0.698183,0.510221,0.662943,0.556403,0.709668,0.970768,0.713898,0.937663,0.959018
causal,contrast,logical,logical,True,0.684329,0.760614,0.938708,0.763244,0.956022,0.106687,0.951015,0.476323,0.985337
get_passive,scope_quantifier,passive,negation,False,0.673433,0.747759,0.836678,0.764995,0.923728,0.539135,0.674007,0.653506,0.267606
center_embedding,nested_condition,recursive,logical,False,0.666106,0.581738,0.525579,0.617364,0.838433,1.000000,0.720222,0.753549,0.747328
en_fr_phrase,poetic,translation,style,False,0.648941,0.679221,0.794082,0.452758,0.361128,1.000000,0.830759,0.733706,0.721279
causal,inference,logical,logical,True,0.644642,0.614955,0.762328,0.650472,0.904924,0.559642,0.954435,0.476008,0.982934
concise,target_language_switch,style,translation,False,0.644335,0.566833,0.674545,0.340693,0.886402,1.000000,0.820009,0.903481,0.948351
causal,conditional,logical,logical,True,0.641037,0.726425,0.727012,0.704108,0.895368,0.085197,0.936091,0.457954,0.975180
en_fr_word,target_language_switch,translation,translation,True,0.634793,0.697187,0.468565,0.400412,0.876504,1.000000,0.832831,0.941049,0.404344
causal,no_agent,logical,passive,False,0.628822,0.542146,0.872377,0.761831,0.927393,0.101823,0.870932,0.467263,0.963602
deep_complement,nested_condition,recursive,logical,False,0.623345,0.683233,0.634272,0.581969,0.223854,1.000000,0.716015,0.597246,0.718796
by_phrase,syntactic_do_not,passive,negation,False,0.620507,0.539260,0.454658,0.579925,0.952517,0.999786,0.701228,0.903671,0.631735
contrast,inference,logical,logical,True,0.609456,0.794796,0.920912,0.854701,0.953331,-0.055614,0.944301,0.995992,0.992739
existential_no,never,negation,negation,True,0.608507,0.642446,0.672450,0.592127,0.606766,0.995792,0.490417,0.547678,0.748856
conditional,inference,logical,logical,True,0.606295,0.761517,0.365252,0.875032,0.764369,-0.075162,0.932871,0.981820,0.971017
deictic_switch,she_coref,coreference,coreference,True,0.605254,0.396943,0.694040,0.575890,0.596705,1.000000,0.797329,0.576544,0.385332
