combo	layers	pair	scaffold	mode	component	seed	object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	generated_suffix
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tram	other	False	False	True	False				 ____________ in many cities.  The sentence is A tram
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	subway	other	False	False	True	False				 a means of ___________. A subway is commonly used
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	helicopter	other	False	False	False	False				 a...? To solve this, I'm considering the context
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tractor	other	False	False	False	False				 a [________] by farmers. Please think carefully before responding
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	rocket	other	False	False	False	False				 a ___ because it can be easily launched into space.  So
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	canoe	other	False	False	False	False				 _______ in rivers. The words I cannot use are '
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ferry	other	False	False	True	False				 a ___________.  A ferry is commonly used as a
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	jeep	other	False	False	False	False				 a/an ___ in some parts of the world.  Alright,
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ambulance	other	False	False	False	False				... (ending with how it's used as a medical emergency
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	cart	other	False	False	True	False				 a ________.  A cart is commonly used as a _
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	sled	other	False	False	False	False				 a _______ in various regions. The sentence should only use
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	wagon	other	False	False	True	False				 a _______. A wagon is commonly used as a ______
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tram	other	False	False	True	False				 a ___ in many cities.  A tram is commonly used as
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	subway	other	False	False	True	False				 a...?   A subway is commonly used as a [
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	helicopter	other	False	False	False	False				 a/an _______ in many places. The blank should be
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tractor	other	False	False	True	False				 a _______ in various fields.  A tractor is commonly used
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	rocket	other	False	False	True	False				 a _______ to send it into space.  A rocket is
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	canoe	other	False	False	False	False				 a _______ because people can easily paddle it.  The word
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ferry	clean_synonym	True	False	False	False	transport,move through			 a water transport system. It is typically ___ to move through
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	jeep	other	False	False	False	False				 a _______ in the Middle East. The term for a
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ambulance	other	False	False	True	False				 a ___________.  A ambulance is commonly used as a
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	cart	generic_only	False	False	False	False				 a _______ when things cannot be carried by hand. The
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	sled	clean_synonym	True	False	False	False	carry			 a(n) _ to carry loads. The sentence should end
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	wagon	other	False	False	True	False				 a _______. A wagon is commonly used as a cart
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	tram	other	False	False	True	False				 a ______ in ___ cities. The tram is also used as
L16	16	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	subway	clean_synonym	True	False	True	False	transportation			 a means of transportation in ______ cities.  A subway is commonly
