a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.991735,0.993384,0.996896,0.984290,0.984542,0.000000,0.000000,0.000000,0.999562
center_embedding,nested_condition,recursive,logical,False,0.988171,0.988632,0.980116,0.984227,0.988844,0.000000,0.000000,0.000000,0.999035
nested_contrast,nested_passive,logical,passive,False,0.983397,0.974660,0.984587,0.974918,0.984190,0.000000,0.000000,0.000000,0.998629
formal,negated_condition,style,logical,False,0.983226,0.974575,0.982446,0.972398,0.987808,0.000000,0.000000,0.000000,0.998901
and_or,morphological_neg,logical,negation,False,0.982109,0.962476,0.983859,0.964972,0.984203,0.991356,0.987509,0.986279,0.996215
by_phrase,get_passive,passive,passive,True,0.980349,0.976615,0.980889,0.949072,0.979413,0.979905,0.983170,0.995499,0.998227
negated_condition,nested_passive,logical,passive,False,0.980168,0.977262,0.963027,0.979742,0.982255,0.000000,0.000000,0.000000,0.998553
formal,nested_passive,style,passive,False,0.978671,0.975786,0.956484,0.980316,0.982564,0.000000,0.000000,0.000000,0.998203
formal,nested_contrast,style,logical,False,0.976389,0.962734,0.949908,0.977091,0.993387,0.000000,0.000000,0.000000,0.998828
by_phrase,lexical_not_adj,passive,negation,False,0.975877,0.979489,0.949964,0.975609,0.933878,0.988230,0.984036,0.997781,0.998032
center_embedding,nested_contrast,recursive,logical,False,0.974023,0.972403,0.970043,0.960196,0.968920,0.000000,0.000000,0.000000,0.998551
deep_complement,deictic_switch,recursive,coreference,False,0.971880,0.956905,0.989745,0.956096,0.959719,0.000000,0.000000,0.000000,0.996935
by_phrase,relative_clause,passive,recursive,False,0.970649,0.969978,0.980986,0.946604,0.949991,0.984895,0.951448,0.987229,0.994065
long_passive,nested_condition,passive,logical,False,0.970568,0.965637,0.969708,0.949832,0.970515,0.000000,0.000000,0.000000,0.997148
en_fr_word,en_zh_phrase,translation,translation,True,0.968952,0.951751,0.967866,0.943279,0.982911,0.000000,0.000000,0.000000,0.998954
negated_condition,nested_contrast,logical,logical,True,0.968155,0.939924,0.944826,0.971778,0.985843,0.000000,0.000000,0.000000,0.998407
dative_passive,relative_clause,passive,recursive,False,0.967900,0.983869,0.996147,0.961585,0.992269,0.993969,0.841390,0.976381,0.997592
deictic_switch,negated_condition,coreference,logical,False,0.963840,0.933230,0.961762,0.958344,0.970453,0.000000,0.000000,0.000000,0.995413
center_embedding,formal,recursive,style,False,0.963590,0.971786,0.910495,0.968127,0.968334,0.000000,0.000000,0.000000,0.999208
en_fr_word,he_coref,translation,coreference,False,0.963372,0.953841,0.969607,0.921587,0.975200,0.000000,0.000000,0.000000,0.996623
deep_complement,she_coref,recursive,coreference,False,0.962923,0.945772,0.992417,0.895431,0.982756,0.000000,0.000000,0.000000,0.998240
and_or,relative_clause,logical,recursive,False,0.962356,0.941422,0.985473,0.949541,0.985569,0.982168,0.877600,0.983449,0.993627
deictic_switch,formal,coreference,style,False,0.961693,0.916603,0.966615,0.947300,0.980329,0.000000,0.000000,0.000000,0.997615
en_fr_phrase,en_fr_word,translation,translation,True,0.960948,0.930068,0.933183,0.952269,0.992244,0.000000,0.000000,0.000000,0.996974
lexical_not_adj,relative_clause,negation,recursive,False,0.960099,0.974403,0.946549,0.943251,0.900776,0.961301,0.966694,0.992854,0.994968
by_phrase,morphological_neg,passive,negation,False,0.959914,0.934409,0.991614,0.939651,0.976097,0.966209,0.879105,0.996658,0.995567
never,relative_clause,negation,recursive,False,0.959739,0.982743,0.984217,0.949731,0.986581,0.945300,0.947069,0.886337,0.995932
en_fr_phrase,en_zh_phrase,translation,translation,True,0.959511,0.937912,0.956696,0.933634,0.972831,0.000000,0.000000,0.000000,0.996481
formal,poetic,style,style,True,0.959341,0.930672,0.980344,0.895361,0.991049,0.000000,0.000000,0.000000,0.999281
deictic_switch,target_language_switch,coreference,translation,False,0.959298,0.950742,0.981097,0.915541,0.955985,0.000000,0.000000,0.000000,0.993128
