combo	layers	pair	scaffold	mode	component	seed	object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	generated_suffix
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tram	other	False	False	True	False				___to complete construction projects.  A tram is commonly used as
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	subway	other	False	False	False	False				 a _____________ to get from one place to another.  
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	helicopter	clean_synonym	True	False	False	False	transportation			 a(a) versatile mode of transportation.Helicopters are
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	tractor	other	False	False	True	False				 a___for farming activities.  A tractor is commonly used as
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	rocket	clean_synonym	True	False	True	False	travel			 a____to travel through the atmosphere.  A rocket is commonly
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	canoe	other	False	False	True	False				 an___________across the __________.  A canoe is
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ferry	other	False	False	True	False				 a __________ to cross the river.  A ferry is commonly
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	jeep	other	False	False	True	False				 a _ to _ people.  A jeep is commonly used as
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	ambulance	other	False	False	True	False				 __________ in emergency medical situations.  An ambulance is commonly used
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	cart	clean_synonym	True	False	False	False	transport			 a means of transport for light loads or goods.A.
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	sled	generic_only	False	False	True	False				 a___to move items over snow.  A sled is commonly
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	101	wagon	other	False	False	True	False				 a______for transporting materials.  A wagon is commonly used
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tram	clean_synonym	True	False	True	False	transportation			 a __________ for transportation in many cities.  A tram is
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	subway	other	False	False	True	False				 a what in a city?  A subway is commonly used as
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	helicopter	other	False	False	True	False				 a __________ for emergency medical services.  A helicopter is commonly
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	tractor	other	False	False	True	False				 a ___________ to plow fields.  A tractor is
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	rocket	other	False	False	True	False				 an _ to launch satellites and other payloads.  A rocket is
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	canoe	other	False	False	True	False				 a(n)__  AnswerA canoe is commonly used as a
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ferry	clean_synonym	True	False	False	False	transport			 a transport mode for people and goods across bodies of water.
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	jeep	clean_synonym	True	False	False	False	transportation,bus			 a means of transportation.A.   busA can bus be
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	ambulance	other	False	False	False	False				 a __________ for transporting sick people.  An answer would be
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	cart	other	False	False	True	False				 a___to lift goods.  A cart is commonly used as
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	sled	other	False	False	False	False				 a form of______for moving goods from one place to
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	103	wagon	other	False	False	True	False				 a___to move heavy goods across long distances.  A wagon
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	tram	clean_synonym	True	False	True	False	transportation			 a_______method of transportation.  A tram is commonly used
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	subway	other	False	False	False	False				 a __________ to get from one place to another.  A
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	helicopter	clean_synonym	True	False	False	False	transportation			 a form of transportation for people who cannot use _____________
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	tractor	generic_only	False	False	False	False				 a kind of __________ to prepare the ground for planting.  
L24	24	vehicle_tool	forbidden_sentence_completion	temperature	baseline	107	rocket	other	False	False	True	False				 a mode of ____________through the atmosphere.  A rocket
