a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
concise,syntactic_do_not,style,negation,False,0.275683,0.458514,-0.213512,0.626534,-0.043879,0.000000,0.000000,0.000000,0.915918
by_phrase,concise,passive,style,False,0.305266,0.607750,-0.156813,0.587269,-0.046781,0.000000,0.000000,0.000000,0.939245
concise,lexical_not_adj,style,negation,False,0.326645,0.648339,-0.170089,0.668413,-0.041483,0.000000,0.000000,0.000000,0.960701
concise,never,style,negation,False,0.334669,0.695854,-0.115457,0.612874,-0.022529,0.000000,0.000000,0.000000,0.945893
concise,scope_quantifier,style,negation,False,0.346417,0.696527,-0.085160,0.655270,-0.011407,0.000000,0.000000,0.000000,0.935706
complement_clause,concise,recursive,style,False,0.363383,0.770473,-0.168832,0.725996,-0.015327,0.000000,0.000000,0.000000,0.985927
concise,get_passive,style,passive,False,0.366712,0.843300,-0.225481,0.837816,-0.116158,0.000000,0.000000,0.000000,0.979812
concise,pp_chain,style,recursive,False,0.367397,0.717104,-0.091110,0.709965,0.017543,0.000000,0.000000,0.000000,0.970120
concise,possessive_chain,style,recursive,False,0.371098,0.770655,-0.168979,0.831107,-0.033005,0.000000,0.000000,0.000000,0.947250
concise,dative_passive,style,passive,False,0.375493,0.766127,-0.055855,0.659127,0.058651,0.000000,0.000000,0.000000,0.946778
concise,conditional,style,logical,False,0.381722,0.766621,-0.044773,0.650174,0.102112,0.000000,0.000000,0.000000,0.940084
concise,no_agent,style,passive,False,0.381976,0.726353,0.022758,0.596742,0.131623,0.000000,0.000000,0.000000,0.938349
center_embedding,concise,recursive,style,False,0.383039,0.536380,-0.182480,0.652571,-0.022932,0.000000,0.000000,0.000000,0.931656
concise,existential_no,style,negation,False,0.384467,0.661006,0.011709,0.686637,0.111402,0.000000,0.000000,0.000000,0.960828
concise,relative_clause,style,recursive,False,0.399585,0.892826,-0.194196,0.880567,-0.041916,0.000000,0.000000,0.000000,0.989913
causal,concise,logical,style,False,0.403013,0.694257,0.093345,0.626016,0.198270,0.000000,0.000000,0.000000,0.936992
concise,nested_condition,style,logical,False,0.410017,0.655430,-0.234817,0.722870,-0.059609,0.000000,0.000000,0.000000,0.966212
concise,en_zh_phrase,style,translation,False,0.411007,0.557286,-0.050479,0.587190,0.037990,0.000000,0.000000,0.000000,0.923046
concise,nested_passive,style,passive,False,0.420934,0.695242,-0.180742,0.672593,-0.042977,0.000000,0.000000,0.000000,0.960552
concise,contrast,style,logical,False,0.422604,0.731721,0.169006,0.619343,0.211472,0.000000,0.000000,0.000000,0.941243
concise,en_fr_word,style,translation,False,0.422856,0.639773,-0.075768,0.573312,0.028735,0.000000,0.000000,0.000000,0.948230
concise,inference,style,logical,False,0.428041,0.732172,0.130226,0.688656,0.218144,0.000000,0.000000,0.000000,0.937970
concise,nested_contrast,style,logical,False,0.430906,0.783871,-0.328787,0.851870,-0.141394,0.000000,0.000000,0.000000,0.988967
concise,progressive,style,tense,False,0.435262,0.637377,-0.068903,0.622048,0.024369,0.000000,0.000000,0.000000,0.961421
concise,perfect,style,tense,False,0.443140,0.633337,-0.040098,0.612047,0.053945,0.000000,0.000000,0.000000,0.956471
and_or,concise,logical,style,False,0.445738,0.746961,0.232301,0.635326,0.252958,0.000000,0.000000,0.000000,0.951552
concise,future_will,style,tense,False,0.445776,0.654085,-0.051130,0.628020,0.031834,0.000000,0.000000,0.000000,0.966070
concise,morphological_neg,style,negation,False,0.449871,0.728026,0.242527,0.626917,0.300340,0.000000,0.000000,0.000000,0.947422
concise,long_passive,style,passive,False,0.467034,0.700436,-0.089298,0.698180,0.062893,0.000000,0.000000,0.000000,0.962959
concise,negated_condition,style,logical,False,0.481819,0.684956,-0.045061,0.680828,0.114880,0.000000,0.000000,0.000000,0.973493
