a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
future_will,perfect,tense,tense,True,0.998955,0.978351,0.822230,0.978351,0.929143,0.822230,residual_stable_reuse_candidate
perfect,progressive,tense,tense,True,0.998856,0.977226,0.825141,0.977226,0.943053,0.825141,residual_stable_reuse_candidate
future_will,progressive,tense,tense,True,0.998791,0.975870,0.822555,0.975870,0.934014,0.822555,residual_stable_reuse_candidate
conditional,contrast,logical,logical,True,0.996366,0.947155,0.890571,0.947155,0.901519,0.890571,residual_stable_reuse_candidate
long_passive,nested_passive,passive,passive,True,0.996290,0.897731,0.939883,0.897731,0.711002,0.897731,residual_stable_reuse_candidate
contrast,no_agent,logical,passive,False,0.995972,0.942344,0.856528,0.942344,0.804146,0.856528,residual_stable_reuse_candidate
concise,they_coref,style,coreference,False,0.995696,0.979354,0.888806,0.979354,0.887650,0.888806,residual_stable_reuse_candidate
causal,contrast,logical,logical,True,0.995453,0.935411,0.867611,0.935411,0.684329,0.867611,residual_stable_reuse_candidate
by_phrase,dative_passive,passive,passive,True,0.995351,0.923346,0.784221,0.923346,0.581572,0.784221,residual_stable_reuse_candidate
causal,inference,logical,logical,True,0.995159,0.934278,0.868065,0.934278,0.644642,0.868065,residual_stable_reuse_candidate
casual,concise,style,style,True,0.994365,0.972168,0.930215,0.972168,0.857896,0.930215,residual_stable_reuse_candidate
complement_clause,dative_passive,recursive,passive,False,0.994216,0.906997,0.822474,0.906997,0.333853,0.822474,residual_stable_reuse_candidate
contrast,inference,logical,logical,True,0.993988,0.918344,0.836143,0.918344,0.609456,0.836143,residual_stable_reuse_candidate
causal,no_agent,logical,passive,False,0.993889,0.912199,0.820416,0.912199,0.628822,0.820416,residual_stable_reuse_candidate
double_relative,nested_passive,recursive,passive,False,0.993824,0.856142,0.885466,0.856142,0.399377,0.856142,residual_stable_reuse_candidate
conditional,no_agent,logical,passive,False,0.993656,0.905185,0.699261,0.905185,0.740653,0.699261,residual_stable_reuse_candidate
double_relative,future_will,recursive,tense,False,0.993332,0.859528,0.030770,0.859528,0.251345,0.030770,category_curve_artifact_candidate
double_relative,perfect,recursive,tense,False,0.993189,0.854028,0.016231,0.854028,0.205532,0.016231,category_curve_artifact_candidate
long_passive,perfect,passive,tense,False,0.993188,0.844014,0.048045,0.844014,0.557459,0.048045,category_curve_artifact_candidate
double_relative,long_passive,recursive,passive,False,0.993117,0.837777,0.903524,0.837777,0.258274,0.837777,residual_stable_reuse_candidate
future_will,long_passive,tense,passive,False,0.992979,0.843743,0.021735,0.843743,0.540525,0.021735,category_curve_artifact_candidate
by_phrase,relative_clause,passive,recursive,False,0.992906,0.900162,0.801321,0.900162,0.431730,0.801321,residual_stable_reuse_candidate
dative_passive,get_passive,passive,passive,True,0.992858,0.882232,0.695549,0.882232,0.415931,0.695549,residual_stable_reuse_candidate
conditional,morphological_neg,logical,negation,False,0.992804,0.885386,0.382936,0.885386,0.698183,0.382936,residual_stable_reuse_candidate
en_zh_phrase,long_passive,translation,passive,False,0.992724,0.803870,0.070737,0.803870,0.328802,0.070737,ordinary
future_will,nested_passive,tense,passive,False,0.992721,0.838130,0.105956,0.838130,0.419450,0.105956,ordinary
by_phrase,lexical_not_adj,passive,negation,False,0.992634,0.896811,0.187369,0.896811,0.485489,0.187369,ordinary
never,scope_quantifier,negation,negation,True,0.992537,0.910193,0.386876,0.910193,0.735443,0.386876,residual_stable_reuse_candidate
en_fr_phrase,poetic,translation,style,False,0.992473,0.823604,0.690277,0.823604,0.648941,0.690277,residual_stable_reuse_candidate
causal,conditional,logical,logical,True,0.992473,0.888721,0.771084,0.888721,0.641037,0.771084,residual_stable_reuse_candidate
