a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.937792,0.859558,0.922768,0.938816,0.896576,1.000000,1.000000,1.000000,0.945660
nested_contrast,nested_passive,logical,passive,False,0.882492,0.870188,0.927014,0.831168,0.785775,1.000000,1.000000,1.000000,0.871801
center_embedding,nested_condition,recursive,logical,False,0.874362,0.859865,0.900402,0.785295,0.873490,1.000000,1.000000,1.000000,0.850058
formal,nested_contrast,style,logical,False,0.865545,0.775303,0.782079,0.844201,0.836939,1.000000,1.000000,1.000000,0.893268
formal,nested_passive,style,passive,False,0.858622,0.807026,0.781630,0.832795,0.791789,1.000000,1.000000,1.000000,0.818178
negated_condition,nested_passive,logical,passive,False,0.848862,0.829835,0.744071,0.822217,0.680442,1.000000,1.000000,1.000000,0.768765
by_phrase,lexical_not_adj,passive,negation,False,0.816014,0.576593,0.350614,0.712003,0.607925,0.766877,0.931441,0.971077,0.909789
formal,negated_condition,style,logical,False,0.814301,0.701334,0.758824,0.754248,0.777040,1.000000,1.000000,1.000000,0.808866
center_embedding,nested_contrast,recursive,logical,False,0.807982,0.799935,0.853419,0.669151,0.651585,1.000000,1.000000,1.000000,0.842593
negated_condition,nested_contrast,logical,logical,True,0.802617,0.671951,0.675699,0.775332,0.755741,1.000000,1.000000,1.000000,0.801967
possessive_chain,pp_chain,recursive,recursive,True,0.799554,0.901171,0.935899,0.854004,0.933028,0.713713,0.875656,0.387959,0.936024
center_embedding,formal,recursive,style,False,0.790654,0.742668,0.574401,0.669054,0.565186,1.000000,1.000000,1.000000,0.910003
center_embedding,nested_passive,recursive,passive,False,0.745495,0.795353,0.711755,0.598663,0.385210,1.000000,1.000000,1.000000,0.745132
long_passive,nested_condition,passive,logical,False,0.729986,0.709241,0.839463,0.579145,0.597415,1.000000,1.000000,1.000000,0.757721
deictic_switch,formal,coreference,style,False,0.718978,0.517274,0.183844,0.651896,0.464627,1.000000,1.000000,1.000000,0.811156
and_or,morphological_neg,logical,negation,False,0.713939,0.428044,0.762771,0.374244,0.652440,0.796511,0.805548,0.887986,0.842374
deep_complement,nested_condition,recursive,logical,False,0.711716,0.414034,0.174749,0.683788,0.650320,1.000000,1.000000,1.000000,0.826541
nested_condition,nested_contrast,logical,logical,True,0.706397,0.698907,0.583320,0.598996,0.355960,1.000000,1.000000,1.000000,0.663692
by_phrase,relative_clause,passive,recursive,False,0.703501,0.489135,0.492906,0.310435,0.269867,0.891871,0.826475,0.870246,0.724279
dative_passive,relative_clause,passive,recursive,False,0.702682,0.583543,0.955683,0.505985,0.839228,0.870633,0.683548,0.813077,0.882803
deictic_switch,nested_contrast,coreference,logical,False,0.701846,0.405653,0.003725,0.712229,0.824917,1.000000,1.000000,1.000000,0.799007
lexical_not_adj,relative_clause,negation,recursive,False,0.693371,0.654131,-0.112066,0.291439,0.138082,0.685289,0.889583,0.921104,0.694908
by_phrase,get_passive,passive,passive,True,0.690056,0.629509,0.526170,0.459140,0.708008,0.162516,0.886673,0.945447,0.903270
formal,nested_condition,style,logical,False,0.687179,0.622919,0.317078,0.601214,0.236802,1.000000,1.000000,1.000000,0.691750
possessive_chain,relative_clause,recursive,recursive,True,0.684957,0.440513,0.248411,0.336212,0.703552,0.688403,0.896989,0.934805,0.628647
nested_condition,nested_passive,logical,passive,False,0.668760,0.749992,0.399552,0.562779,0.179645,1.000000,1.000000,1.000000,0.588424
deictic_switch,negated_condition,coreference,logical,False,0.666562,0.527828,0.236246,0.621044,0.475931,1.000000,1.000000,1.000000,0.544718
deep_complement,deictic_switch,recursive,coreference,False,0.657680,0.590114,0.678642,0.505228,0.053950,1.000000,1.000000,1.000000,0.699165
deictic_switch,nested_passive,coreference,passive,False,0.651940,0.497222,-0.059938,0.603505,0.417668,1.000000,1.000000,1.000000,0.668550
center_embedding,negated_condition,recursive,logical,False,0.635486,0.609614,0.321378,0.479982,0.210820,1.000000,1.000000,1.000000,0.638189
