a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
conditional,contrast,logical,logical,True,0.863736,0.873759,0.974954,0.744405,0.936373,0.889913,0.836965,0.944649,0.966044
causal,inference,logical,logical,True,0.836292,0.893516,0.998735,0.900444,0.781562,0.562210,0.895696,0.997398,0.994874
causal,contrast,logical,logical,True,0.832113,0.910063,0.996296,0.824267,0.747519,-0.106242,0.900048,0.997425,0.973479
causal,conditional,logical,logical,True,0.784047,0.823648,0.980440,0.826364,0.763571,-0.429631,0.887973,0.943927,0.987389
contrast,no_agent,logical,passive,False,0.781718,0.869717,0.990252,0.585231,0.965772,0.995022,0.787321,0.984086,0.975725
contrast,inference,logical,logical,True,0.765654,0.902863,0.994627,0.859716,0.949176,-0.322774,0.889427,0.998332,0.983313
possessive_chain,pp_chain,recursive,recursive,True,0.747394,0.831641,0.410903,0.779719,0.871751,0.485667,0.678085,0.236563,0.973442
conditional,inference,logical,logical,True,0.735457,0.850069,0.984490,0.846548,0.976482,-0.596181,0.915898,0.946398,0.987162
by_phrase,dative_passive,passive,passive,True,0.706654,0.788575,0.366060,0.697042,0.810976,0.991101,0.661147,0.788128,0.940631
causal,no_agent,logical,passive,False,0.693633,0.825717,0.991035,0.568884,0.762478,-0.179367,0.763965,0.985690,0.986882
contrast,morphological_neg,logical,negation,False,0.692703,0.720813,0.914324,0.475133,0.708725,0.862300,0.710953,0.901655,0.918757
conditional,no_agent,logical,passive,False,0.676227,0.733133,0.983083,0.414677,0.953397,0.930784,0.730293,0.970584,0.981914
dative_passive,get_passive,passive,passive,True,0.661289,0.563207,0.928972,0.477316,0.938655,0.996681,0.363009,0.631246,0.988271
conditional,morphological_neg,logical,negation,False,0.645443,0.662301,0.947889,0.648120,0.845307,0.741673,0.422678,0.946314,0.968696
inference,no_agent,logical,passive,False,0.626456,0.808508,0.991044,0.556348,0.983172,-0.387894,0.786767,0.984638,0.989800
never,scope_quantifier,negation,negation,True,0.602121,0.548941,0.944946,0.427184,0.887479,0.571581,0.700212,0.978613,0.769153
lexical_not_adj,scope_quantifier,negation,negation,True,0.579648,0.605268,0.823902,0.507290,0.762043,0.143990,0.565808,0.816676,0.644952
by_phrase,syntactic_do_not,passive,negation,False,0.549006,0.494049,0.462586,0.461230,0.933945,0.999069,0.536503,0.953996,0.659286
causal,morphological_neg,logical,negation,False,0.531552,0.537929,0.922427,0.517921,0.652460,-0.221129,0.554348,0.896527,0.974458
by_phrase,get_passive,passive,passive,True,0.525983,0.547659,0.379164,0.252174,0.836628,0.981819,0.386154,0.662704,0.932322
dative_passive,syntactic_do_not,passive,negation,False,0.524162,0.573981,0.890916,0.525723,0.817400,0.992427,0.436837,0.749674,0.655861
inference,morphological_neg,logical,negation,False,0.515122,0.570232,0.923119,0.645037,0.820205,-0.343756,0.581984,0.895995,0.957580
relative_clause,syntactic_do_not,recursive,negation,False,0.499423,0.560521,0.727829,0.259775,0.807993,0.977341,0.365344,0.814923,0.354714
morphological_neg,no_agent,negation,passive,False,0.488650,0.614819,0.954513,0.037834,0.778159,0.854644,0.625910,0.939186,0.948151
get_passive,lexical_not_adj,passive,negation,False,0.476074,0.611135,0.905764,0.064574,0.502911,0.992955,0.422686,0.706684,0.565135
