a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.998866,0.996567,0.999408,0.998828,0.999561,0.000000,0.000000,0.000000,0.999964
future_will,progressive,tense,tense,True,0.998632,0.999172,0.999268,0.995896,0.998952,0.000000,0.000000,0.000000,0.999872
perfect,progressive,tense,tense,True,0.998622,0.997167,0.999199,0.997265,0.999556,0.000000,0.000000,0.000000,0.999926
double_relative,perfect,recursive,tense,False,0.996778,0.995802,0.998102,0.991933,0.998684,0.000000,0.000000,0.000000,0.999371
double_relative,future_will,recursive,tense,False,0.996715,0.992737,0.997863,0.993897,0.999658,0.000000,0.000000,0.000000,0.999422
long_passive,nested_passive,passive,passive,True,0.996237,0.988599,0.997797,0.995906,0.999168,0.000000,0.000000,0.000000,0.999714
conditional,contrast,logical,logical,True,0.996210,0.996690,0.990975,0.996566,0.997026,0.996234,0.995921,0.996375,0.999892
contrast,no_agent,logical,passive,False,0.996008,0.985176,0.996771,0.992268,0.999011,0.999724,0.996919,0.998352,0.999840
casual,concise,style,style,True,0.995534,0.995873,0.996742,0.985621,0.999679,0.000000,0.000000,0.000000,0.999757
future_will,nested_passive,tense,passive,False,0.995296,0.987131,0.996715,0.993662,0.999288,0.000000,0.000000,0.000000,0.999684
causal,contrast,logical,logical,True,0.995279,0.992744,0.999068,0.996285,0.999580,0.978493,0.996244,0.999879,0.999941
by_phrase,dative_passive,passive,passive,True,0.994985,0.975622,0.998206,0.993637,0.999331,0.999755,0.995577,0.998160,0.999595
concise,they_coref,style,coreference,False,0.994838,0.992296,0.997331,0.987419,0.997309,0.000000,0.000000,0.000000,0.999833
causal,inference,logical,logical,True,0.994719,0.991639,0.990951,0.986996,0.997142,0.997871,0.993311,0.999892,0.999954
long_passive,perfect,passive,tense,False,0.994378,0.981026,0.998083,0.994578,0.998522,0.000000,0.000000,0.000000,0.999683
double_relative,progressive,recursive,tense,False,0.994375,0.992567,0.998235,0.983900,0.997972,0.000000,0.000000,0.000000,0.999201
future_will,long_passive,tense,passive,False,0.994060,0.978381,0.997577,0.996095,0.998542,0.000000,0.000000,0.000000,0.999703
conditional,no_agent,logical,passive,False,0.994034,0.983384,0.989161,0.992068,0.996351,0.997997,0.994575,0.998819,0.999914
complement_clause,dative_passive,recursive,passive,False,0.993966,0.993702,0.998919,0.992145,0.998052,0.985251,0.988644,0.995632,0.999380
contrast,inference,logical,logical,True,0.993892,0.996530,0.995021,0.991819,0.998361,0.972322,0.997182,0.999910,0.999991
double_relative,long_passive,recursive,passive,False,0.993798,0.978579,0.998110,0.995255,0.998005,0.000000,0.000000,0.000000,0.999043
en_fr_phrase,long_passive,translation,passive,False,0.993773,0.978309,0.996376,0.995329,0.999152,0.000000,0.000000,0.000000,0.999698
nested_passive,perfect,passive,tense,False,0.993658,0.981649,0.998448,0.990117,0.998449,0.000000,0.000000,0.000000,0.999626
causal,no_agent,logical,passive,False,0.993573,0.989805,0.996537,0.991983,0.999112,0.977568,0.994928,0.998727,0.999926
en_zh_phrase,long_passive,translation,passive,False,0.993427,0.989184,0.993505,0.988466,0.996770,0.000000,0.000000,0.000000,0.999211
double_relative,nested_passive,recursive,passive,False,0.993392,0.979008,0.996834,0.992090,0.999409,0.000000,0.000000,0.000000,0.999616
en_zh_phrase,nested_passive,translation,passive,False,0.993350,0.983269,0.994602,0.990843,0.998374,0.000000,0.000000,0.000000,0.999664
en_fr_phrase,nested_passive,translation,passive,False,0.993088,0.979278,0.997147,0.991740,0.997575,0.000000,0.000000,0.000000,0.999699
by_phrase,relative_clause,passive,recursive,False,0.992914,0.985155,0.994806,0.986985,0.992705,0.997499,0.993189,0.993817,0.999158
nested_passive,progressive,passive,tense,False,0.992732,0.984592,0.996179,0.985833,0.997491,0.000000,0.000000,0.000000,0.999565
