a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
get_passive,past_simple,passive,tense,False,-0.792464,-0.664562,-0.645994,-0.771874,-0.759116,-0.866519,-0.865267,-0.879442,-0.938703
get_passive,perfect,passive,tense,False,-0.766231,-0.629903,-0.103737,-0.759603,-0.359589,-0.866519,-0.865267,-0.879442,-0.939160
en_zh_word,relative_clause,translation,recursive,False,-0.744926,-0.739987,-0.523565,-0.715616,-0.603593,-0.780200,-0.779194,-0.916265,-0.870539
en_zh_word,get_passive,translation,passive,False,-0.740606,-0.585968,-0.453110,-0.656624,-0.644243,-0.866519,-0.865267,-0.879442,-0.912638
future_will,get_passive,tense,passive,False,-0.734083,-0.626265,-0.153793,-0.695342,-0.165604,-0.866519,-0.865267,-0.879442,-0.887395
by_phrase,target_language_switch,passive,translation,False,-0.729791,-0.647557,-0.645600,-0.620599,-0.761537,-0.711675,-0.876966,-0.907024,-0.931659
en_fr_phrase,get_passive,translation,passive,False,-0.729382,-0.388560,-0.387453,-0.761742,-0.537255,-0.866519,-0.865267,-0.879442,-0.918575
by_phrase,they_coref,passive,coreference,False,-0.727499,-0.765604,-0.771644,-0.659128,-0.922310,-0.711675,-0.876966,-0.907024,-0.788732
deictic_switch,get_passive,coreference,passive,False,-0.723143,-0.668784,-0.402432,-0.699441,-0.381665,-0.866519,-0.865267,-0.879442,-0.879200
perfect,relative_clause,tense,recursive,False,-0.716997,-0.682394,0.042229,-0.677741,-0.297673,-0.780200,-0.779194,-0.916265,-0.897563
by_phrase,casual,passive,style,False,-0.706838,-0.725093,-0.710909,-0.663947,-0.915770,-0.711675,-0.876966,-0.907024,-0.713215
get_passive,progressive,passive,tense,False,-0.705855,-0.563206,0.313842,-0.661392,0.000745,-0.866519,-0.865267,-0.879442,-0.882121
en_zh_phrase,relative_clause,translation,recursive,False,-0.704802,-0.754240,-0.378435,-0.638701,-0.088359,-0.780200,-0.779194,-0.916265,-0.939578
past_simple,relative_clause,tense,recursive,False,-0.693469,-0.490504,-0.223775,-0.665312,-0.631006,-0.780200,-0.779194,-0.916265,-0.856150
syntactic_do_not,target_language_switch,negation,translation,False,-0.693338,-0.772984,-0.430458,-0.662287,-0.775332,-0.826375,-0.786153,-0.829485,-0.851698
en_fr_word,get_passive,translation,passive,False,-0.691832,-0.415119,0.136070,-0.665296,-0.237896,-0.866519,-0.865267,-0.879442,-0.910358
syntactic_do_not,they_coref,negation,coreference,False,-0.686373,-0.795693,-0.408478,-0.656672,-0.887093,-0.826375,-0.786153,-0.829485,-0.840934
complement_clause,past_simple,recursive,tense,False,-0.684229,-0.443092,-0.598754,-0.544275,-0.844363,-0.746527,-0.838948,-0.876873,-0.918422
progressive,relative_clause,tense,recursive,False,-0.680236,-0.640171,-0.124766,-0.604654,-0.085815,-0.780200,-0.779194,-0.916265,-0.875158
formal,scope_quantifier,style,negation,False,-0.676885,-0.370569,-0.181705,-0.479287,-0.375503,-0.785167,-0.900512,-0.886963,-0.907433
casual,syntactic_do_not,style,negation,False,-0.670208,-0.829329,-0.406666,-0.605794,-0.867348,-0.826375,-0.786153,-0.829485,-0.796184
en_fr_word,relative_clause,translation,recursive,False,-0.668927,-0.567022,0.168336,-0.590549,-0.177921,-0.780200,-0.779194,-0.916265,-0.938194
future_will,relative_clause,tense,recursive,False,-0.664673,-0.632682,0.079488,-0.609102,-0.120411,-0.780200,-0.779194,-0.916265,-0.766288
conditional,poetic,logical,style,False,-0.659161,-0.634538,-0.143971,-0.622838,-0.256574,-0.638426,-0.744509,-0.708363,-0.764713
deictic_switch,relative_clause,coreference,recursive,False,-0.656435,-0.662701,-0.615421,-0.587373,-0.367528,-0.780200,-0.779194,-0.916265,-0.769552
complement_clause,en_zh_word,recursive,translation,False,-0.654288,-0.403082,-0.499885,-0.459820,-0.697244,-0.746527,-0.838948,-0.876873,-0.921512
past_simple,pp_chain,tense,recursive,False,-0.653196,-0.695821,-0.799004,-0.594568,-0.783372,-0.691274,-0.745554,-0.941389,-0.952933
en_fr_phrase,relative_clause,translation,recursive,False,-0.651626,-0.410075,-0.005815,-0.586725,-0.495512,-0.780200,-0.779194,-0.916265,-0.884136
dative_passive,poetic,passive,style,False,-0.648057,-0.324092,-0.175537,-0.469110,-0.340706,-0.869790,-0.888139,-0.930839,-0.825025
complement_clause,en_fr_phrase,recursive,translation,False,-0.648017,-0.385900,-0.647418,-0.493267,-0.578977,-0.746527,-0.838948,-0.876873,-0.938856
