a,b,category_a,category_b,same_category,similarity
causal,contrast,logical,logical,True,0.9910055110797278
relative_clause,syntactic_do_not,recursive,negation,False,0.980822196775816
complement_clause,relative_clause,recursive,recursive,True,0.9806521058035941
complement_clause,syntactic_do_not,recursive,negation,False,0.9788799389164824
get_passive,relative_clause,passive,recursive,False,0.9738303756888337
pp_chain,relative_clause,recursive,recursive,True,0.9737393957763861
and_or,conditional,logical,logical,True,0.9698708475379031
dative_passive,possessive_chain,passive,recursive,False,0.9660885272840919
get_passive,syntactic_do_not,passive,negation,False,0.9660475547914619
conditional,contrast,logical,logical,True,0.9617085387140685
and_or,inference,logical,logical,True,0.9614506110143994
lexical_not_adj,relative_clause,negation,recursive,False,0.9571075528159823
get_passive,pp_chain,passive,recursive,False,0.9570745440193912
conditional,inference,logical,logical,True,0.9566617833651672
lexical_not_adj,syntactic_do_not,negation,negation,True,0.9556873650000904
conditional,morphological_neg,logical,negation,False,0.9553636663667906
causal,inference,logical,logical,True,0.9552181947944286
contrast,inference,logical,logical,True,0.9545681649427147
causal,conditional,logical,logical,True,0.9535128023347123
inference,no_agent,logical,passive,False,0.951523116367095
