a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
future_will,perfect,tense,tense,True,0.981900,0.892789,0.514668,0.892789,0.836690,0.514668,residual_stable_reuse_candidate
by_phrase,get_passive,passive,passive,True,0.981411,0.793976,0.703760,0.793976,0.504533,0.703760,residual_stable_reuse_candidate
formal,negated_condition,style,logical,False,0.980940,0.705655,0.261767,0.705655,0.617673,0.261767,residual_stable_reuse_candidate
and_or,morphological_neg,logical,negation,False,0.977517,0.805128,0.594509,0.805128,0.570777,0.594509,residual_stable_reuse_candidate
by_phrase,relative_clause,passive,recursive,False,0.974115,0.679490,0.644406,0.679490,0.457408,0.644406,residual_stable_reuse_candidate
center_embedding,nested_condition,recursive,logical,False,0.973813,0.880625,0.771146,0.880625,0.766230,0.771146,residual_stable_reuse_candidate
dative_passive,relative_clause,passive,recursive,False,0.973231,0.685214,0.414662,0.685214,0.474521,0.414662,residual_stable_reuse_candidate
nested_contrast,nested_passive,logical,passive,False,0.970876,0.854288,0.803209,0.854288,0.834630,0.803209,residual_stable_reuse_candidate
center_embedding,nested_contrast,recursive,logical,False,0.969018,0.844707,0.776581,0.844707,0.772101,0.776581,residual_stable_reuse_candidate
en_fr_word,en_zh_phrase,translation,translation,True,0.968474,0.713568,-0.033078,0.713568,0.495813,-0.033078,category_curve_artifact_candidate
by_phrase,lexical_not_adj,passive,negation,False,0.966810,0.638891,0.123699,0.638891,0.487680,0.123699,ordinary
scope_quantifier,syntactic_do_not,negation,negation,True,0.966400,0.685059,0.440829,0.685059,0.455189,0.440829,residual_stable_reuse_candidate
en_fr_phrase,en_fr_word,translation,translation,True,0.965840,0.647408,-0.020268,0.647408,0.442843,-0.020268,category_curve_artifact_candidate
never,relative_clause,negation,recursive,False,0.965166,0.565548,-0.205515,0.565548,0.161607,-0.205515,category_curve_artifact_candidate
long_passive,nested_condition,passive,logical,False,0.964941,0.836708,0.811788,0.836708,0.743461,0.811788,residual_stable_reuse_candidate
get_passive,scope_quantifier,passive,negation,False,0.963308,0.589258,-0.033000,0.589258,0.427209,-0.033000,category_curve_artifact_candidate
en_fr_phrase,en_zh_phrase,translation,translation,True,0.962412,0.650380,-0.158938,0.650380,0.396666,-0.158938,category_curve_artifact_candidate
by_phrase,dative_passive,passive,passive,True,0.962292,0.584115,0.385154,0.584115,0.439978,0.385154,residual_stable_reuse_candidate
center_embedding,nested_passive,recursive,passive,False,0.961926,0.775492,0.735295,0.775492,0.701284,0.735295,residual_stable_reuse_candidate
en_fr_word,he_coref,translation,coreference,False,0.960264,0.677018,0.387613,0.677018,0.394871,0.387613,residual_stable_reuse_candidate
dative_passive,never,passive,negation,False,0.960251,0.560163,0.179830,0.560163,0.148412,0.179830,ordinary
deictic_switch,target_language_switch,coreference,translation,False,0.960226,0.643719,0.288239,0.643719,0.454786,0.288239,residual_stable_reuse_candidate
she_coref,target_language_switch,coreference,translation,False,0.959595,0.611359,0.285346,0.611359,0.442187,0.285346,residual_stable_reuse_candidate
and_or,relative_clause,logical,recursive,False,0.959353,0.569632,0.803637,0.569632,0.150860,0.569632,residual_stable_reuse_candidate
lexical_not_adj,relative_clause,negation,recursive,False,0.958656,0.516969,-0.231834,0.516969,0.348569,-0.231834,category_curve_artifact_candidate
deep_complement,she_coref,recursive,coreference,False,0.958398,0.504112,0.042086,0.504112,0.215033,0.042086,category_curve_artifact_candidate
center_embedding,long_passive,recursive,passive,False,0.958391,0.761367,0.716149,0.761367,0.584158,0.716149,residual_stable_reuse_candidate
get_passive,relative_clause,passive,recursive,False,0.957780,0.495353,0.510770,0.495353,0.137856,0.495353,residual_stable_reuse_candidate
never,scope_quantifier,negation,negation,True,0.957268,0.502854,0.102395,0.502854,0.374210,0.102395,ordinary
formal,poetic,style,style,True,0.957159,0.484607,0.335156,0.484607,0.145063,0.335156,residual_stable_reuse_candidate
