a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
concise,syntactic_do_not,style,negation,False,0.377526,-0.370204,-0.123583,-0.370204,-0.343557,-0.370204,stable_differentiation_candidate
by_phrase,concise,passive,style,False,0.410862,-0.480553,-0.150642,-0.480553,-0.520136,-0.480553,stable_differentiation_candidate
center_embedding,concise,recursive,style,False,0.416596,-0.278400,-0.328345,-0.278400,-0.402349,-0.328345,stable_differentiation_candidate
concise,lexical_not_adj,style,negation,False,0.430858,-0.442224,-0.198126,-0.442224,-0.268858,-0.442224,stable_differentiation_candidate
concise,nested_condition,style,logical,False,0.440792,-0.178036,-0.128983,-0.178036,0.070617,-0.178036,stable_differentiation_candidate
concise,scope_quantifier,style,negation,False,0.442804,-0.470520,-0.223034,-0.470520,-0.506923,-0.470520,stable_differentiation_candidate
concise,nested_passive,style,passive,False,0.452149,-0.311534,-0.136508,-0.311534,-0.343887,-0.311534,stable_differentiation_candidate
concise,en_zh_phrase,style,translation,False,0.453042,-0.342207,-0.261297,-0.342207,-0.512065,-0.342207,stable_differentiation_candidate
concise,en_fr_word,style,translation,False,0.455507,-0.421151,-0.425440,-0.421151,-0.626407,-0.425440,stable_differentiation_candidate
complement_clause,concise,recursive,style,False,0.456346,-0.241388,-0.176294,-0.241388,0.032801,-0.241388,stable_differentiation_candidate
concise,never,style,negation,False,0.456673,-0.438389,-0.169966,-0.438389,-0.477284,-0.438389,stable_differentiation_candidate
concise,get_passive,style,passive,False,0.460294,-0.190085,0.152343,-0.190085,0.077882,-0.190085,stable_differentiation_candidate
concise,pp_chain,style,recursive,False,0.472320,-0.265752,-0.235254,-0.265752,-0.007874,-0.265752,stable_differentiation_candidate
concise,possessive_chain,style,recursive,False,0.475895,-0.142522,-0.123707,-0.142522,0.138818,-0.142522,stable_differentiation_candidate
concise,dative_passive,style,passive,False,0.476033,-0.354080,0.093547,-0.354080,-0.252409,-0.354080,stable_differentiation_candidate
concise,no_agent,style,passive,False,0.480667,-0.188920,0.105680,-0.188920,-0.212508,-0.188920,stable_differentiation_candidate
concise,existential_no,style,negation,False,0.482234,-0.252029,0.135285,-0.252029,-0.200149,-0.252029,stable_differentiation_candidate
concise,conditional,style,logical,False,0.482483,-0.263860,-0.093650,-0.263860,-0.239770,-0.263860,stable_differentiation_candidate
concise,progressive,style,tense,False,0.484176,-0.365713,-0.142931,-0.365713,-0.439283,-0.365713,stable_differentiation_candidate
concise,perfect,style,tense,False,0.484460,-0.326852,-0.107162,-0.326852,-0.382774,-0.326852,stable_differentiation_candidate
concise,future_will,style,tense,False,0.488609,-0.329100,-0.104912,-0.329100,-0.313376,-0.329100,stable_differentiation_candidate
concise,long_passive,style,passive,False,0.497730,-0.301463,-0.091654,-0.301463,-0.476772,-0.301463,stable_differentiation_candidate
causal,concise,logical,style,False,0.502961,-0.163717,0.005046,-0.163717,-0.264871,-0.163717,stable_differentiation_candidate
concise,relative_clause,style,recursive,False,0.504294,-0.039435,0.024290,-0.039435,0.382035,-0.039435,stable_differentiation_candidate
concise,he_coref,style,coreference,False,0.504762,-0.045378,-0.491532,-0.045378,0.069589,-0.491532,stable_differentiation_candidate
concise,en_fr_phrase,style,translation,False,0.515397,-0.195280,-0.051670,-0.195280,-0.479246,-0.195280,stable_differentiation_candidate
concise,contrast,style,logical,False,0.518326,-0.084167,0.097165,-0.084167,-0.134652,-0.084167,stable_differentiation_candidate
concise,inference,style,logical,False,0.524859,-0.079509,0.113075,-0.079509,-0.110786,-0.079509,stable_differentiation_candidate
concise,negated_condition,style,logical,False,0.525181,-0.121622,-0.102309,-0.121622,-0.289373,-0.121622,stable_differentiation_candidate
concise,past_simple,style,tense,False,0.526155,-0.148780,0.146997,-0.148780,-0.423702,-0.148780,stable_differentiation_candidate
