a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.997370,0.996707,0.998998,0.997333,0.999218,0.000000,0.994440,0.995668,0.999229
future_will,progressive,tense,tense,True,0.996058,0.993253,0.996606,0.994918,0.998117,0.000000,0.994070,0.996022,0.999421
perfect,progressive,tense,tense,True,0.994765,0.994911,0.997244,0.994026,0.996138,0.000000,0.989412,0.992627,0.998998
and_or,morphological_neg,logical,negation,False,0.992643,0.987175,0.992256,0.980649,0.993196,0.999965,0.992890,0.995887,0.999126
causal,contrast,logical,logical,True,0.989937,0.969866,0.970455,0.992959,0.996946,0.994971,0.997311,0.997598,0.999392
contrast,no_agent,logical,passive,False,0.989737,0.974655,0.979693,0.984831,0.986354,0.999304,0.994498,0.999156,0.999401
causal,morphological_neg,logical,negation,False,0.989392,0.986281,0.984941,0.986843,0.989210,0.977193,0.994387,0.997781,0.998498
never,scope_quantifier,negation,negation,True,0.988842,0.988019,0.991995,0.990304,0.995310,0.999002,0.961449,0.985410,0.999245
contrast,inference,logical,logical,True,0.988545,0.973517,0.989991,0.960487,0.996255,0.996028,0.993894,0.998629,0.999558
causal,inference,logical,logical,True,0.986240,0.952459,0.989236,0.958809,0.996278,0.999795,0.994409,0.999231,0.999700
en_fr_phrase,past_simple,translation,tense,False,0.984766,0.949698,0.995309,0.981276,0.993088,0.000000,0.982632,0.994457,0.996899
deictic_switch,past_simple,coreference,tense,False,0.984221,0.968614,0.986127,0.970482,0.988184,0.000000,0.986022,0.991186,0.998934
contrast,morphological_neg,logical,negation,False,0.983418,0.980404,0.967888,0.987486,0.989860,0.952121,0.994213,0.996388,0.998986
casual,they_coref,style,coreference,False,0.983341,0.985302,0.996952,0.964026,0.999339,0.000000,0.953681,0.985050,0.999036
causal,no_agent,logical,passive,False,0.983294,0.976261,0.953694,0.975335,0.977887,0.991426,0.995425,0.997186,0.999139
by_phrase,lexical_not_adj,passive,negation,False,0.983157,0.951491,0.986371,0.968451,0.986411,0.998212,0.980979,0.997428,0.995907
en_fr_phrase,en_fr_word,translation,translation,True,0.982753,0.975922,0.989877,0.968226,0.988350,0.000000,0.974519,0.984153,0.998220
causal,conditional,logical,logical,True,0.982558,0.951095,0.972261,0.968343,0.985983,0.992877,0.995876,0.994766,0.999261
lexical_not_adj,scope_quantifier,negation,negation,True,0.982412,0.928230,0.987326,0.985750,0.995300,0.986472,0.984591,0.995478,0.996148
conditional,inference,logical,logical,True,0.982284,0.953487,0.970301,0.967030,0.986803,0.991395,0.994694,0.995372,0.999188
en_fr_phrase,en_zh_word,translation,translation,True,0.981516,0.963509,0.988071,0.970952,0.990919,0.000000,0.962075,0.998598,0.996487
by_phrase,scope_quantifier,passive,negation,False,0.981352,0.959053,0.977691,0.978861,0.992106,0.976617,0.972230,0.995820,0.998439
lexical_not_adj,never,negation,negation,True,0.981221,0.942457,0.984926,0.981818,0.989039,0.985548,0.977944,0.990269,0.997766
and_or,causal,logical,logical,True,0.981038,0.965197,0.979073,0.970376,0.982789,0.977268,0.985543,0.992265,0.995791
by_phrase,never,passive,negation,False,0.979928,0.962389,0.973167,0.980996,0.988327,0.974371,0.973612,0.988391,0.998173
conditional,morphological_neg,logical,negation,False,0.979909,0.966622,0.946504,0.971094,0.969957,0.995400,0.995619,0.994992,0.999086
and_or,contrast,logical,logical,True,0.979889,0.978894,0.982415,0.976650,0.981385,0.952212,0.984251,0.986484,0.996819
en_zh_word,past_simple,translation,tense,False,0.979283,0.955417,0.991743,0.973040,0.991598,0.000000,0.950629,0.992979,0.999578
conditional,contrast,logical,logical,True,0.978564,0.958156,0.947442,0.968515,0.985708,0.976687,0.994996,0.998126,0.998886
inference,morphological_neg,logical,negation,False,0.978194,0.949931,0.982721,0.941749,0.989151,0.974749,0.991390,0.997316,0.998543
