a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
and_or,by_phrase,logical,passive,False,0.908550,0.098201,0.152827,0.098201,-0.191665,0.098201,model_curve_artifact_candidate
and_or,casual,logical,style,False,0.895657,0.102591,0.362565,0.102591,0.289144,0.102591,ordinary
and_or,causal,logical,logical,True,0.981038,0.810491,0.715458,0.810491,0.613574,0.715458,residual_stable_reuse_candidate
and_or,center_embedding,logical,recursive,False,0.784899,-0.648705,-0.491000,-0.648705,-0.495905,-0.648705,ordinary
and_or,complement_clause,logical,recursive,False,0.891605,0.056323,0.195375,0.056323,-0.366997,0.056323,ordinary
and_or,concise,logical,style,False,0.547370,0.010630,0.197161,0.010630,-0.134593,0.010630,ordinary
and_or,conditional,logical,logical,True,0.974689,0.737937,0.589059,0.737937,0.617147,0.589059,residual_stable_reuse_candidate
and_or,contrast,logical,logical,True,0.979889,0.808756,0.714176,0.808756,0.514166,0.714176,residual_stable_reuse_candidate
and_or,dative_passive,logical,passive,False,0.935502,0.266549,0.395897,0.266549,-0.141452,0.266549,ordinary
and_or,deep_complement,logical,recursive,False,0.742570,-0.432623,-0.373918,-0.432623,-0.389929,-0.432623,ordinary
and_or,deictic_switch,logical,coreference,False,0.914245,0.014658,-0.097478,0.014658,0.338239,-0.097478,model_curve_artifact_candidate
and_or,double_relative,logical,recursive,False,0.853190,0.023122,0.291093,0.023122,0.026929,0.023122,ordinary
and_or,en_fr_phrase,logical,translation,False,0.910766,-0.031679,0.314264,-0.031679,0.500660,-0.031679,model_curve_artifact_candidate
and_or,en_fr_word,logical,translation,False,0.891124,-0.223168,-0.166287,-0.223168,0.242087,-0.223168,ordinary
and_or,en_zh_phrase,logical,translation,False,0.869040,-0.311680,-0.262857,-0.311680,0.049642,-0.311680,ordinary
and_or,en_zh_word,logical,translation,False,0.900922,-0.190596,0.032422,-0.190596,0.354780,-0.190596,model_curve_artifact_candidate
and_or,existential_no,logical,negation,False,0.941537,0.401258,0.094859,0.401258,0.068207,0.094859,ordinary
and_or,formal,logical,style,False,0.865493,-0.500957,-0.323578,-0.500957,-0.116832,-0.500957,ordinary
and_or,future_will,logical,tense,False,0.876148,-0.482720,-0.404350,-0.482720,-0.116691,-0.482720,ordinary
and_or,get_passive,logical,passive,False,0.863793,-0.106064,-0.172287,-0.106064,-0.445528,-0.172287,ordinary
and_or,he_coref,logical,coreference,False,0.865091,-0.059055,-0.176443,-0.059055,0.173705,-0.176443,ordinary
and_or,inference,logical,logical,True,0.974131,0.743941,0.603715,0.743941,0.458257,0.603715,residual_stable_reuse_candidate
and_or,it_coref,logical,coreference,False,0.754835,-0.020277,0.052607,-0.020277,-0.075752,-0.020277,ordinary
and_or,lexical_not_adj,logical,negation,False,0.917460,0.152938,-0.409512,0.152938,-0.129655,-0.409512,category_curve_artifact_candidate
and_or,long_passive,logical,passive,False,0.863467,-0.667953,-0.452378,-0.667953,-0.361890,-0.667953,ordinary
and_or,morphological_neg,logical,negation,False,0.992643,0.930431,0.707348,0.930431,0.855828,0.707348,residual_stable_reuse_candidate
and_or,negated_condition,logical,logical,True,0.857277,-0.555938,-0.556077,-0.555938,-0.212147,-0.556077,ordinary
and_or,nested_condition,logical,logical,True,0.772982,-0.641924,-0.745674,-0.641924,-0.564128,-0.745674,ordinary
and_or,nested_contrast,logical,logical,True,0.719697,-0.603487,-0.724912,-0.603487,-0.521202,-0.724912,ordinary
and_or,nested_passive,logical,passive,False,0.829273,-0.628003,-0.545230,-0.628003,-0.365043,-0.628003,ordinary
and_or,never,logical,negation,False,0.949550,0.428433,0.077223,0.428433,0.203508,0.077223,ordinary
and_or,no_agent,logical,passive,False,0.965781,0.689151,0.674671,0.689151,0.518236,0.674671,residual_stable_reuse_candidate
and_or,past_simple,logical,tense,False,0.919397,0.071808,0.491408,0.071808,0.627817,0.071808,model_curve_artifact_candidate
and_or,perfect,logical,tense,False,0.874125,-0.465320,-0.353076,-0.465320,-0.086758,-0.465320,ordinary
and_or,poetic,logical,style,False,0.885740,-0.427808,-0.291343,-0.427808,-0.152947,-0.427808,ordinary
and_or,possessive_chain,logical,recursive,False,0.879497,0.026213,0.143355,0.026213,-0.296785,0.026213,ordinary
and_or,pp_chain,logical,recursive,False,0.903908,0.048527,0.178885,0.048527,-0.386572,0.048527,model_curve_artifact_candidate
and_or,progressive,logical,tense,False,0.876127,-0.517599,-0.434689,-0.517599,-0.132616,-0.517599,ordinary
and_or,relative_clause,logical,recursive,False,0.882138,0.094192,0.241435,0.094192,-0.266893,0.094192,ordinary
and_or,scope_quantifier,logical,negation,False,0.941799,0.354029,-0.148233,0.354029,-0.078839,-0.148233,category_curve_artifact_candidate
and_or,she_coref,logical,coreference,False,0.917676,0.133599,0.186651,0.133599,0.456036,0.133599,ordinary
and_or,syntactic_do_not,logical,negation,False,0.854268,-0.081757,-0.564153,-0.081757,-0.403879,-0.564153,ordinary
and_or,target_language_switch,logical,translation,False,0.893845,-0.051795,0.128865,-0.051795,0.301252,-0.051795,ordinary
and_or,they_coref,logical,coreference,False,0.881344,0.085447,0.171894,0.085447,0.264161,0.085447,ordinary
by_phrase,casual,passive,style,False,0.796418,-0.796270,-0.282305,-0.796270,-0.639075,-0.796270,ordinary
by_phrase,causal,passive,logical,False,0.925740,0.236506,0.221706,0.236506,-0.047281,0.221706,ordinary
by_phrase,center_embedding,passive,recursive,False,0.902363,0.251288,0.108923,0.251288,0.499803,0.108923,ordinary
