a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.981900,0.993384,0.996896,0.984290,0.984542,0.000000,0.944099,0.971026,0.999060
by_phrase,get_passive,passive,passive,True,0.981411,0.976615,0.980889,0.949072,0.979413,0.979905,0.991185,0.995718,0.998487
formal,negated_condition,style,logical,False,0.980940,0.974575,0.982446,0.972398,0.987808,0.000000,0.966218,0.984626,0.998508
and_or,morphological_neg,logical,negation,False,0.977517,0.962476,0.983859,0.964972,0.984203,0.991356,0.983452,0.953004,0.996812
by_phrase,relative_clause,passive,recursive,False,0.974115,0.969978,0.980986,0.946604,0.949991,0.984895,0.971157,0.993864,0.995448
center_embedding,nested_condition,recursive,logical,False,0.973813,0.988632,0.980116,0.984227,0.988844,0.000000,0.952487,0.923604,0.998777
dative_passive,relative_clause,passive,recursive,False,0.973231,0.983869,0.996147,0.961585,0.992269,0.993969,0.922994,0.937036,0.997979
nested_contrast,nested_passive,logical,passive,False,0.970876,0.974660,0.984587,0.974918,0.984190,0.000000,0.963118,0.916210,0.998451
center_embedding,nested_contrast,recursive,logical,False,0.969018,0.972403,0.970043,0.960196,0.968920,0.000000,0.982021,0.931118,0.998427
en_fr_word,en_zh_phrase,translation,translation,True,0.968474,0.951751,0.967866,0.943279,0.982911,0.000000,0.965850,0.969252,0.998411
by_phrase,lexical_not_adj,passive,negation,False,0.966810,0.979489,0.949964,0.975609,0.933878,0.988230,0.929518,0.983021,0.994772
scope_quantifier,syntactic_do_not,negation,negation,True,0.966400,0.983628,0.988897,0.907185,0.986201,0.973575,0.906806,0.986033,0.998877
en_fr_phrase,en_fr_word,translation,translation,True,0.965840,0.930068,0.933183,0.952269,0.992244,0.000000,0.987197,0.969002,0.996914
never,relative_clause,negation,recursive,False,0.965166,0.982743,0.984217,0.949731,0.986581,0.945300,0.940192,0.937329,0.995240
long_passive,nested_condition,passive,logical,False,0.964941,0.965637,0.969708,0.949832,0.970515,0.000000,0.985225,0.917119,0.996552
get_passive,scope_quantifier,passive,negation,False,0.963308,0.963455,0.982940,0.954894,0.974636,0.881313,0.968761,0.983823,0.996644
en_fr_phrase,en_zh_phrase,translation,translation,True,0.962412,0.937912,0.956696,0.933634,0.972831,0.000000,0.961988,0.977696,0.996127
by_phrase,dative_passive,passive,passive,True,0.962292,0.974144,0.981033,0.964497,0.958421,0.972573,0.908593,0.943117,0.995961
center_embedding,nested_passive,recursive,passive,False,0.961926,0.975175,0.936394,0.948887,0.937328,0.000000,0.961352,0.976851,0.997491
en_fr_word,he_coref,translation,coreference,False,0.960264,0.953841,0.969607,0.921587,0.975200,0.000000,0.926900,0.979208,0.995509
dative_passive,never,passive,negation,False,0.960251,0.986691,0.990774,0.957012,0.991970,0.927969,0.903348,0.929359,0.994883
deictic_switch,target_language_switch,coreference,translation,False,0.960226,0.950742,0.981097,0.915541,0.955985,0.000000,0.952538,0.973129,0.992550
she_coref,target_language_switch,coreference,translation,False,0.959595,0.945098,0.970133,0.896850,0.961380,0.000000,0.973656,0.977475,0.992574
and_or,relative_clause,logical,recursive,False,0.959353,0.941422,0.985473,0.949541,0.985569,0.982168,0.886311,0.951087,0.993255
lexical_not_adj,relative_clause,negation,recursive,False,0.958656,0.974403,0.946549,0.943251,0.900776,0.961301,0.955930,0.992622,0.994420
deep_complement,she_coref,recursive,coreference,False,0.958398,0.945772,0.992417,0.895431,0.982756,0.000000,0.917640,0.980489,0.994281
center_embedding,long_passive,recursive,passive,False,0.958391,0.962436,0.933626,0.942209,0.949075,0.000000,0.956412,0.968592,0.996386
get_passive,relative_clause,passive,recursive,False,0.957780,0.938622,0.952615,0.923314,0.942482,0.963745,0.958031,0.988944,0.994487
never,scope_quantifier,negation,negation,True,0.957268,0.965894,0.973532,0.929132,0.963853,0.939538,0.940008,0.950644,0.995546
formal,poetic,style,style,True,0.957159,0.930672,0.980344,0.895361,0.991049,0.000000,0.910029,0.994147,0.998512
