model,source,category,subtype,label,rows
deepseek7b,phase290,logical,and_or,norm_normal_functional_failure,9
deepseek7b,phase290,logical,causal,norm_normal_functional_failure,27
deepseek7b,phase290,logical,causal,off_manifold_no_drop,3
deepseek7b,phase290,logical,conditional,norm_normal_functional_failure,27
deepseek7b,phase290,logical,conditional,off_manifold_no_drop,10
deepseek7b,phase290,logical,contrast,norm_normal_functional_failure,18
deepseek7b,phase290,logical,contrast,off_manifold_no_drop,10
deepseek7b,phase290,logical,inference,norm_normal_functional_failure,21
deepseek7b,phase290,logical,inference,off_manifold_no_drop,55
deepseek7b,phase290,negation,existential_no,norm_normal_functional_failure,10
deepseek7b,phase290,negation,existential_no,off_manifold_no_drop,19
deepseek7b,phase290,negation,lexical_not_adj,norm_normal_functional_failure,2
deepseek7b,phase290,negation,morphological_neg,norm_normal_functional_failure,2
deepseek7b,phase290,negation,never,norm_normal_functional_failure,10
deepseek7b,phase290,negation,never,off_manifold_no_drop,8
deepseek7b,phase290,negation,scope_quantifier,norm_normal_functional_failure,5
deepseek7b,phase290,negation,scope_quantifier,off_manifold_functional_failure,1
deepseek7b,phase290,negation,scope_quantifier,off_manifold_no_drop,16
deepseek7b,phase290,negation,syntactic_do_not,norm_normal_functional_failure,7
deepseek7b,phase290,negation,syntactic_do_not,off_manifold_functional_failure,1
deepseek7b,phase290,negation,syntactic_do_not,off_manifold_no_drop,40
deepseek7b,phase290,passive,by_phrase,norm_normal_functional_failure,5
deepseek7b,phase290,passive,by_phrase,off_manifold_no_drop,2
deepseek7b,phase290,passive,dative_passive,norm_normal_functional_failure,12
deepseek7b,phase290,passive,dative_passive,off_manifold_no_drop,2
deepseek7b,phase290,passive,get_passive,norm_normal_functional_failure,8
deepseek7b,phase290,passive,get_passive,off_manifold_no_drop,8
deepseek7b,phase290,passive,no_agent,norm_normal_functional_failure,13
deepseek7b,phase290,passive,no_agent,off_manifold_no_drop,84
deepseek7b,phase290,recursive,complement_clause,norm_normal_functional_failure,13
deepseek7b,phase290,recursive,complement_clause,off_manifold_no_drop,44
deepseek7b,phase290,recursive,possessive_chain,norm_normal_functional_failure,4
deepseek7b,phase290,recursive,pp_chain,norm_normal_functional_failure,13
