a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
contrast,negated_condition,logical,logical,True,-0.702998,-0.691095,-0.870348,-0.751829,-0.769822,-0.794246,-0.740679,-0.514198,-0.920808
existential_no,formal,negation,style,False,-0.692570,-0.673898,-0.667410,-0.811604,-0.739120,-0.740693,-0.706453,-0.589973,-0.694233
by_phrase,deictic_switch,passive,coreference,False,-0.680133,-0.583932,-0.203349,-0.604328,-0.855323,-0.760198,-0.877521,-0.774044,-0.922311
contrast,nested_passive,logical,passive,False,-0.642910,-0.632201,-0.792628,-0.680348,-0.532718,-0.794246,-0.740679,-0.514198,-0.776727
lexical_not_adj,negated_condition,negation,logical,False,-0.641374,-0.483885,-0.903011,-0.615616,-0.823638,-0.594399,-0.920050,-0.827690,-0.757019
center_embedding,existential_no,recursive,negation,False,-0.641134,-0.677418,-0.755131,-0.657520,-0.525445,-0.740693,-0.706453,-0.589973,-0.686509
existential_no,nested_passive,negation,passive,False,-0.640557,-0.744016,-0.394537,-0.719739,-0.617363,-0.740693,-0.706453,-0.589973,-0.588720
existential_no,nested_condition,negation,logical,False,-0.637070,-0.733819,-0.805116,-0.670642,-0.399475,-0.740693,-0.706453,-0.589973,-0.664801
get_passive,nested_condition,passive,logical,False,-0.637032,-0.579425,-0.708983,-0.619738,-0.660396,-0.575026,-0.902090,-0.894779,-0.843218
deep_complement,inference,recursive,logical,False,-0.636852,-0.371781,0.015289,-0.740908,-0.843308,-0.640303,-0.644695,-0.890406,-0.741661
by_phrase,formal,passive,style,False,-0.631515,-0.380241,-0.799620,-0.450164,-0.647372,-0.760198,-0.877521,-0.774044,-0.779065
center_embedding,get_passive,recursive,passive,False,-0.630951,-0.555346,-0.595158,-0.532601,-0.734838,-0.575026,-0.902090,-0.894779,-0.811720
by_phrase,nested_contrast,passive,logical,False,-0.627803,-0.363826,-0.915309,-0.518716,-0.899396,-0.760198,-0.877521,-0.774044,-0.828290
contrast,nested_contrast,logical,logical,True,-0.627653,-0.582767,-0.758228,-0.658100,-0.522542,-0.794246,-0.740679,-0.514198,-0.736468
formal,get_passive,style,passive,False,-0.626305,-0.462044,-0.510365,-0.531460,-0.735127,-0.575026,-0.902090,-0.894779,-0.825452
existential_no,nested_contrast,negation,logical,False,-0.625574,-0.645261,-0.560041,-0.699650,-0.467803,-0.740693,-0.706453,-0.589973,-0.656392
by_phrase,nested_passive,passive,passive,True,-0.623133,-0.497135,-0.794543,-0.547590,-0.684550,-0.760198,-0.877521,-0.774044,-0.737565
deictic_switch,lexical_not_adj,coreference,negation,False,-0.612407,-0.461240,-0.290288,-0.548027,-0.658105,-0.594399,-0.920050,-0.827690,-0.843412
deictic_switch,get_passive,coreference,passive,False,-0.610335,-0.479264,-0.143171,-0.599529,-0.447739,-0.575026,-0.902090,-0.894779,-0.893076
by_phrase,center_embedding,passive,recursive,False,-0.608176,-0.389069,-0.894708,-0.363225,-0.722549,-0.760198,-0.877521,-0.774044,-0.705438
formal,inference,style,logical,False,-0.605703,-0.452424,-0.793098,-0.607464,-0.437544,-0.640303,-0.644695,-0.890406,-0.775675
existential_no,negated_condition,negation,logical,False,-0.598523,-0.662413,-0.106887,-0.634371,-0.356041,-0.740693,-0.706453,-0.589973,-0.511397
by_phrase,negated_condition,passive,logical,False,-0.595641,-0.555444,-0.644706,-0.465284,-0.523904,-0.760198,-0.877521,-0.774044,-0.566823
morphological_neg,nested_condition,negation,logical,False,-0.594610,-0.674601,-0.863047,-0.496052,-0.786384,-0.467219,-0.695872,-0.774544,-0.847561
deep_complement,get_passive,recursive,passive,False,-0.592118,-0.321013,-0.328272,-0.436413,-0.472239,-0.575026,-0.902090,-0.894779,-0.794722
by_phrase,nested_condition,passive,logical,False,-0.589910,-0.457831,-0.682522,-0.360815,-0.571471,-0.760198,-0.877521,-0.774044,-0.710162
deep_complement,syntactic_do_not,recursive,negation,False,-0.587981,-0.279737,-0.472078,-0.460441,-0.694840,-0.680922,-0.756265,-0.809519,-0.872715
contrast,formal,logical,style,False,-0.586214,-0.427582,-0.659634,-0.514164,-0.513865,-0.794246,-0.740679,-0.514198,-0.772190
center_embedding,morphological_neg,recursive,negation,False,-0.584985,-0.628507,-0.885838,-0.461617,-0.764509,-0.467219,-0.695872,-0.774544,-0.797750
inference,nested_condition,logical,logical,True,-0.581884,-0.380303,-0.647552,-0.619308,-0.676859,-0.640303,-0.644695,-0.890406,-0.753493
