a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
complement_clause,they_coref,recursive,coreference,False,0.523514,0.717302,0.095493,0.767944,0.774833,0.000000,0.000000,0.000000,0.955421
casual,causal,style,logical,False,0.523602,0.715044,0.317552,0.330906,0.977581,0.000000,0.000000,0.000000,0.970465
casual,no_agent,style,passive,False,0.546811,0.720238,0.394941,0.471825,0.906316,0.000000,0.000000,0.000000,0.965016
causal,complement_clause,logical,recursive,False,0.556263,0.738689,0.072307,0.832164,0.931474,0.750005,0.578948,-0.417664,0.964179
complement_clause,no_agent,recursive,passive,False,0.563731,0.759087,0.122948,0.795134,0.846205,0.937677,0.579344,-0.487756,0.957209
complement_clause,concise,recursive,style,False,0.583023,0.520604,0.382348,0.891287,0.917386,0.000000,0.000000,0.000000,0.975736
complement_clause,future_will,recursive,tense,False,0.586138,0.867996,0.343812,0.697512,0.834221,0.000000,0.000000,0.000000,0.963520
casual,contrast,style,logical,False,0.588835,0.751647,0.669291,0.396026,0.938627,0.000000,0.000000,0.000000,0.968529
complement_clause,perfect,recursive,tense,False,0.590902,0.865656,0.380277,0.699153,0.826752,0.000000,0.000000,0.000000,0.965357
it_coref,pp_chain,coreference,recursive,False,0.596607,0.700164,0.509825,0.728791,0.856938,0.000000,0.000000,0.000000,0.977558
complement_clause,morphological_neg,recursive,negation,False,0.597681,0.754263,0.372552,0.855368,0.883571,0.767479,0.559721,-0.365481,0.953976
casual,morphological_neg,style,negation,False,0.599593,0.781419,0.706559,0.378616,0.950809,0.000000,0.000000,0.000000,0.974754
complement_clause,en_fr_phrase,recursive,translation,False,0.600336,0.806182,0.324818,0.809565,0.886290,0.000000,0.000000,0.000000,0.970006
complement_clause,existential_no,recursive,negation,False,0.600589,0.688977,0.425276,0.761953,0.894165,0.815047,0.631402,-0.367547,0.955440
possessive_chain,they_coref,recursive,coreference,False,0.601790,0.751899,0.527784,0.776967,0.779977,0.000000,0.000000,0.000000,0.969426
and_or,casual,logical,style,False,0.602114,0.790103,0.675982,0.385335,0.980985,0.000000,0.000000,0.000000,0.975698
complement_clause,it_coref,recursive,coreference,False,0.603633,0.789899,0.316339,0.808867,0.925256,0.000000,0.000000,0.000000,0.977351
complement_clause,inference,recursive,logical,False,0.604430,0.811689,0.366880,0.738299,0.823456,0.796292,0.599139,-0.264568,0.964257
it_coref,possessive_chain,coreference,recursive,False,0.604632,0.713082,0.516868,0.736618,0.876642,0.000000,0.000000,0.000000,0.980820
pp_chain,they_coref,recursive,coreference,False,0.605045,0.777261,0.525491,0.784806,0.769140,0.000000,0.000000,0.000000,0.969940
complement_clause,en_zh_word,recursive,translation,False,0.606268,0.871419,0.283684,0.906607,0.803971,0.000000,0.000000,0.000000,0.968694
nested_contrast,no_agent,logical,passive,False,0.609365,0.717913,0.561874,0.768675,0.841992,0.000000,0.000000,0.000000,0.963510
complement_clause,progressive,recursive,tense,False,0.609549,0.822050,0.361624,0.784201,0.918790,0.000000,0.000000,0.000000,0.968459
nested_passive,no_agent,passive,passive,True,0.611295,0.758551,0.563023,0.781528,0.800978,0.000000,0.000000,0.000000,0.962088
complement_clause,en_zh_phrase,recursive,translation,False,0.612875,0.816063,0.393291,0.819407,0.871737,0.000000,0.000000,0.000000,0.975664
casual,pp_chain,style,recursive,False,0.615835,0.770513,0.833902,0.392723,0.915093,0.000000,0.000000,0.000000,0.982652
casual,possessive_chain,style,recursive,False,0.617912,0.779533,0.855042,0.374422,0.913796,0.000000,0.000000,0.000000,0.985228
causal,it_coref,logical,coreference,False,0.618017,0.739656,0.560923,0.698564,0.939015,0.000000,0.000000,0.000000,0.970528
and_or,complement_clause,logical,recursive,False,0.620452,0.830935,0.389264,0.902477,0.931604,0.764970,0.575811,-0.397888,0.966439
casual,conditional,style,logical,False,0.621678,0.774260,0.808549,0.403456,0.977636,0.000000,0.000000,0.000000,0.967933
