a,b,category_a,category_b,same_category,similarity
possessive_chain,relative_clause,recursive,recursive,True,0.9991784859305888
get_passive,possessive_chain,passive,recursive,False,0.9988081654846501
never,syntactic_do_not,negation,negation,True,0.9984876963637288
relative_clause,scope_quantifier,recursive,negation,False,0.9984269927370959
possessive_chain,scope_quantifier,recursive,negation,False,0.9982903562369001
by_phrase,dative_passive,passive,passive,True,0.9982587061709124
get_passive,relative_clause,passive,recursive,False,0.9981201714387833
never,scope_quantifier,negation,negation,True,0.9980000796223758
lexical_not_adj,relative_clause,negation,recursive,False,0.9976126263582038
causal,contrast,logical,logical,True,0.9974189607463686
scope_quantifier,syntactic_do_not,negation,negation,True,0.9973090701204493
possessive_chain,syntactic_do_not,recursive,negation,False,0.9971276571343384
and_or,causal,logical,logical,True,0.9971173522817762
get_passive,syntactic_do_not,passive,negation,False,0.9970980592242444
lexical_not_adj,scope_quantifier,negation,negation,True,0.997054819408185
never,relative_clause,negation,recursive,False,0.997034309093872
causal,conditional,logical,logical,True,0.9969076634140834
never,possessive_chain,negation,recursive,False,0.9968852652759641
get_passive,scope_quantifier,passive,negation,False,0.9968314239542839
relative_clause,syntactic_do_not,recursive,negation,False,0.9968296776628413
