a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.998317,0.996707,0.998998,0.997333,0.999218,0.000000,0.000000,0.000000,0.999330
future_will,progressive,tense,tense,True,0.996496,0.993253,0.996606,0.994918,0.998117,0.000000,0.000000,0.000000,0.999585
perfect,progressive,tense,tense,True,0.996341,0.994911,0.997244,0.994026,0.996138,0.000000,0.000000,0.000000,0.999384
and_or,morphological_neg,logical,negation,False,0.993125,0.987175,0.992256,0.980649,0.993196,0.999965,0.995162,0.997335,0.999266
never,scope_quantifier,negation,negation,True,0.991488,0.988019,0.991995,0.990304,0.995310,0.999002,0.980300,0.987828,0.999145
causal,morphological_neg,logical,negation,False,0.989310,0.986281,0.984941,0.986843,0.989210,0.977193,0.993731,0.997717,0.998562
he_coref,past_simple,coreference,tense,False,0.989301,0.981428,0.998108,0.973274,0.994145,0.000000,0.000000,0.000000,0.999549
contrast,no_agent,logical,passive,False,0.989292,0.974655,0.979693,0.984831,0.986354,0.999304,0.990638,0.999453,0.999412
casual,they_coref,style,coreference,False,0.989004,0.985302,0.996952,0.964026,0.999339,0.000000,0.000000,0.000000,0.999401
causal,contrast,logical,logical,True,0.988548,0.969866,0.970455,0.992959,0.996946,0.994971,0.989947,0.993850,0.999391
contrast,inference,logical,logical,True,0.988162,0.973517,0.989991,0.960487,0.996255,0.996028,0.990440,0.999004,0.999571
en_fr_word,perfect,translation,tense,False,0.986265,0.963619,0.996522,0.977085,0.994830,0.000000,0.000000,0.000000,0.999269
en_fr_phrase,en_fr_word,translation,translation,True,0.984175,0.975922,0.989877,0.968226,0.988350,0.000000,0.000000,0.000000,0.998502
causal,inference,logical,logical,True,0.984112,0.952459,0.989236,0.958809,0.996278,0.999795,0.982478,0.994121,0.999723
en_zh_phrase,progressive,translation,tense,False,0.983363,0.960603,0.996625,0.973225,0.993793,0.000000,0.000000,0.000000,0.992569
en_fr_word,future_will,translation,tense,False,0.983307,0.957657,0.993734,0.973564,0.993855,0.000000,0.000000,0.000000,0.997727
en_fr_phrase,past_simple,translation,tense,False,0.983305,0.949698,0.995309,0.981276,0.993088,0.000000,0.000000,0.000000,0.997154
contrast,morphological_neg,logical,negation,False,0.982898,0.980404,0.967888,0.987486,0.989860,0.952121,0.990114,0.996269,0.999042
causal,no_agent,logical,passive,False,0.982750,0.976261,0.953694,0.975335,0.977887,0.991426,0.993317,0.994930,0.999151
lexical_not_adj,never,negation,negation,True,0.982712,0.942457,0.984926,0.981818,0.989039,0.985548,0.983280,0.997046,0.997581
deictic_switch,past_simple,coreference,tense,False,0.982480,0.968614,0.986127,0.970482,0.988184,0.000000,0.000000,0.000000,0.998992
en_fr_word,progressive,translation,tense,False,0.982434,0.958232,0.996194,0.968443,0.990867,0.000000,0.000000,0.000000,0.998432
en_zh_word,past_simple,translation,tense,False,0.982284,0.955417,0.991743,0.973040,0.991598,0.000000,0.000000,0.000000,0.999625
lexical_not_adj,scope_quantifier,negation,negation,True,0.982173,0.928230,0.987326,0.985750,0.995300,0.986472,0.985239,0.993252,0.995814
en_fr_phrase,en_zh_word,translation,translation,True,0.982058,0.963509,0.988071,0.970952,0.990919,0.000000,0.000000,0.000000,0.996838
conditional,inference,logical,logical,True,0.981817,0.953487,0.970301,0.967030,0.986803,0.991395,0.990426,0.995978,0.999118
and_or,causal,logical,logical,True,0.981703,0.965197,0.979073,0.970376,0.982789,0.977268,0.987352,0.995383,0.996187
by_phrase,lexical_not_adj,passive,negation,False,0.981467,0.951491,0.986371,0.968451,0.986411,0.998212,0.973416,0.991520,0.995862
by_phrase,scope_quantifier,passive,negation,False,0.981282,0.959053,0.977691,0.978861,0.992106,0.976617,0.976037,0.991517,0.998372
and_or,contrast,logical,logical,True,0.980950,0.978894,0.982415,0.976650,0.981385,0.952212,0.988354,0.990481,0.997210
