a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
contrast,no_agent,logical,passive,False,0.989737,0.908337,0.868878,0.908337,0.590706,0.868878,residual_stable_reuse_candidate
causal,contrast,logical,logical,True,0.989937,0.901661,0.849965,0.901661,0.636189,0.849965,residual_stable_reuse_candidate
contrast,inference,logical,logical,True,0.988545,0.888670,0.826587,0.888670,0.562514,0.826587,residual_stable_reuse_candidate
causal,inference,logical,logical,True,0.986240,0.857855,0.774448,0.857855,0.722421,0.774448,residual_stable_reuse_candidate
causal,no_agent,logical,passive,False,0.983294,0.845612,0.754001,0.845612,0.749113,0.754001,residual_stable_reuse_candidate
inference,no_agent,logical,passive,False,0.977951,0.796276,0.716435,0.796276,0.637811,0.716435,residual_stable_reuse_candidate
and_or,causal,logical,logical,True,0.981038,0.810491,0.715458,0.810491,0.613574,0.715458,residual_stable_reuse_candidate
and_or,contrast,logical,logical,True,0.979889,0.808756,0.714176,0.808756,0.514166,0.714176,residual_stable_reuse_candidate
and_or,morphological_neg,logical,negation,False,0.992643,0.930431,0.707348,0.930431,0.855828,0.707348,residual_stable_reuse_candidate
morphological_neg,no_agent,negation,passive,False,0.970011,0.731452,0.697095,0.731452,0.627578,0.697095,residual_stable_reuse_candidate
causal,conditional,logical,logical,True,0.982558,0.810051,0.694763,0.810051,0.745161,0.694763,residual_stable_reuse_candidate
conditional,inference,logical,logical,True,0.982284,0.810113,0.680375,0.810113,0.703669,0.680375,residual_stable_reuse_candidate
center_embedding,negated_condition,recursive,logical,False,0.956705,0.676714,0.680633,0.676714,0.570455,0.676714,residual_stable_reuse_candidate
and_or,no_agent,logical,passive,False,0.965781,0.689151,0.674671,0.689151,0.518236,0.674671,residual_stable_reuse_candidate
conditional,contrast,logical,logical,True,0.978564,0.782528,0.654356,0.782528,0.530007,0.654356,residual_stable_reuse_candidate
long_passive,nested_passive,passive,passive,True,0.969930,0.664971,0.643417,0.664971,0.469689,0.643417,residual_stable_reuse_candidate
future_will,perfect,tense,tense,True,0.997370,0.961208,0.642301,0.961208,0.929259,0.642301,residual_stable_reuse_candidate
target_language_switch,they_coref,translation,coreference,False,0.962898,0.725646,0.628847,0.725646,0.699175,0.628847,residual_stable_reuse_candidate
long_passive,negated_condition,passive,logical,False,0.972515,0.618462,0.645147,0.618462,0.461129,0.618462,residual_stable_reuse_candidate
center_embedding,nested_passive,recursive,passive,False,0.958232,0.699558,0.618153,0.699558,0.539208,0.618153,residual_stable_reuse_candidate
center_embedding,long_passive,recursive,passive,False,0.961420,0.725536,0.610366,0.725536,0.579186,0.610366,residual_stable_reuse_candidate
deep_complement,nested_contrast,recursive,logical,False,0.927235,0.723329,0.606428,0.723329,0.781052,0.606428,residual_stable_reuse_candidate
and_or,inference,logical,logical,True,0.974131,0.743941,0.603715,0.743941,0.458257,0.603715,residual_stable_reuse_candidate
by_phrase,pp_chain,passive,recursive,False,0.966443,0.659528,0.598112,0.659528,0.219941,0.598112,residual_stable_reuse_candidate
contrast,morphological_neg,logical,negation,False,0.983418,0.844826,0.592580,0.844826,0.572559,0.592580,residual_stable_reuse_candidate
nested_condition,nested_passive,logical,passive,False,0.939495,0.590106,0.624798,0.590106,0.253163,0.590106,residual_stable_reuse_candidate
and_or,conditional,logical,logical,True,0.974689,0.737937,0.589059,0.737937,0.617147,0.589059,residual_stable_reuse_candidate
causal,morphological_neg,logical,negation,False,0.989392,0.896904,0.584749,0.896904,0.806908,0.584749,residual_stable_reuse_candidate
negated_condition,nested_passive,logical,passive,False,0.960532,0.581366,0.689500,0.581366,0.447358,0.581366,residual_stable_reuse_candidate
center_embedding,nested_condition,recursive,logical,False,0.953325,0.722984,0.579133,0.722984,0.501924,0.579133,residual_stable_reuse_candidate
