a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
long_passive,nested_condition,passive,logical,False,0.964941,0.836708,0.811788,0.836708,0.743461,0.811788,residual_stable_reuse_candidate
nested_contrast,nested_passive,logical,passive,False,0.970876,0.854288,0.803209,0.854288,0.834630,0.803209,residual_stable_reuse_candidate
center_embedding,nested_contrast,recursive,logical,False,0.969018,0.844707,0.776581,0.844707,0.772101,0.776581,residual_stable_reuse_candidate
center_embedding,nested_condition,recursive,logical,False,0.973813,0.880625,0.771146,0.880625,0.766230,0.771146,residual_stable_reuse_candidate
nested_condition,nested_contrast,logical,logical,True,0.945548,0.757177,0.770165,0.757177,0.723223,0.757177,residual_stable_reuse_candidate
center_embedding,nested_passive,recursive,passive,False,0.961926,0.775492,0.735295,0.775492,0.701284,0.735295,residual_stable_reuse_candidate
center_embedding,long_passive,recursive,passive,False,0.958391,0.761367,0.716149,0.761367,0.584158,0.716149,residual_stable_reuse_candidate
by_phrase,get_passive,passive,passive,True,0.981411,0.793976,0.703760,0.793976,0.504533,0.703760,residual_stable_reuse_candidate
nested_condition,nested_passive,logical,passive,False,0.946056,0.740709,0.668949,0.740709,0.762502,0.668949,residual_stable_reuse_candidate
contrast,no_agent,logical,passive,False,0.928688,0.646448,0.676059,0.646448,0.586583,0.646448,residual_stable_reuse_candidate
by_phrase,relative_clause,passive,recursive,False,0.974115,0.679490,0.644406,0.679490,0.457408,0.644406,residual_stable_reuse_candidate
and_or,morphological_neg,logical,negation,False,0.977517,0.805128,0.594509,0.805128,0.570777,0.594509,residual_stable_reuse_candidate
and_or,relative_clause,logical,recursive,False,0.959353,0.569632,0.803637,0.569632,0.150860,0.569632,residual_stable_reuse_candidate
negated_condition,nested_passive,logical,passive,False,0.941806,0.563322,0.619482,0.563322,0.592801,0.563322,residual_stable_reuse_candidate
long_passive,nested_passive,passive,passive,True,0.931582,0.605985,0.548565,0.605985,0.552344,0.548565,residual_stable_reuse_candidate
long_passive,nested_contrast,passive,logical,False,0.910344,0.546003,0.522782,0.546003,0.423800,0.522782,residual_stable_reuse_candidate
future_will,perfect,tense,tense,True,0.981900,0.892789,0.514668,0.892789,0.836690,0.514668,residual_stable_reuse_candidate
and_or,causal,logical,logical,True,0.944061,0.676911,0.507186,0.676911,0.362019,0.507186,residual_stable_reuse_candidate
get_passive,relative_clause,passive,recursive,False,0.957780,0.495353,0.510770,0.495353,0.137856,0.495353,residual_stable_reuse_candidate
causal,contrast,logical,logical,True,0.936762,0.645021,0.493070,0.645021,0.501536,0.493070,residual_stable_reuse_candidate
negated_condition,nested_contrast,logical,logical,True,0.917697,0.489831,0.570324,0.489831,0.529842,0.489831,residual_stable_reuse_candidate
conditional,inference,logical,logical,True,0.943760,0.591571,0.484637,0.591571,0.422212,0.484637,residual_stable_reuse_candidate
scope_quantifier,syntactic_do_not,negation,negation,True,0.966400,0.685059,0.440829,0.685059,0.455189,0.440829,residual_stable_reuse_candidate
morphological_neg,relative_clause,negation,recursive,False,0.955462,0.553677,0.439369,0.553677,0.208174,0.439369,residual_stable_reuse_candidate
deep_complement,double_relative,recursive,recursive,True,0.939496,0.425680,0.482200,0.425680,0.215624,0.425680,residual_stable_reuse_candidate
and_or,inference,logical,logical,True,0.939485,0.548480,0.421722,0.548480,0.315941,0.421722,residual_stable_reuse_candidate
dative_passive,possessive_chain,passive,recursive,False,0.934742,0.469527,0.421216,0.469527,0.321084,0.421216,residual_stable_reuse_candidate
existential_no,inference,negation,logical,False,0.941878,0.619239,0.416962,0.619239,0.330907,0.416962,residual_stable_reuse_candidate
dative_passive,relative_clause,passive,recursive,False,0.973231,0.685214,0.414662,0.685214,0.474521,0.414662,residual_stable_reuse_candidate
center_embedding,negated_condition,recursive,logical,False,0.924992,0.413113,0.511606,0.413113,0.431211,0.413113,residual_stable_reuse_candidate
