subtype,category,model_a,model_b,similarity
and_or,logical,glm4,deepseek7b,0.8366971115430448
and_or,logical,qwen3,deepseek7b,0.9486679726414949
and_or,logical,qwen3,glm4,0.8922679947701263
by_phrase,passive,glm4,deepseek7b,0.7342573226318366
by_phrase,passive,qwen3,deepseek7b,0.73534701538649
by_phrase,passive,qwen3,glm4,0.8747263699180746
causal,logical,glm4,deepseek7b,0.7667386504780588
causal,logical,qwen3,deepseek7b,0.7230784785278814
causal,logical,qwen3,glm4,0.6704854234311318
complement_clause,recursive,glm4,deepseek7b,0.8718391670456641
complement_clause,recursive,qwen3,deepseek7b,0.8990180037826595
complement_clause,recursive,qwen3,glm4,0.8967523587545627
conditional,logical,glm4,deepseek7b,0.9035769901308801
conditional,logical,qwen3,deepseek7b,0.90984149788392
conditional,logical,qwen3,glm4,0.7857024147395538
contrast,logical,glm4,deepseek7b,0.7447565690722575
contrast,logical,qwen3,deepseek7b,0.7591411649869093
contrast,logical,qwen3,glm4,0.6684256134021959
dative_passive,passive,glm4,deepseek7b,0.7840909864767873
dative_passive,passive,qwen3,deepseek7b,0.8700753703277629
dative_passive,passive,qwen3,glm4,0.8223569484639497
existential_no,negation,glm4,deepseek7b,0.9196958660050044
existential_no,negation,qwen3,deepseek7b,0.8888617333844764
existential_no,negation,qwen3,glm4,0.9884057082837595
get_passive,passive,glm4,deepseek7b,0.7418861707776049
get_passive,passive,qwen3,deepseek7b,0.9008169371683614
get_passive,passive,qwen3,glm4,0.7281526301449549
inference,logical,glm4,deepseek7b,0.6964434719205514
inference,logical,qwen3,deepseek7b,0.9086558869655844
inference,logical,qwen3,glm4,0.7712363152532612
lexical_not_adj,negation,glm4,deepseek7b,0.839270151743242
lexical_not_adj,negation,qwen3,deepseek7b,0.875044778433997
lexical_not_adj,negation,qwen3,glm4,0.7788675091872503
morphological_neg,negation,glm4,deepseek7b,0.8818865852349154
morphological_neg,negation,qwen3,deepseek7b,0.9275513660134567
morphological_neg,negation,qwen3,glm4,0.8734784853465078
never,negation,glm4,deepseek7b,0.9297325419397134
never,negation,qwen3,deepseek7b,0.8116684769600266
never,negation,qwen3,glm4,0.9202635454263935
no_agent,passive,glm4,deepseek7b,0.8260035121920245
no_agent,passive,qwen3,deepseek7b,0.6491665909180439
no_agent,passive,qwen3,glm4,0.796404229832967
possessive_chain,recursive,glm4,deepseek7b,0.9504165856397058
possessive_chain,recursive,qwen3,deepseek7b,0.857277922776561
possessive_chain,recursive,qwen3,glm4,0.8523222533247802
pp_chain,recursive,glm4,deepseek7b,0.9153259192789289
pp_chain,recursive,qwen3,deepseek7b,0.8907443998497995
pp_chain,recursive,qwen3,glm4,0.8833437417520191
relative_clause,recursive,glm4,deepseek7b,0.8603685481397856
relative_clause,recursive,qwen3,deepseek7b,0.9586241853444939
relative_clause,recursive,qwen3,glm4,0.784186515273113
scope_quantifier,negation,glm4,deepseek7b,0.9368539248374801
scope_quantifier,negation,qwen3,deepseek7b,0.7279313476699444
scope_quantifier,negation,qwen3,glm4,0.8698051138698966
syntactic_do_not,negation,glm4,deepseek7b,0.9059526151656728
syntactic_do_not,negation,qwen3,deepseek7b,0.8996577846699916
syntactic_do_not,negation,qwen3,glm4,0.8434733905690911
