a,b,category_a,category_b,same_category,similarity
get_passive,possessive_chain,passive,recursive,False,0.9954387089826306
by_phrase,get_passive,passive,passive,True,0.9926412389974714
by_phrase,possessive_chain,passive,recursive,False,0.989539059379169
relative_clause,syntactic_do_not,recursive,negation,False,0.9821485863917111
dative_passive,relative_clause,passive,recursive,False,0.9812333915919683
possessive_chain,relative_clause,recursive,recursive,True,0.9811309715904699
get_passive,relative_clause,passive,recursive,False,0.9805025040723201
by_phrase,pp_chain,passive,recursive,False,0.9798424214905855
dative_passive,syntactic_do_not,passive,negation,False,0.979545497361449
get_passive,syntactic_do_not,passive,negation,False,0.978341862853729
lexical_not_adj,relative_clause,negation,recursive,False,0.9767576061275979
by_phrase,relative_clause,passive,recursive,False,0.9766862675794973
and_or,syntactic_do_not,logical,negation,False,0.9758274475803353
and_or,conditional,logical,logical,True,0.9746763474285548
relative_clause,scope_quantifier,recursive,negation,False,0.9745273509203471
and_or,relative_clause,logical,recursive,False,0.974355242307998
get_passive,pp_chain,passive,recursive,False,0.974144399734499
causal,conditional,logical,logical,True,0.9732168138382519
possessive_chain,pp_chain,recursive,recursive,True,0.9730620400186488
never,syntactic_do_not,negation,negation,True,0.9729204611415263
