a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
complement_clause,they_coref,recursive,coreference,False,0.570001,-0.638097,-0.378894,-0.638097,-0.520537,-0.638097,stable_differentiation_candidate
complement_clause,concise,recursive,style,False,0.610441,-0.366173,-0.287758,-0.366173,-0.156413,-0.366173,stable_differentiation_candidate
complement_clause,en_zh_word,recursive,translation,False,0.636636,-0.502337,-0.127541,-0.502337,-0.254781,-0.502337,stable_differentiation_candidate
complement_clause,en_zh_phrase,recursive,translation,False,0.637246,-0.539955,-0.063267,-0.539955,-0.299220,-0.539955,stable_differentiation_candidate
casual,causal,style,logical,False,0.646012,-0.403061,-0.296502,-0.403061,-0.090840,-0.403061,stable_differentiation_candidate
nested_contrast,no_agent,logical,passive,False,0.648988,-0.546744,-0.611142,-0.546744,-0.488807,-0.611142,stable_differentiation_candidate
causal,complement_clause,logical,recursive,False,0.649983,-0.208724,-0.277565,-0.208724,-0.265217,-0.277565,stable_differentiation_candidate
complement_clause,future_will,recursive,tense,False,0.652788,-0.265295,0.002674,-0.265295,-0.173632,-0.265295,stable_differentiation_candidate
complement_clause,en_fr_phrase,recursive,translation,False,0.653010,-0.587649,-0.146708,-0.587649,-0.414655,-0.587649,stable_differentiation_candidate
complement_clause,no_agent,recursive,passive,False,0.654609,-0.121221,-0.115625,-0.121221,-0.216323,-0.121221,stable_differentiation_candidate
complement_clause,he_coref,recursive,coreference,False,0.660119,-0.352458,-0.000139,-0.352458,-0.191767,-0.352458,stable_differentiation_candidate
complement_clause,target_language_switch,recursive,translation,False,0.661101,-0.443226,0.103962,-0.443226,-0.188373,-0.443226,stable_differentiation_candidate
casual,no_agent,style,passive,False,0.671419,-0.215286,-0.208187,-0.215286,-0.004378,-0.215286,stable_differentiation_candidate
complement_clause,past_simple,recursive,tense,False,0.671898,-0.287664,-0.004689,-0.287664,-0.130093,-0.287664,stable_differentiation_candidate
it_coref,pp_chain,coreference,recursive,False,0.677986,-0.386562,-0.151957,-0.386562,-0.269017,-0.386562,stable_differentiation_candidate
complement_clause,it_coref,recursive,coreference,False,0.679053,-0.028821,0.262683,-0.028821,0.078799,-0.028821,stable_differentiation_candidate
complement_clause,perfect,recursive,tense,False,0.680975,-0.239388,0.050563,-0.239388,-0.158860,-0.239388,stable_differentiation_candidate
pp_chain,they_coref,recursive,coreference,False,0.683403,-0.661704,-0.123760,-0.661704,-0.444970,-0.661704,stable_differentiation_candidate
existential_no,nested_condition,negation,logical,False,0.683429,-0.660393,-0.418394,-0.660393,-0.633503,-0.660393,stable_differentiation_candidate
nested_passive,no_agent,passive,passive,True,0.684913,-0.551726,-0.651523,-0.551726,-0.495486,-0.651523,stable_differentiation_candidate
complement_clause,en_fr_word,recursive,translation,False,0.686507,-0.383301,0.231965,-0.383301,-0.146254,-0.383301,stable_differentiation_candidate
causal,nested_contrast,logical,logical,True,0.686826,-0.491476,-0.663477,-0.491476,-0.463734,-0.663477,stable_differentiation_candidate
complement_clause,existential_no,recursive,negation,False,0.688421,-0.193105,-0.173786,-0.193105,-0.323104,-0.193105,stable_differentiation_candidate
complement_clause,inference,recursive,logical,False,0.691491,-0.177252,-0.101177,-0.177252,-0.111194,-0.177252,stable_differentiation_candidate
complement_clause,deictic_switch,recursive,coreference,False,0.693712,-0.310305,0.043370,-0.310305,-0.015137,-0.310305,stable_differentiation_candidate
causal,it_coref,logical,coreference,False,0.694345,-0.356504,-0.285585,-0.356504,-0.051012,-0.356504,stable_differentiation_candidate
complement_clause,morphological_neg,recursive,negation,False,0.697239,-0.253211,-0.314030,-0.253211,-0.353572,-0.314030,stable_differentiation_candidate
inference,nested_condition,logical,logical,True,0.698613,-0.574463,-0.676893,-0.574463,-0.509959,-0.676893,stable_differentiation_candidate
existential_no,nested_contrast,negation,logical,False,0.700579,-0.642027,-0.423887,-0.642027,-0.615895,-0.642027,ordinary
nested_condition,they_coref,logical,coreference,False,0.702716,-0.507424,-0.386873,-0.507424,-0.459868,-0.507424,ordinary
