a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
possessive_chain,pp_chain,recursive,recursive,True,0.632723,0.733798,0.022253,0.335303,0.601226,0.557366,0.891342,-0.150881,0.595962
by_phrase,get_passive,passive,passive,True,0.630719,0.758477,0.453911,0.706847,0.742254,-0.313757,0.512342,0.852025,0.860585
by_phrase,possessive_chain,passive,recursive,False,0.601013,0.785660,0.865251,0.432086,0.799648,0.655104,0.280928,0.510693,0.816935
possessive_chain,relative_clause,recursive,recursive,True,0.578336,0.766580,0.772760,0.072866,0.042569,0.505018,0.825603,0.516589,0.629434
get_passive,possessive_chain,passive,recursive,False,0.564364,0.875156,0.137611,0.588682,0.546746,-0.442906,0.390000,0.671946,0.771147
by_phrase,relative_clause,passive,recursive,False,0.515170,0.665868,0.658693,0.532726,0.389260,0.644670,0.148352,0.670693,0.652459
pp_chain,relative_clause,recursive,recursive,True,0.490229,0.654671,-0.346800,0.343301,0.358951,-0.147132,0.766072,-0.234257,0.349352
conditional,inference,logical,logical,True,0.483470,0.384090,0.014425,0.563038,0.490889,0.899195,0.368554,0.448955,0.937901
complement_clause,pp_chain,recursive,recursive,True,0.478097,0.551422,0.475457,0.155273,-0.191303,-0.169154,0.738038,0.543041,0.474355
by_phrase,pp_chain,passive,recursive,False,0.430886,0.647378,0.037947,0.813001,0.677252,0.535646,0.039758,-0.668054,0.566266
causal,conditional,logical,logical,True,0.430111,0.482082,0.134162,0.368810,0.321352,0.923285,0.430147,-0.408965,0.747160
get_passive,pp_chain,passive,recursive,False,0.414270,0.744365,0.337794,0.729477,0.424715,-0.201740,0.086002,-0.711234,0.685608
lexical_not_adj,possessive_chain,negation,recursive,False,0.390595,0.395101,0.484219,0.301443,0.371847,0.774939,0.234370,0.429500,0.691606
dative_passive,syntactic_do_not,passive,negation,False,0.386757,0.550297,0.027912,0.129887,0.451507,-0.451841,0.680751,0.692048,0.305255
complement_clause,possessive_chain,recursive,recursive,True,0.377299,0.588128,-0.495580,0.388369,-0.341851,-0.677630,0.758313,-0.443468,0.090055
dative_passive,pp_chain,passive,recursive,False,0.375559,0.571627,0.339436,0.145488,0.269342,0.196830,0.486435,-0.177457,0.499930
inference,no_agent,logical,passive,False,0.341888,0.268088,0.535072,0.428777,0.303652,-0.428421,0.446796,0.088740,0.616016
conditional,contrast,logical,logical,True,0.335657,0.174582,0.341688,0.229483,0.407130,-0.112791,0.535906,-0.159627,0.828946
complement_clause,dative_passive,recursive,passive,False,0.314346,0.402905,0.479899,0.152747,0.096226,-0.480659,0.447615,-0.021307,0.643617
contrast,no_agent,logical,passive,False,0.309809,0.051578,0.100348,0.340278,0.302108,0.586350,0.609482,0.088736,0.631663
causal,existential_no,logical,negation,False,0.308812,0.384374,-0.476327,0.246722,0.064052,0.349246,0.488367,-0.346343,0.185023
possessive_chain,scope_quantifier,recursive,negation,False,0.304931,0.474518,0.113806,0.356535,-0.299363,-0.835199,0.530556,-0.084768,0.553817
lexical_not_adj,relative_clause,negation,recursive,False,0.304614,0.440735,0.685951,0.131591,-0.051386,0.430554,0.246200,0.758930,0.596976
conditional,no_agent,logical,passive,False,0.298577,0.204961,0.041499,0.562800,0.711123,-0.373319,0.289451,-0.314570,0.495644
and_or,causal,logical,logical,True,0.296489,0.133813,0.575688,0.291685,0.841804,0.684290,0.404493,0.507676,0.718989
