a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
it_coref,never,coreference,negation,False,0.624495,0.642729,0.730488,0.814856,0.785668,0.000000,0.000000,0.000000,0.975913
it_coref,scope_quantifier,coreference,negation,False,0.625856,0.701889,0.714007,0.802346,0.761953,0.000000,0.000000,0.000000,0.978067
it_coref,relative_clause,coreference,recursive,False,0.632701,0.705939,0.729310,0.833973,0.754443,0.000000,0.000000,0.000000,0.977886
casual,never,style,negation,False,0.634381,0.639396,0.782487,0.801042,0.810163,0.000000,0.000000,0.000000,0.979091
casual,scope_quantifier,style,negation,False,0.634745,0.692338,0.763250,0.789288,0.788639,0.000000,0.000000,0.000000,0.980965
never,they_coref,negation,coreference,False,0.634953,0.695409,0.719325,0.858669,0.765580,0.000000,0.000000,0.000000,0.976815
scope_quantifier,they_coref,negation,coreference,False,0.636768,0.762437,0.701893,0.843825,0.740161,0.000000,0.000000,0.000000,0.978956
concise,never,style,negation,False,0.637280,0.652975,0.761724,0.836900,0.800854,0.000000,0.000000,0.000000,0.978061
it_coref,lexical_not_adj,coreference,negation,False,0.637558,0.691284,0.756521,0.817330,0.791268,0.000000,0.000000,0.000000,0.975869
concise,scope_quantifier,style,negation,False,0.638911,0.711385,0.747221,0.823562,0.778627,0.000000,0.000000,0.000000,0.980035
casual,relative_clause,style,recursive,False,0.641360,0.699272,0.779180,0.817832,0.779398,0.000000,0.000000,0.000000,0.980632
relative_clause,they_coref,recursive,coreference,False,0.645002,0.767636,0.717663,0.881071,0.734291,0.000000,0.000000,0.000000,0.978687
concise,relative_clause,style,recursive,False,0.645931,0.716907,0.761844,0.856726,0.769967,0.000000,0.000000,0.000000,0.979785
casual,lexical_not_adj,style,negation,False,0.646465,0.686993,0.803057,0.803345,0.815678,0.000000,0.000000,0.000000,0.979530
by_phrase,it_coref,passive,coreference,False,0.648476,0.697220,0.775876,0.830241,0.823759,0.000000,0.000000,0.000000,0.974227
it_coref,syntactic_do_not,coreference,negation,False,0.648954,0.697966,0.739374,0.870127,0.822114,0.000000,0.000000,0.000000,0.974764
it_coref,pp_chain,coreference,recursive,False,0.649558,0.761450,0.727162,0.880399,0.756985,0.000000,0.000000,0.000000,0.982169
lexical_not_adj,they_coref,negation,coreference,False,0.649958,0.754756,0.746357,0.861767,0.770657,0.000000,0.000000,0.000000,0.977161
concise,lexical_not_adj,style,negation,False,0.650660,0.704691,0.787932,0.838024,0.806116,0.000000,0.000000,0.000000,0.978375
pp_chain,they_coref,recursive,coreference,False,0.656123,0.808517,0.716078,0.904939,0.737141,0.000000,0.000000,0.000000,0.983011
syntactic_do_not,they_coref,negation,coreference,False,0.656449,0.742437,0.729313,0.899158,0.804755,0.000000,0.000000,0.000000,0.976084
casual,pp_chain,style,recursive,False,0.656893,0.754577,0.776672,0.857506,0.781042,0.000000,0.000000,0.000000,0.984760
by_phrase,casual,passive,style,False,0.657408,0.697243,0.821195,0.816673,0.844369,0.000000,0.000000,0.000000,0.978334
casual,syntactic_do_not,style,negation,False,0.657902,0.700603,0.791626,0.848163,0.842155,0.000000,0.000000,0.000000,0.978392
complement_clause,it_coref,recursive,coreference,False,0.658268,0.732288,0.791640,0.843387,0.818788,0.000000,0.000000,0.000000,0.977150
concise,syntactic_do_not,style,negation,False,0.659685,0.708766,0.769353,0.882757,0.834189,0.000000,0.000000,0.000000,0.977148
concise,pp_chain,style,recursive,False,0.659986,0.769978,0.760115,0.888801,0.771387,0.000000,0.000000,0.000000,0.983840
by_phrase,they_coref,passive,coreference,False,0.661234,0.758447,0.765734,0.876351,0.805752,0.000000,0.000000,0.000000,0.975730
by_phrase,concise,passive,style,False,0.661473,0.712747,0.805452,0.851999,0.836217,0.000000,0.000000,0.000000,0.977109
dative_passive,it_coref,passive,coreference,False,0.663290,0.741220,0.796442,0.845463,0.838099,0.000000,0.000000,0.000000,0.973793
