a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_centered_similarity,zscore_similarity,min_centered_similarity,label
casual,concise,style,style,True,0.994365,0.972168,0.930215,0.972168,0.857896,0.930215,residual_stable_reuse_candidate
long_passive,nested_passive,passive,passive,True,0.996290,0.897731,0.939883,0.897731,0.711002,0.897731,residual_stable_reuse_candidate
conditional,contrast,logical,logical,True,0.996366,0.947155,0.890571,0.947155,0.901519,0.890571,residual_stable_reuse_candidate
concise,they_coref,style,coreference,False,0.995696,0.979354,0.888806,0.979354,0.887650,0.888806,residual_stable_reuse_candidate
causal,inference,logical,logical,True,0.995159,0.934278,0.868065,0.934278,0.644642,0.868065,residual_stable_reuse_candidate
causal,contrast,logical,logical,True,0.995453,0.935411,0.867611,0.935411,0.684329,0.867611,residual_stable_reuse_candidate
contrast,no_agent,logical,passive,False,0.995972,0.942344,0.856528,0.942344,0.804146,0.856528,residual_stable_reuse_candidate
double_relative,nested_passive,recursive,passive,False,0.993824,0.856142,0.885466,0.856142,0.399377,0.856142,residual_stable_reuse_candidate
casual,they_coref,style,coreference,False,0.988527,0.944071,0.845898,0.944071,0.733188,0.845898,residual_stable_reuse_candidate
double_relative,long_passive,recursive,passive,False,0.993117,0.837777,0.903524,0.837777,0.258274,0.837777,residual_stable_reuse_candidate
contrast,inference,logical,logical,True,0.993988,0.918344,0.836143,0.918344,0.609456,0.836143,residual_stable_reuse_candidate
perfect,progressive,tense,tense,True,0.998856,0.977226,0.825141,0.977226,0.943053,0.825141,residual_stable_reuse_candidate
casual,it_coref,style,coreference,False,0.986083,0.938280,0.823943,0.938280,0.518593,0.823943,residual_stable_reuse_candidate
future_will,progressive,tense,tense,True,0.998791,0.975870,0.822555,0.975870,0.934014,0.822555,residual_stable_reuse_candidate
complement_clause,dative_passive,recursive,passive,False,0.994216,0.906997,0.822474,0.906997,0.333853,0.822474,residual_stable_reuse_candidate
future_will,perfect,tense,tense,True,0.998955,0.978351,0.822230,0.978351,0.929143,0.822230,residual_stable_reuse_candidate
causal,no_agent,logical,passive,False,0.993889,0.912199,0.820416,0.912199,0.628822,0.820416,residual_stable_reuse_candidate
concise,target_language_switch,style,translation,False,0.962681,0.820167,0.885219,0.820167,0.644335,0.820167,residual_stable_reuse_candidate
concise,it_coref,style,coreference,False,0.989944,0.955764,0.812094,0.955764,0.593002,0.812094,residual_stable_reuse_candidate
center_embedding,double_relative,recursive,recursive,True,0.990258,0.814704,0.806133,0.814704,0.580380,0.806133,residual_stable_reuse_candidate
by_phrase,relative_clause,passive,recursive,False,0.992906,0.900162,0.801321,0.900162,0.431730,0.801321,residual_stable_reuse_candidate
target_language_switch,they_coref,translation,coreference,False,0.962656,0.829277,0.794875,0.829277,0.735204,0.794875,residual_stable_reuse_candidate
inference,no_agent,logical,passive,False,0.991870,0.888531,0.792035,0.888531,0.521989,0.792035,residual_stable_reuse_candidate
by_phrase,dative_passive,passive,passive,True,0.995351,0.923346,0.784221,0.923346,0.581572,0.784221,residual_stable_reuse_candidate
en_fr_word,past_simple,translation,tense,False,0.990296,0.848593,0.776389,0.848593,0.578312,0.776389,residual_stable_reuse_candidate
causal,conditional,logical,logical,True,0.992473,0.888721,0.771084,0.888721,0.641037,0.771084,residual_stable_reuse_candidate
center_embedding,nested_passive,recursive,passive,False,0.988210,0.765555,0.843530,0.765555,0.120800,0.765555,residual_stable_reuse_candidate
it_coref,they_coref,coreference,coreference,True,0.985779,0.936790,0.763800,0.936790,0.552328,0.763800,residual_stable_reuse_candidate
nested_condition,nested_contrast,logical,logical,True,0.985509,0.762492,0.847256,0.762492,0.539475,0.762492,residual_stable_reuse_candidate
casual,target_language_switch,style,translation,False,0.957553,0.760945,0.836462,0.760945,0.435450,0.760945,residual_stable_reuse_candidate
