a,b,category_a,category_b,same_category,similarity
causal,get_passive,logical,passive,False,-0.8335488846622514
contrast,syntactic_do_not,logical,negation,False,-0.8322066299359148
contrast,get_passive,logical,passive,False,-0.8157266386957597
causal,syntactic_do_not,logical,negation,False,-0.7869263886779899
conditional,get_passive,logical,passive,False,-0.7771711395921675
get_passive,no_agent,passive,passive,True,-0.7601368882834556
complement_clause,contrast,recursive,logical,False,-0.7360831391109449
get_passive,morphological_neg,passive,negation,False,-0.7330639933974932
contrast,relative_clause,logical,recursive,False,-0.7329161285745414
conditional,syntactic_do_not,logical,negation,False,-0.7299641308658212
get_passive,inference,passive,logical,False,-0.727908601435981
no_agent,relative_clause,passive,recursive,False,-0.7211185562462402
inference,syntactic_do_not,logical,negation,False,-0.7134395592457717
morphological_neg,syntactic_do_not,negation,negation,True,-0.7082040765367232
causal,complement_clause,logical,recursive,False,-0.706400689465288
complement_clause,inference,recursive,logical,False,-0.7011656226743783
causal,relative_clause,logical,recursive,False,-0.686861948122785
complement_clause,conditional,recursive,logical,False,-0.6718082578341081
no_agent,syntactic_do_not,passive,negation,False,-0.6662896628068311
conditional,pp_chain,logical,recursive,False,-0.6615079422529723
