window	pair	scaffold	mode	condition	seed	object	quality	clean_non_object	any_label_violation	object_echo	prompt_echo	target_non_object_matches	target_label_matches	competitor_synonym_matches	prompt	generated_suffix
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	tram	other	False	False	False	False				Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	...   So, I need to figure out a word that
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	subway	other	False	False	False	False				Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a system that transports people through a network of tunnels. The
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	helicopter	clean_synonym	True	False	False	False	airplane			Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	... The options are: A) a kind of airplane that
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	tractor	other	False	False	False	False				Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 what?  Okay, so I have to figure out what a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	rocket	other	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 a(n) [adjective]. Can you think of other
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	canoe	other	False	False	True	False				Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	?  Okay, so I have to figure out what a canoe
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	ferry	other	False	False	True	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	?  Okay, so I need to figure out what a ferry
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	jeep	other	False	False	False	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 a(n) [adjective].  Okay, so I need
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	ambulance	label_violation	False	True	False	True		vehicle,vehicles		Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	?  Without using the words vehicle, vehicles, tool, or
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	cart	other	False	False	False	False				Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 a ___________. Okay, so I need to figure
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	sled	other	False	False	False	False				Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	...?  Okay, so I need to figure out a synonym
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	101	wagon	other	False	False	True	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 what?  Wagon is best described as a large, open
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	tram	clean_synonym	True	False	False	False	transport			Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a public transport system. So, how do I define it
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	subway	other	False	False	True	False				Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a(n) ___.  Subway is best described as a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	helicopter	clean_synonym	True	False	False	False	craft			Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a(n) [adjective] craft. Okay, so
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	tractor	wrong_synonym	False	False	False	False			implement	Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 which of the following: engine, farm implement, farm machinery
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	rocket	other	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	...?  A) A balloon that floats upward when air is
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	canoe	clean_synonym	True	False	False	False	watercraft			Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	 a watercraft or a floating structure. Alright, so I
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	ferry	other	False	False	False	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	 a _ noun.  To solve this, I need to understand
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	jeep	other	False	False	False	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 a(n) [adjective]? Okay, so I
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	ambulance	other	False	False	True	False				Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	...?  Okay, so I have to describe an ambulance without
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	cart	other	False	False	False	False				Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 a ___________. What's the most appropriate word that fits
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	sled	other	False	False	True	True				Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	 a ___________.  To describe a sled without using the
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	103	wagon	generic_only	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 what?  A) A box that carries things on top  
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	tram	synonym_with_label_violation	False	True	False	False	transportation	vehicle		Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a public transportation vehicle. So, in the sentence "The
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	subway	other	False	False	False	False				Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a system that connects different parts of a city, providing a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	helicopter	mixed_synonym	False	False	False	False	machine		machine	Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a flying machine that uses rotors to lift itself off the
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	tractor	other	False	False	False	False				Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 what? Okay, so I have to figure out what a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	rocket	other	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 a(n) ______.  Okay, so I need to figure
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	canoe	clean_synonym	True	False	False	False	transportation,watercraft			Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	 a watercraft designed primarily for transportation or recreation. So,
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	ferry	other	False	False	False	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	 a(n) [adjective].  Alright, so I've
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	jeep	other	False	False	False	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	:?  Okay, so I need to figure out what a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	ambulance	mixed_synonym	False	False	False	False	carry		used to	Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	 a(n) [adjective] used to carry [ad
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	cart	mixed_synonym	False	False	False	False	machine		machine	Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 what? A. a thing B. a machine 
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	sled	other	False	False	True	False				Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	 a(n) [word].  Sled is a(n)
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	107	wagon	other	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 a large cart used for carrying goods or people. So,
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	tram	synonym_with_label_violation	False	True	False	False	transport	vehicle		Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a vehicle for public transport, but it's also a bit
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	subway	clean_synonym	True	False	False	False	carry			Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a system of tunnels built to carry people from one city to
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	helicopter	other	False	False	True	False				Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	... something.  Alright, so I need to describe a helicopter
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	tractor	mixed_synonym	False	False	False	False	machine		machine	Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 a machine used for pulling or pushing heavy loads over land.  
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	rocket	other	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 what? Okay, so I have this question where I need
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	canoe	clean_synonym	True	False	False	False	transportation,watercraft			Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	 a watercraft designed for transportation on water with an open,
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	ferry	synonym_with_label_violation	False	True	False	False	transportation	vehicles		Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	 a means of transportation that allows people and vehicles to cross a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	jeep	other	False	False	False	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 a(n) _________.  Okay, so I have this
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	ambulance	label_violation	False	True	True	True		vehicle		Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	 what?  To describe an ambulance without using the words "vehicle
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	cart	label_violation	False	True	False	False		vehicle		Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 __________. A. vehicle B. tool C
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	sled	label_violation	False	True	True	False		vehicle		Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	...  A) sled B) vehicle C) tool
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	109	wagon	other	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 a {adjective}.  Okay, so I need to
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	tram	clean_synonym	True	False	False	False	transport			Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a public transport, which is a means of moving people.
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	subway	clean_synonym	True	False	False	False	train,travel			Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a system of tunnels beneath cities where people can travel by train
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	helicopter	generic_only	False	False	True	False				Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a(n) _ object.  Helicopter is best described as
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	tractor	mixed_synonym	False	False	True	False	machine		machine,designed to	Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	 what?  Tractor is best described as a machine designed to
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	rocket	generic_only	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 a(n) [adjective] object. It requires a
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	canoe	other	False	False	True	False				Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	? Alright, so I need to figure out what a canoe
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	ferry	other	False	False	False	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	...?  Okay, so I need to figure out a word
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	jeep	label_violation	False	True	False	True		vehicle		Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 a type of vehicle, but without using those words. So
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	ambulance	other	False	False	False	False				Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	 a(n) ______.  Okay, so I need to describe
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	cart	other	False	False	True	False				Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 a ___________.  Cart is best described as a **
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	sled	mixed_synonym	False	False	False	False	carry		device,used to	Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	 a device used to carry objects or people over a surface.  
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	113	wagon	other	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 a {___}.  To solve this, I need to
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	tram	clean_synonym	True	False	False	False	transportation			Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a city transportation system. What is the noun for this system
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	subway	clean_synonym	True	False	False	False	transportation			Define subway without using these words: vehicle, vehicles, tool, tools. Subway is best described as	 a public transportation system that connects various stations with a network of
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	helicopter	other	False	False	False	False				Define helicopter without using these words: vehicle, vehicles, tool, tools. Helicopter is best described as	 a ___________. It must be something that requires a lot
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	tractor	label_violation	False	True	False	True		vehicle,vehicles		Define tractor without using these words: vehicle, vehicles, tool, tools. Tractor is best described as	?  Without using the words "vehicle," "vehicles," "
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	rocket	other	False	False	False	False				Define rocket without using these words: vehicle, vehicles, tool, tools. Rocket is best described as	 a(n) ___.  Okay, so I need to figure
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	canoe	clean_synonym	True	False	False	False	watercraft			Define canoe without using these words: vehicle, vehicles, tool, tools. Canoe is best described as	 a type of watercraft. How else can I express this
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	ferry	generic_only	False	False	False	False				Define ferry without using these words: vehicle, vehicles, tool, tools. Ferry is best described as	 which of the following?  a) A person who moves things
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	jeep	other	False	False	False	False				Define jeep without using these words: vehicle, vehicles, tool, tools. Jeep is best described as	 what? I need to find another word to describe it.
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	ambulance	other	False	False	False	False				Define ambulance without using these words: vehicle, vehicles, tool, tools. Ambulance is best described as	 a(n) _______.  Okay, so I need to
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	cart	generic_only	False	False	False	False				Define cart without using these words: vehicle, vehicles, tool, tools. Cart is best described as	 a container that holds items for easy access, often used in
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	sled	other	False	False	False	False				Define sled without using these words: vehicle, vehicles, tool, tools. Sled is best described as	 something you use to move something else.  Okay, so I
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	127	wagon	other	False	False	False	False				Define wagon without using these words: vehicle, vehicles, tool, tools. Wagon is best described as	 a large, open container used for carrying cargo or passengers.
16-18-20	vehicle_tool	forbidden_definition	top_p	baseline	131	tram	other	False	False	False	False				Define tram without using these words: vehicle, vehicles, tool, tools. Tram is best described as	 a/an...  Hmm, okay, so I need to figure
