a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
it_coref,scope_quantifier,coreference,negation,False,0.751590,0.701889,0.714007,0.802346,0.761953,0.000000,0.857564,0.794756,0.991867
it_coref,lexical_not_adj,coreference,negation,False,0.757174,0.691284,0.756521,0.817330,0.791268,0.000000,0.826406,0.793205,0.990157
it_coref,never,coreference,negation,False,0.757436,0.642729,0.730488,0.814856,0.785668,0.000000,0.868123,0.836213,0.990052
it_coref,relative_clause,coreference,recursive,False,0.757468,0.705939,0.729310,0.833973,0.754443,0.000000,0.865450,0.787142,0.992111
scope_quantifier,they_coref,negation,coreference,False,0.761024,0.762437,0.701893,0.843825,0.740161,0.000000,0.884046,0.769534,0.993082
concise,scope_quantifier,style,negation,False,0.766199,0.711385,0.747221,0.823562,0.778627,0.000000,0.884532,0.794269,0.994113
never,they_coref,negation,coreference,False,0.767691,0.695409,0.719325,0.858669,0.765580,0.000000,0.901784,0.812692,0.991413
it_coref,syntactic_do_not,coreference,negation,False,0.768007,0.697966,0.739374,0.870127,0.822114,0.000000,0.839812,0.787851,0.989996
relative_clause,they_coref,recursive,coreference,False,0.768294,0.767636,0.717663,0.881071,0.734291,0.000000,0.891860,0.763569,0.993293
lexical_not_adj,they_coref,negation,coreference,False,0.768513,0.754756,0.746357,0.861767,0.770657,0.000000,0.856634,0.768966,0.991888
concise,relative_clause,style,recursive,False,0.772123,0.716907,0.761844,0.856726,0.769967,0.000000,0.890905,0.787347,0.994343
concise,lexical_not_adj,style,negation,False,0.772221,0.704691,0.787932,0.838024,0.806116,0.000000,0.855845,0.793116,0.993047
concise,never,style,negation,False,0.772805,0.652975,0.761724,0.836900,0.800854,0.000000,0.901754,0.836332,0.992606
syntactic_do_not,they_coref,negation,coreference,False,0.774677,0.742437,0.729313,0.899158,0.804755,0.000000,0.864736,0.765002,0.991753
casual,scope_quantifier,style,negation,False,0.777652,0.692338,0.763250,0.789288,0.788639,0.000000,0.912695,0.877541,0.995667
it_coref,pp_chain,coreference,recursive,False,0.777847,0.761450,0.727162,0.880399,0.756985,0.000000,0.895218,0.805830,0.993831
by_phrase,it_coref,passive,coreference,False,0.780023,0.697220,0.775876,0.830241,0.823759,0.000000,0.878007,0.843055,0.988997
concise,syntactic_do_not,style,negation,False,0.780250,0.708766,0.769353,0.882757,0.834189,0.000000,0.864147,0.786873,0.992771
pp_chain,they_coref,recursive,coreference,False,0.782090,0.808517,0.716078,0.904939,0.737141,0.000000,0.910510,0.780609,0.994832
casual,relative_clause,style,recursive,False,0.783067,0.699272,0.779180,0.817832,0.779398,0.000000,0.916377,0.872040,0.995837
casual,never,style,negation,False,0.783515,0.639396,0.782487,0.801042,0.810163,0.000000,0.925960,0.909911,0.994326
casual,lexical_not_adj,style,negation,False,0.784153,0.686993,0.803057,0.803345,0.815678,0.000000,0.887332,0.876669,0.994992
complement_clause,it_coref,recursive,coreference,False,0.784205,0.732288,0.791640,0.843387,0.818788,0.000000,0.875748,0.815078,0.991529
concise,pp_chain,style,recursive,False,0.788824,0.769978,0.760115,0.888801,0.771387,0.000000,0.910492,0.806632,0.995611
get_passive,it_coref,passive,coreference,False,0.790601,0.752924,0.788090,0.847609,0.836775,0.000000,0.862475,0.838235,0.990207
it_coref,possessive_chain,coreference,recursive,False,0.790716,0.819363,0.764843,0.878388,0.774643,0.000000,0.886832,0.796418,0.996692
dative_passive,it_coref,passive,coreference,False,0.791227,0.741220,0.796442,0.845463,0.838099,0.000000,0.865073,0.844572,0.990132
complement_clause,they_coref,recursive,coreference,False,0.791463,0.786545,0.781017,0.874882,0.799179,0.000000,0.897408,0.790799,0.992938
by_phrase,they_coref,passive,coreference,False,0.791869,0.758447,0.765734,0.876351,0.805752,0.000000,0.909074,0.819413,0.991035
casual,syntactic_do_not,style,negation,False,0.794069,0.700603,0.791626,0.848163,0.842155,0.000000,0.894341,0.870633,0.994750
