model,a,b,category_a,category_b,same_category,raw_similarity,model_centered_similarity,category_centered_similarity,group_normalized_similarity,zscore_model_similarity,min_residual_similarity,label
qwen3,dative_passive,possessive_chain,passive,recursive,False,0.9481815921745104,0.570551612127082,-0.18892865844317397,0.9660885272840919,0.19596307892313553,-0.18892865844317397,category_shape_candidate
qwen3,lexical_not_adj,pp_chain,negation,recursive,False,0.9404115735098474,0.23822386361163175,-0.2318767866339183,0.9319181893424546,-0.0034620555564889043,-0.2318767866339183,category_shape_candidate
qwen3,get_passive,lexical_not_adj,passive,negation,False,0.9384947413455029,0.34983563537085827,-0.3190601400253839,0.9501107169441411,0.5536731995654569,-0.3190601400253839,category_shape_candidate
qwen3,lexical_not_adj,never,negation,negation,True,0.9033707322016377,0.34123113800317784,-0.12141360152177375,0.9423531043586985,0.4399623810939279,-0.12141360152177375,category_shape_candidate
qwen3,complement_clause,pp_chain,recursive,recursive,True,0.9024322989899531,0.41941800589264644,-0.4180800231174456,0.95022238600341,0.7335892005590956,-0.4180800231174456,category_shape_candidate
qwen3,lexical_not_adj,relative_clause,negation,recursive,False,0.9310551868594548,0.0941600434443768,-0.25635323816186556,0.9571075528159823,0.02654835701396216,-0.25635323816186556,model_shape_candidate
qwen3,and_or,possessive_chain,logical,recursive,False,0.9003011481686181,-0.1074299578544267,-0.3553085240294398,0.856305567747962,-0.5843740943039972,-0.3553085240294398,model_shape_candidate
qwen3,pp_chain,relative_clause,recursive,recursive,True,0.9519446817327281,0.6636650822815137,0.17039252844523398,0.9737393957763861,0.8438218210412834,0.17039252844523398,ordinary
qwen3,dative_passive,lexical_not_adj,passive,negation,False,0.9394572982755769,0.36300942149281673,0.3710775564313029,0.9490216527722505,-0.07613290268920438,0.36300942149281673,ordinary
qwen3,morphological_neg,possessive_chain,negation,recursive,False,0.9338705829074813,0.41495311833547965,0.4129060226429155,0.8390647385837097,-0.48003794434991615,0.4129060226429155,ordinary
qwen3,and_or,dative_passive,logical,passive,False,0.9225502167829802,0.2372333388445709,0.3848173322104845,0.9106690541480404,-0.1971639538343324,0.2372333388445709,ordinary
qwen3,never,pp_chain,negation,recursive,False,0.9154893461040878,0.4512972188963279,0.34953085881896395,0.9007240851786775,-0.3868308569629804,0.34953085881896395,ordinary
qwen3,lexical_not_adj,morphological_neg,negation,negation,True,0.9104575203278003,0.4879833072224679,0.6434396726974969,0.8690145129663844,-0.43363108022346486,0.4879833072224679,ordinary
qwen3,conditional,dative_passive,logical,passive,False,0.9091313998850903,0.39364577028041986,0.5496886297732844,0.9056007401703572,0.002636730598362434,0.39364577028041986,ordinary
qwen3,and_or,conditional,logical,logical,True,0.9038688536441712,0.4895146607960139,0.14673553702269326,0.9698708475379031,0.6440717261012064,0.14673553702269326,ordinary
qwen3,and_or,inference,logical,logical,True,0.9029166014206996,0.42025241567365873,0.13909981151950085,0.9614506110143994,0.565434083793703,0.13909981151950085,ordinary
qwen3,get_passive,relative_clause,passive,recursive,False,0.9019351679889047,0.2667031411274758,0.5893073657045454,0.9738303756888337,0.5497694503333187,0.2667031411274758,ordinary
qwen3,and_or,existential_no,logical,negation,False,0.9003184961200752,0.4469209355463092,0.4134646309584113,0.9339505757775349,0.31332986704579224,0.4134646309584113,ordinary
qwen3,lexical_not_adj,possessive_chain,negation,recursive,False,0.8986835007823568,0.12335223505796936,0.512500425637565,0.9469360513331635,0.3943073685553725,0.12335223505796936,ordinary
qwen3,conditional,possessive_chain,logical,recursive,False,0.8966212593136565,0.17587931449956215,-0.12828353771939666,0.839423479396743,-0.44154429174160037,-0.12828353771939666,ordinary
qwen3,get_passive,never,passive,negation,False,0.8965650234215762,0.38525307350133725,0.22989266205150616,0.9309315724893729,0.007084420546032598,0.22989266205150616,ordinary
qwen3,by_phrase,dative_passive,passive,passive,True,0.8823274130091159,0.3807588831478192,-0.419005436782895,0.9287444908363549,-0.020683991623800684,-0.419005436782895,ordinary
qwen3,never,relative_clause,negation,recursive,False,0.8811726643911995,0.22638663197028627,0.12433927495636192,0.9227756964135002,-0.42730493312710227,0.12433927495636192,ordinary
qwen3,existential_no,relative_clause,negation,recursive,False,0.8807598196733127,0.2790637279333582,0.3341869405679432,0.910507228811252,-0.19495704800283806,0.2790637279333582,ordinary
qwen3,pp_chain,syntactic_do_not,recursive,negation,False,0.8807080235370054,0.2090506937323501,-0.6030803622721292,0.9420810232127091,0.620204712472316,-0.6030803622721292,ordinary
qwen3,contrast,dative_passive,logical,passive,False,0.8805666205369834,0.4840273408056882,-0.4345950084393798,0.8499753394819078,-0.16678208161787345,-0.4345950084393798,ordinary
qwen3,existential_no,never,negation,negation,True,0.8787946957413537,0.2760506642355986,0.08033354510278409,0.9292719101713001,0.2865050074236224,0.08033354510278409,ordinary
qwen3,never,scope_quantifier,negation,negation,True,0.8785518737790189,0.5914016160300337,0.33681702792001394,0.9505374253573934,0.5043170684147323,0.33681702792001394,ordinary
