a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
concise,syntactic_do_not,style,negation,False,0.377526,0.458514,-0.213512,0.626534,-0.043879,0.000000,0.654544,0.413837,0.929108
by_phrase,concise,passive,style,False,0.410862,0.607750,-0.156813,0.587269,-0.046781,0.000000,0.682546,0.454698,0.945943
center_embedding,concise,recursive,style,False,0.416596,0.536380,-0.182480,0.652571,-0.022932,0.000000,0.643120,0.360984,0.928529
concise,lexical_not_adj,style,negation,False,0.430858,0.648339,-0.170089,0.668413,-0.041483,0.000000,0.674675,0.478625,0.965769
concise,nested_condition,style,logical,False,0.440792,0.655430,-0.234817,0.722870,-0.059609,0.000000,0.664102,0.373029,0.964539
concise,scope_quantifier,style,negation,False,0.442804,0.696527,-0.085160,0.655270,-0.011407,0.000000,0.653704,0.460220,0.944485
concise,nested_passive,style,passive,False,0.452149,0.695242,-0.180742,0.672593,-0.042977,0.000000,0.620800,0.446344,0.953783
concise,en_zh_phrase,style,translation,False,0.453042,0.557286,-0.050479,0.587190,0.037990,0.000000,0.536660,0.594086,0.908561
concise,en_fr_word,style,translation,False,0.455507,0.639773,-0.075768,0.573312,0.028735,0.000000,0.517498,0.564875,0.940124
complement_clause,concise,recursive,style,False,0.456346,0.770473,-0.168832,0.725996,-0.015327,0.000000,0.646039,0.465588,0.991045
concise,never,style,negation,False,0.456673,0.695854,-0.115457,0.612874,-0.022529,0.000000,0.751736,0.541639,0.953313
concise,get_passive,style,passive,False,0.460294,0.843300,-0.225481,0.837816,-0.116158,0.000000,0.674059,0.448835,0.982154
concise,nested_contrast,style,logical,False,0.467290,0.783871,-0.328787,0.851870,-0.141394,0.000000,0.739391,0.379466,0.986610
concise,pp_chain,style,recursive,False,0.472320,0.717104,-0.091110,0.709965,0.017543,0.000000,0.683623,0.518874,0.978519
concise,possessive_chain,style,recursive,False,0.475895,0.770655,-0.168979,0.831107,-0.033005,0.000000,0.740071,0.464313,0.957111
concise,dative_passive,style,passive,False,0.476033,0.766127,-0.055855,0.659127,0.058651,0.000000,0.682530,0.497568,0.954158
concise,no_agent,style,passive,False,0.480667,0.726353,0.022758,0.596742,0.131623,0.000000,0.557617,0.614974,0.946912
concise,existential_no,style,negation,False,0.482234,0.661006,0.011709,0.686637,0.111402,0.000000,0.580509,0.589847,0.967596
concise,conditional,style,logical,False,0.482483,0.766621,-0.044773,0.650174,0.102112,0.000000,0.570862,0.617240,0.948337
concise,progressive,style,tense,False,0.484176,0.637377,-0.068903,0.622048,0.024369,0.000000,0.708855,0.507257,0.958228
concise,perfect,style,tense,False,0.484460,0.633337,-0.040098,0.612047,0.053945,0.000000,0.732833,0.444716,0.954441
concise,future_will,style,tense,False,0.488609,0.654085,-0.051130,0.628020,0.031834,0.000000,0.744465,0.449071,0.963915
concise,long_passive,style,passive,False,0.497730,0.700436,-0.089298,0.698180,0.062893,0.000000,0.645747,0.511013,0.955142
causal,concise,logical,style,False,0.502961,0.694257,0.093345,0.626016,0.198270,0.000000,0.567236,0.638945,0.945743
concise,relative_clause,style,recursive,False,0.504294,0.892826,-0.194196,0.880567,-0.041916,0.000000,0.739995,0.503431,0.993079
concise,he_coref,style,coreference,False,0.504762,0.745713,0.054130,0.655021,0.129275,0.000000,0.408859,0.600065,0.940267
concise,en_fr_phrase,style,translation,False,0.515397,0.705802,0.051091,0.612799,0.143817,0.000000,0.566176,0.597483,0.930609
concise,contrast,style,logical,False,0.518326,0.731721,0.169006,0.619343,0.211472,0.000000,0.565571,0.631781,0.949899
concise,inference,style,logical,False,0.524859,0.732172,0.130226,0.688656,0.218144,0.000000,0.573653,0.637676,0.947154
concise,negated_condition,style,logical,False,0.525181,0.684956,-0.045061,0.680828,0.114880,0.000000,0.787754,0.483907,0.969003
