a,b,category_a,category_b,same_category,similarity
complement_clause,contrast,recursive,logical,False,-0.8631424494147251
complement_clause,no_agent,recursive,passive,False,-0.8380393314861458
causal,complement_clause,logical,recursive,False,-0.8320532638364357
complement_clause,inference,recursive,logical,False,-0.8152468690944219
contrast,scope_quantifier,logical,negation,False,-0.8030502983593389
causal,scope_quantifier,logical,negation,False,-0.7811093713018703
causal,possessive_chain,logical,recursive,False,-0.7355377454106161
contrast,possessive_chain,logical,recursive,False,-0.7188865518011298
no_agent,possessive_chain,passive,recursive,False,-0.7142714670801821
conditional,syntactic_do_not,logical,negation,False,-0.7123877494499969
inference,scope_quantifier,logical,negation,False,-0.7112905255319417
no_agent,scope_quantifier,passive,negation,False,-0.7048094720004208
inference,possessive_chain,logical,recursive,False,-0.7025000091356928
contrast,never,logical,negation,False,-0.6854995366428958
and_or,lexical_not_adj,logical,negation,False,-0.6240788025221304
conditional,relative_clause,logical,recursive,False,-0.6185579069450619
and_or,never,logical,negation,False,-0.6153431420273988
causal,pp_chain,logical,recursive,False,-0.6067992569534184
causal,never,logical,negation,False,-0.6045960153596821
causal,syntactic_do_not,logical,negation,False,-0.5925615424094381
