a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
contrast,negated_condition,logical,logical,True,-0.662888,-0.601055,-0.853649,-0.665097,-0.694229,-0.794246,-0.615510,-0.124155,-0.909167
existential_no,nested_passive,negation,passive,False,-0.659073,-0.721541,-0.280541,-0.674334,-0.533481,-0.740693,-0.765949,-0.796779,-0.491686
existential_no,nested_condition,negation,logical,False,-0.633503,-0.701510,-0.798570,-0.596811,-0.371520,-0.740693,-0.766460,-0.799158,-0.611230
existential_no,nested_contrast,negation,logical,False,-0.615895,-0.603350,-0.459064,-0.645710,-0.283791,-0.740693,-0.710428,-0.879724,-0.568703
contrast,nested_contrast,logical,logical,True,-0.604613,-0.554554,-0.734319,-0.596146,-0.332093,-0.794246,-0.793805,-0.342494,-0.620261
contrast,nested_passive,logical,passive,False,-0.594835,-0.568392,-0.769127,-0.588658,-0.361608,-0.794246,-0.704632,-0.301728,-0.666467
existential_no,formal,negation,style,False,-0.590120,-0.636018,-0.530899,-0.762182,-0.640649,-0.740693,-0.503134,0.377690,-0.447843
morphological_neg,nested_condition,negation,logical,False,-0.571131,-0.603785,-0.899307,-0.354457,-0.823888,-0.467219,-0.700565,-0.684663,-0.869869
center_embedding,morphological_neg,recursive,negation,False,-0.568644,-0.585705,-0.879345,-0.357952,-0.721076,-0.467219,-0.749446,-0.490569,-0.820889
and_or,center_embedding,logical,recursive,False,-0.567733,-0.391834,-0.813093,-0.300173,-0.268777,-0.525881,-0.770287,-0.325273,-0.774488
morphological_neg,nested_contrast,negation,logical,False,-0.552020,-0.579312,-0.618893,-0.264667,-0.356158,-0.467219,-0.770124,-0.721903,-0.716970
inference,long_passive,logical,passive,False,-0.547581,-0.347153,-0.595558,-0.460241,-0.683441,-0.640303,-0.705501,-0.589777,-0.728814
existential_no,long_passive,negation,passive,False,-0.543899,-0.574068,-0.765733,-0.406704,-0.602367,-0.740693,-0.721031,-0.746560,-0.390974
center_embedding,existential_no,recursive,negation,False,-0.541896,-0.628803,-0.687662,-0.573230,-0.402025,-0.740693,-0.589994,-0.542664,-0.614240
complement_clause,they_coref,recursive,coreference,False,-0.520537,-0.568933,-0.751257,-0.428889,-0.563745,-0.639252,-0.516397,-0.691423,-0.716889
pp_chain,target_language_switch,recursive,translation,False,-0.518493,-0.427468,-0.603496,-0.506463,-0.372596,-0.440592,-0.698089,-0.725922,-0.493394
negated_condition,no_agent,logical,passive,False,-0.516799,-0.356007,-0.880541,-0.477343,-0.565449,-0.461410,-0.669561,-0.055137,-0.781446
causal,nested_passive,logical,passive,False,-0.515762,-0.454944,-0.709744,-0.420978,-0.045364,-0.495777,-0.697800,0.034625,-0.677365
inference,nested_condition,logical,logical,True,-0.509959,-0.321010,-0.634587,-0.499550,-0.641716,-0.640303,-0.691150,-0.569585,-0.608769
by_phrase,deictic_switch,passive,coreference,False,-0.503023,-0.547089,0.242772,-0.491972,-0.780822,-0.760198,-0.464254,0.529434,-0.801201
deep_complement,inference,recursive,logical,False,-0.499192,-0.278664,0.235946,-0.660822,-0.825649,-0.640303,-0.558846,0.267787,-0.463891
nested_passive,no_agent,passive,passive,True,-0.495486,-0.394057,-0.834945,-0.365888,-0.473525,-0.461410,-0.726462,-0.508325,-0.612800
center_embedding,inference,recursive,logical,False,-0.490102,-0.299561,-0.706514,-0.333878,-0.591640,-0.640303,-0.753895,-0.430692,-0.681798
nested_contrast,no_agent,logical,passive,False,-0.488807,-0.326078,-0.759497,-0.364003,-0.429835,-0.461410,-0.738195,-0.803368,-0.588462
center_embedding,contrast,recursive,logical,False,-0.486088,-0.459799,-0.304385,-0.328243,0.367890,-0.794246,-0.822754,-0.417307,-0.467012
and_or,long_passive,logical,passive,False,-0.477988,-0.369020,-0.320114,-0.239751,-0.545514,-0.525881,-0.689276,-0.128445,-0.705828
existential_no,negated_condition,negation,logical,False,-0.474254,-0.623780,0.070660,-0.540755,-0.157024,-0.740693,-0.518481,0.227836,-0.301133
long_passive,morphological_neg,passive,negation,False,-0.467884,-0.321424,-0.790743,-0.230480,-0.707962,-0.467219,-0.661644,-0.750910,-0.632495
inference,nested_contrast,logical,logical,True,-0.466479,-0.227785,-0.594354,-0.386061,-0.028835,-0.640303,-0.744473,-0.625563,-0.443762
causal,nested_contrast,logical,logical,True,-0.463734,-0.365217,-0.716781,-0.360318,-0.319737,-0.495777,-0.669939,0.163828,-0.617127
