a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
morphological_neg,nested_condition,negation,logical,False,-0.672411,-0.567142,-0.836444,-0.630167,-0.925451,-0.527853,-0.742012,-0.652804,-0.725389
by_phrase,they_coref,passive,coreference,False,-0.648526,-0.771477,-0.802073,-0.668457,-0.940215,-0.711675,-0.453381,-0.495321,-0.873663
scope_quantifier,they_coref,negation,coreference,False,-0.648078,-0.422743,-0.628737,-0.411124,-0.921215,-0.785167,-0.734338,-0.923213,-0.916517
double_relative,en_zh_phrase,recursive,translation,False,-0.639340,-0.682669,-0.647041,-0.566412,-0.797877,1.000000,-0.621696,0.134411,-0.939172
by_phrase,casual,passive,style,False,-0.639075,-0.709188,-0.724686,-0.610540,-0.941435,-0.711675,-0.447426,-0.496983,-0.841855
nested_contrast,past_simple,logical,tense,False,-0.635407,-0.613824,-0.681137,-0.695569,-0.625814,1.000000,-0.663712,-0.868129,-0.667025
morphological_neg,nested_contrast,negation,logical,False,-0.631912,-0.518006,-0.641435,-0.546801,-0.934492,-0.527853,-0.713320,-0.953313,-0.715732
en_zh_word,relative_clause,translation,recursive,False,-0.631591,-0.700509,-0.490360,-0.633997,-0.478828,-0.780200,-0.636868,-0.665031,-0.760984
double_relative,scope_quantifier,recursive,negation,False,-0.631324,-0.686973,-0.515556,-0.555208,-0.639601,-0.785167,-0.530762,-0.858978,-0.873997
center_embedding,they_coref,recursive,coreference,False,-0.627023,-0.727592,-0.804452,-0.526039,-0.833034,1.000000,-0.638056,-0.820029,-0.653295
concise,en_fr_word,style,translation,False,-0.626407,-0.601096,-0.772388,-0.651005,-0.721870,1.000000,-0.726141,-0.460963,-0.863747
en_zh_word,nested_contrast,translation,logical,False,-0.625245,-0.703392,-0.309045,-0.628371,-0.395592,1.000000,-0.703612,-0.715426,-0.593282
syntactic_do_not,target_language_switch,negation,translation,False,-0.622036,-0.762958,-0.483262,-0.597928,-0.717976,-0.826375,-0.570668,-0.883667,-0.858175
en_fr_word,it_coref,translation,coreference,False,-0.618715,-0.649791,-0.511661,-0.611456,-0.293540,1.000000,-0.714767,-0.404583,-0.834436
casual,syntactic_do_not,style,negation,False,-0.618663,-0.821713,-0.451169,-0.542004,-0.883985,-0.826375,-0.458071,-0.812535,-0.799658
causal,nested_contrast,logical,logical,True,-0.608658,-0.486982,-0.486659,-0.511177,-0.805768,-0.603935,-0.715269,-0.931623,-0.824425
conditional,nested_condition,logical,logical,True,-0.604866,-0.432360,0.344570,-0.565760,-0.566685,-0.638426,-0.759797,-0.609647,-0.565168
causal,nested_condition,logical,logical,True,-0.602339,-0.543411,-0.576324,-0.523073,-0.739689,-0.603935,-0.706935,-0.714646,-0.605718
en_fr_phrase,nested_contrast,translation,logical,False,-0.601234,-0.446084,-0.140145,-0.636938,-0.396909,1.000000,-0.699848,-0.792270,-0.784166
get_passive,past_simple,passive,tense,False,-0.597141,-0.606707,-0.679704,-0.714778,-0.728298,-0.866519,-0.407842,-0.868651,-0.780953
syntactic_do_not,they_coref,negation,coreference,False,-0.594377,-0.787397,-0.460326,-0.653625,-0.897615,-0.826375,-0.370078,-0.898729,-0.744808
center_embedding,target_language_switch,recursive,translation,False,-0.590879,-0.710542,-0.735696,-0.437192,-0.691813,1.000000,-0.648523,-0.844340,-0.675819
en_zh_phrase,relative_clause,translation,recursive,False,-0.585045,-0.748832,-0.286108,-0.559915,0.200431,-0.780200,-0.509380,-0.273056,-0.805624
by_phrase,double_relative,passive,recursive,False,-0.584712,-0.626438,-0.784544,-0.655049,-0.767509,-0.711675,-0.407500,-0.456327,-0.741744
en_zh_phrase,it_coref,translation,coreference,False,-0.579675,-0.648433,-0.793870,-0.532487,-0.647837,1.000000,-0.536817,-0.192866,-0.952452
it_coref,scope_quantifier,coreference,negation,False,-0.578251,-0.587639,-0.544339,-0.604655,-0.602363,-0.785167,-0.513551,-0.538285,-0.870333
by_phrase,target_language_switch,passive,translation,False,-0.577650,-0.620359,-0.655473,-0.559676,-0.688944,-0.711675,-0.534528,-0.454601,-0.879577
center_embedding,morphological_neg,recursive,negation,False,-0.571124,-0.514918,-0.821430,-0.455070,-0.893515,-0.527853,-0.728510,-0.909781,-0.270003
en_zh_phrase,they_coref,translation,coreference,False,-0.565900,-0.610410,-0.534215,-0.637507,-0.608164,1.000000,-0.534773,0.113554,-0.829893
and_or,nested_condition,logical,logical,True,-0.564128,-0.272367,-0.861942,-0.539311,-0.829326,-0.434395,-0.701669,-0.614018,-0.590447
