a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
syntactic_do_not,target_language_switch,negation,translation,False,-0.679447,-0.755271,-0.710897,-0.430025,-0.672617,-0.697494,-0.803299,-0.879989,-0.700214
en_fr_word,scope_quantifier,translation,negation,False,-0.645455,-0.510525,-0.824076,-0.521272,-0.919693,-0.614394,-0.719821,-0.810872,-0.883096
en_fr_phrase,possessive_chain,translation,recursive,False,-0.642793,-0.484585,-0.014882,-0.437253,0.273273,-0.730309,-0.810253,-0.873626,-0.902612
it_coref,progressive,coreference,tense,False,-0.625770,-0.621827,-0.885761,-0.662567,-0.611229,1.000000,-0.624337,-0.859658,-0.723799
en_fr_word,syntactic_do_not,translation,negation,False,-0.622696,-0.728674,-0.803438,-0.218959,-0.565807,-0.697494,-0.796885,-0.854221,-0.557801
en_fr_word,never,translation,negation,False,-0.615240,-0.719424,-0.858626,-0.419877,-0.940753,-0.766392,-0.580187,-0.834067,-0.750702
by_phrase,target_language_switch,passive,translation,False,-0.597109,-0.558314,-0.883788,-0.472599,-0.751556,-0.699443,-0.616334,-0.786634,-0.796158
deictic_switch,possessive_chain,coreference,recursive,False,-0.591070,-0.533854,-0.641775,-0.583548,-0.521369,-0.730309,-0.836035,-0.351359,-0.543618
future_will,it_coref,tense,coreference,False,-0.589739,-0.616502,-0.875997,-0.647782,-0.467919,1.000000,-0.574050,-0.849031,-0.666641
en_fr_word,relative_clause,translation,recursive,False,-0.584700,-0.692210,-0.949077,-0.227839,-0.910072,-0.659472,-0.694598,-0.470515,-0.853194
it_coref,perfect,coreference,tense,False,-0.576969,-0.456611,-0.825568,-0.635483,-0.467835,1.000000,-0.605645,-0.800142,-0.670620
pp_chain,she_coref,recursive,coreference,False,-0.573510,-0.420431,-0.456897,-0.579431,-0.938380,-0.474516,-0.792197,-0.914610,-0.530862
lexical_not_adj,target_language_switch,negation,translation,False,-0.567410,-0.650388,-0.640581,-0.325863,-0.898372,-0.690615,-0.664420,-0.885374,-0.777479
en_fr_word,lexical_not_adj,translation,negation,False,-0.559411,-0.578348,-0.293163,-0.218241,-0.951648,-0.690615,-0.739677,-0.972020,-0.484973
negated_condition,they_coref,logical,coreference,False,-0.556462,-0.686372,-0.837480,-0.443494,-0.651567,1.000000,-0.600389,-0.639756,-0.578287
lexical_not_adj,they_coref,negation,coreference,False,-0.553924,-0.509710,-0.603892,-0.358987,-0.883401,-0.690615,-0.739516,-0.624498,-0.721529
poetic,possessive_chain,style,recursive,False,-0.553852,-0.412680,0.033839,-0.520473,0.236428,-0.730309,-0.800452,-0.633737,-0.678349
concise,progressive,style,tense,False,-0.553515,-0.585549,-0.898301,-0.545915,-0.851687,1.000000,-0.628512,-0.890717,-0.481530
possessive_chain,she_coref,recursive,coreference,False,-0.546150,-0.170336,-0.586494,-0.508278,-0.949609,-0.730309,-0.830401,-0.902691,-0.258218
concise,negated_condition,style,logical,False,-0.541048,-0.599760,-0.840026,-0.475829,-0.595036,1.000000,-0.571408,-0.765153,-0.520592
dative_passive,target_language_switch,passive,translation,False,-0.539715,-0.372062,-0.890470,-0.519553,-0.867873,-0.674537,-0.561690,-0.809464,-0.627801
past_simple,pp_chain,tense,recursive,False,-0.528111,-0.595752,-0.833251,-0.465284,-0.915670,-0.474516,-0.709889,-0.234568,-0.848553
progressive,they_coref,tense,coreference,False,-0.526894,-0.617882,-0.907920,-0.395384,-0.850748,1.000000,-0.608283,-0.782896,-0.582528
en_fr_phrase,pp_chain,translation,recursive,False,-0.523351,-0.399920,0.437045,-0.400513,0.242480,-0.474516,-0.834335,-0.742721,-0.727063
conditional,nested_contrast,logical,logical,True,-0.521901,-0.685363,-0.298552,-0.472718,-0.819313,-0.735280,-0.497606,-0.371057,-0.771230
concise,future_will,style,tense,False,-0.517787,-0.583235,-0.888060,-0.476304,-0.683962,1.000000,-0.617065,-0.904042,-0.421855
he_coref,possessive_chain,coreference,recursive,False,-0.509817,-0.247715,-0.761813,-0.489930,-0.748544,-0.730309,-0.489044,-0.837163,-0.837891
en_fr_word,pp_chain,translation,recursive,False,-0.505825,-0.468674,-0.824775,-0.459290,-0.802842,-0.474516,-0.590868,-0.582822,-0.747780
en_fr_word,get_passive,translation,passive,False,-0.504657,-0.450055,-0.837553,-0.475898,-0.793063,-0.664248,-0.707867,-0.928229,-0.101098
contrast,nested_contrast,logical,logical,True,-0.498763,-0.555027,-0.332613,-0.509871,-0.943496,-0.711014,-0.457518,-0.487884,-0.711345
